Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Savings Fund - Dir - Growth,516.34,03-Jul-2024,200.75,May 2024,13579.6194, May 2024 ,9.69,13,10.09,3,8.44,4,7.72,11,7.55,8,7.54,7,7.96,2,7.72,5,7.69,2,7.22,5,6.15,5,5.83,4,6.34,4,6.76,3,7.42,3,7.73,3
Axis Ultra Short Term Fund - Dir - Growth,14.48,03-Jul-2024,192,May 2024,5152.3233, May 2024 ,11.34,2,9.63,12,8.43,5,7.85,6,7.62,3,7.58,4,7.89,5,7.73,4,7.65,4,7.29,2,6.18,4,5.81,5,6.19,6,--,--,--,--,6.58,13
Bandhan Ultra Short Term Fund - Dir - Growth,14.32,03-Jul-2024,179,May 2024,3889.6909, May 2024 ,9.18,19,9.12,20,7.61,20,7.45,20,7.34,19,7.3,18,7.62,18,7.46,17,7.38,17,6.99,18,5.82,19,5.27,18,5.75,14,--,--,--,--,6.2,16
Bank of India Ultra Short Duration Fund - Dir - Growth,3046.13,03-Jul-2024,164.25,May 2024,144.212, May 2024 ,9.32,18,9.11,21,7.56,21,7.12,22,6.89,23,6.9,23,7.01,23,6.85,23,6.77,23,6.59,23,5.53,23,5.03,20,5.42,17,6.1,9,6.99,7,7.33,7
Baroda BNP Paribas Ultra Short Duration Fund - Dir - Growth,1451.02,03-Jul-2024,171.55,May 2024,1308.4497, May 2024 ,10.14,9,9.64,11,8.11,17,7.69,14,7.48,15,7.3,17,7.63,17,7.49,16,7.51,13,7.26,3,6.12,6,5.56,8,5.83,12,--,--,--,--,6.3,15
Canara Robeco Ultra Short Term Fund - Dir - Growth,3757.83,03-Jul-2024,167.9,May 2024,422.6744, May 2024 ,10.17,7,8.96,22,7.56,22,7.26,21,7.12,22,7.11,21,7.3,22,7.16,22,7.09,22,6.73,22,5.58,22,5.02,21,5.39,18,5.77,11,6.51,11,6.89,11
DSP Ultra Short Fund - Dir - Growth,3431.84,03-Jul-2024,175.2,May 2024,2684.0758, May 2024 ,10.18,6,9.86,6,8.17,15,7.75,10,7.5,11,7.4,14,7.7,13,7.78,2,7.64,5,7.15,9,6,9,5.45,13,5.82,13,6.06,10,6.71,10,7.09,10
HDFC Ultra Short Term Fund - Dir - Growth,14.37,03-Jul-2024,177,May 2024,14314.8259, May 2024 ,10.16,8,9.45,16,8.17,16,7.7,13,7.5,12,7.52,8,7.8,7,7.59,9,7.51,11,7.12,11,6,11,5.62,6,6.09,7,--,--,--,--,6.48,14
HSBC Ultra Short Duration Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),1274.94,03-Jul-2024,168.6,May 2024,2688.0358, May 2024 ,9.67,14,10.08,4,8.28,9,7.72,12,7.49,13,7.4,15,7.69,14,7.54,13,7.47,14,7.08,15,5.93,15,5.36,17,--,--,--,--,--,--,5.62,20
ICICI Prudential Ultra Short Term Fund - Dir - Growth,27.77,03-Jul-2024,171.55,May 2024,12497.2828, May 2024 ,9.86,12,9.57,14,8.32,8,7.87,5,7.59,4,7.58,5,7.94,3,7.72,6,7.63,6,7.25,4,6.23,3,6.06,3,6.54,2,6.97,2,8.17,1,8.03,1
Invesco India Ultra Short Duration Fund - Dir - Growth,2670.35,03-Jul-2024,159,May 2024,708.875, May 2024 ,11.06,4,9.78,8,8.28,10,7.94,4,7.57,5,7.56,6,7.71,12,7.54,12,7.51,12,7.1,13,5.97,13,5.43,14,5.87,10,6.41,5,7.28,4,7.36,6
ITI Ultra Short Duration Fund - Dir - Growth,1190.97,03-Jul-2024,281,May 2024,153.7784, May 2024 ,6.07,24,8.32,23,7.26,23,7.09,23,7.15,21,7.05,22,7.4,21,7.43,19,7.37,19,6.93,19,5.79,20,--,--,--,--,--,--,--,--,5.67,19
Kotak Savings Fund - Dir - Growth,41.71,03-Jul-2024,237.25,May 2024,12840.6948, May 2024 ,10.33,5,9.57,13,8.33,7,7.68,15,7.51,10,7.43,13,7.75,10,7.49,15,7.46,15,7.1,14,6,12,5.51,11,6,8,6.48,4,7.13,5,7.43,5
