Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Gold ETF,803.88,0.59,8,0.63,10,1.34,9,3.94,6,13.97,5,26.15,12,23.89,12,8.41,-,23.36,5,16.07,8,14.01,8,14.87,3,13.33,4,8.85,2,6.7,3,-,-,13.74,8,1.23,5
Axis Gold ETF,914.66,0.67,4,0.95,3,1.54,4,4.27,1,13.27,13,26.72,4,24.16,4,8.5,-,23.4,4,16.12,7,14.06,5,14.87,4,13.37,3,8.56,11,6.45,11,-,-,13.33,12,1.03,11
DSP Gold ETF,392.31,0.59,9,0.63,11,1.34,8,3.93,7,13.91,7,26.06,13,23.86,13,15.72,-,23.06,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.69,10,1.22,7
HDFC Gold Exchange Traded Fund,4967.96,0.45,13,0.72,6,1.61,1,4.11,2,13.8,9,26.59,5,24.13,5,9.4,-,22.73,13,16.15,5,14.02,7,14.67,8,13.16,8,8.82,3,6.67,4,-,-,14,1,0.8,13
ICICI Prudential Gold Exchange Traded Fund,4905.38,0.6,7,0.63,8,1.35,7,3.95,4,14,2,26.24,8,23.97,9,9.02,-,23.14,8,16.18,4,14.07,3,14.69,7,13.14,9,8.69,10,6.61,9,-,-,13.78,6,1.23,2
Invesco India Gold ETF,115.21,0.68,3,0.77,5,1.25,12,3.9,10,13.84,8,26.89,3,24.29,3,9.75,-,23.52,3,16.23,3,14.12,2,14.93,2,13.39,2,8.79,5,6.73,2,-,-,13.9,2,1.04,10
Kotak Gold ETF,4116.78,0.6,5,0.63,9,1.37,6,3.95,5,14.02,1,26.24,9,23.98,6,12.13,-,23.1,9,16.14,6,14.03,6,14.8,5,13.3,5,8.8,4,6.63,7,10.16,2,13.78,5,1.24,1
LIC MF Gold ETF,129.93,0.69,1,0.97,1,1.59,2,3.57,11,13.79,10,27.54,1,24.91,1,6.56,-,24.18,1,16.8,1,14.6,1,15.06,1,13.64,1,9.14,1,6.92,1,-,-,13.86,3,1.04,8
Mirae Asset Gold ETF,245.13,0.6,6,0.64,7,1.37,5,3.96,3,13.99,3,26.18,11,23.97,8,18.56,-,23.24,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.78,7,1.23,6
Nippon India ETF Gold BeES,11032.09,0.59,11,0.61,13,1.31,11,3.91,9,13.95,6,26.19,10,23.89,11,11.34,-,22.95,12,16.01,9,13.74,11,14.61,10,13.12,11,8.77,8,6.62,8,10.14,4,13.72,9,1.23,3
Quantum Gold Fund,207.18,0.49,12,0.8,4,1.19,13,3.55,12,13.35,12,26.55,6,23.97,7,10.47,-,23.08,10,15.93,11,13.86,10,14.59,11,13.13,10,8.7,9,6.58,10,10.11,5,13.31,13,0.98,12
SBI Gold ETF,4707.32,0.59,10,0.62,12,1.33,10,3.93,8,13.97,4,26.53,7,23.95,10,9.98,-,23.14,7,15.98,10,13.93,9,14.77,6,13.23,7,8.78,7,6.66,5,10.15,3,13.52,11,1.23,4
UTI Gold Exchange Traded Fund,1036.21,0.68,2,0.96,2,1.58,3,3.55,13,13.73,11,27.47,2,24.83,2,11.44,-,24.04,2,16.41,2,14.07,4,14.62,9,13.23,6,8.78,6,6.66,6,10.19,1,13.79,4,1.04,9
