Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Nifty 50 ETF,2291.29,3.32,13,4.57,13,8.6,11,8.79,10,13.62,10,25.38,9,24.68,10,13.12,-,27.17,5,25.39,4,16.89,2,16.58,2,15.38,7,13.45,1,14.73,2,-,-,12.5,10,1.76,15
Axis Nifty 50 ETF,702,3.33,2,4.57,12,8.59,15,8.79,14,13.62,8,25.38,11,24.72,3,15.32,-,27.19,3,25.4,3,16.88,4,16.54,6,-,-,-,-,-,-,-,-,12.5,8,1.76,3
Bandhan Nifty 50 ETF,24.12,3.32,16,4.56,16,8.59,16,8.78,16,13.61,13,25.35,13,24.65,13,15.71,-,27.11,11,25.36,10,16.78,15,16.43,15,15.32,11,-,-,-,-,-,-,12.49,13,1.76,13
DSP Nifty 50 ETF,314.48,3.32,8,4.57,11,8.6,10,8.79,9,13.62,9,25.4,4,24.7,5,16.24,-,27.2,1,25.35,12,-,-,-,-,-,-,-,-,-,-,-,-,12.5,9,1.76,6
HDFC Nifty 50 ETF,3352.31,3.32,4,4.57,6,8.6,4,8.8,6,13.62,7,25.39,7,24.69,8,15.79,-,27.16,10,25.38,9,16.87,8,16.53,9,15.43,3,-,-,-,-,-,-,12.5,6,1.76,5
ICICI Prudential Nifty 50 ETF,15870.66,3.32,6,4.57,4,8.61,1,8.81,1,13.64,2,25.42,1,24.72,1,15.06,-,27.2,2,25.42,1,16.9,1,16.57,4,15.43,2,13.41,2,-,-,-,-,12.52,2,1.76,7
Invesco India Nifty 50 ETF,87.92,3.32,14,4.56,15,8.59,14,8.78,15,13.59,16,25.33,16,24.63,16,13.12,-,27.08,13,25.31,14,16.81,12,16.48,11,15.37,8,13.32,4,14.63,4,-,-,12.47,16,1.76,14
Kotak Nifty 50 ETF,2278.8,3.32,5,4.57,10,8.6,5,8.8,4,13.64,1,25.42,2,24.72,2,12.94,-,27.06,14,25.29,16,16.78,14,16.44,14,15.33,10,13.07,6,14.51,5,-,-,12.52,1,1.76,4
LIC MF Nifty 50 ETF,768.92,3.32,7,4.57,3,8.6,9,8.79,11,13.6,14,25.34,15,24.64,15,15.2,-,26.94,16,25.29,15,16.8,13,16.53,7,15.4,6,-,-,-,-,-,-,12.48,15,1.76,9
Mirae Asset Nifty 50 ETF,2388.15,3.32,9,4.57,2,8.61,2,8.8,3,13.62,5,25.39,6,24.69,7,17.03,-,27.16,8,25.39,5,16.87,6,16.57,3,-,-,-,-,-,-,-,-,12.5,5,1.76,8
Motilal Oswal Nifty 50 ETF Fund,39.66,3.32,15,4.56,14,8.6,13,8.79,13,13.61,12,25.38,10,24.68,11,11.37,-,27.16,7,25.38,7,16.87,5,16.44,13,15.15,12,12.1,7,13.92,6,-,-,12.49,11,1.75,16
Nippon India ETF Nifty 50 BeES,27031.1,3.32,11,4.57,7,8.61,3,8.8,2,13.63,3,25.4,3,24.71,4,16.05,-,27.18,4,25.4,2,16.89,3,16.56,5,15.46,1,13.36,3,14.79,1,13.25,1,12.51,3,1.76,10
Quantum Nifty 50 ETF,52.55,3.33,1,4.57,1,8.6,8,8.8,8,13.61,11,25.36,12,24.66,12,12.95,-,27.1,12,25.36,11,16.84,10,16.48,12,15.35,9,13.31,5,14.71,3,13.09,2,12.49,12,1.76,1
SBI Nifty 50 ETF,180683.09,3.32,10,4.57,8,8.6,6,8.8,5,13.62,4,25.39,5,24.69,6,13.6,-,27.16,6,25.38,8,16.86,9,16.53,10,15.43,4,-,-,-,-,-,-,12.5,4,1.76,12
Tata Nifty 50 Exchange Traded Fund,629.73,3.33,3,4.57,5,8.6,12,8.79,12,13.59,15,25.34,14,24.65,14,17.2,-,27.06,15,25.32,13,16.81,11,16.59,1,-,-,-,-,-,-,-,-,12.48,14,1.76,2
UTI Nifty 50 ETF,52120.16,3.32,12,4.57,9,8.6,7,8.8,7,13.62,6,25.39,8,24.69,9,15.2,-,27.16,9,25.38,6,16.87,7,16.53,8,15.43,5,-,-,-,-,-,-,12.5,7,1.76,11
