Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life BSE Sensex ETF,473.71,3.5,8,4.8,8,8.87,7,8.86,6,12.85,6,23.13,6,22.54,6,14.02,-,24.18,4,24.33,6,16.4,6,16.26,2,13.99,9,-,-,-,-,-,-,11.47,7,1.68,6
Axis BSE Sensex ETF,117.83,3.51,2,4.8,7,8.86,8,8.84,8,12.81,8,23.05,8,22.45,8,30.64,-,24.03,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.43,8,1.68,7
Bandhan S&P BSE Sensex ETF,1.11,3.49,10,4.77,10,8.79,10,8.76,10,12.65,10,22.81,10,22.22,10,15.87,-,23.71,10,23.96,9,15.97,9,15.89,9,15.36,8,-,-,-,-,-,-,11.28,10,1.67,10
HDFC BSE Sensex ETF,508.89,3.51,4,4.82,1,8.88,2,8.88,3,12.87,5,23.17,3,22.58,3,15.92,-,24.2,3,24.35,3,16.43,3,16.26,3,15.69,1,-,-,-,-,-,-,11.49,5,1.68,3
ICICI Prudential BSE Sensex ETF,8983.42,3.51,3,4.81,2,8.89,1,8.89,1,12.9,1,23.22,1,22.63,1,17.11,-,24.26,2,24.4,1,16.46,1,16.3,1,15.66,5,13.25,2,14.79,1,13.15,1,11.52,1,1.68,1
Kotak BSE Sensex ETF,26.35,3.5,9,4.8,9,8.85,9,8.83,9,12.76,9,22.98,9,22.38,9,11.96,-,23.87,9,24.06,8,16.16,8,16,7,15.43,7,13.05,3,14.67,2,12.95,2,11.37,9,1.68,8
LIC MF BSE Sensex ETF,762.12,3.52,1,4.81,3,8.87,6,8.86,7,12.85,7,23.13,7,22.54,7,15.22,-,24.08,7,24.3,7,16.36,7,16.21,6,15.67,3,-,-,-,-,-,-,11.47,6,1.67,9
Nippon India ETF BSE Sensex,8078.72,3.51,6,4.81,4,8.88,3,8.88,2,12.89,2,23.2,2,22.61,2,13.16,-,24.28,1,24.39,2,16.44,2,16.25,5,15.67,4,-,-,-,-,-,-,11.51,2,1.68,2
SBI BSE Sensex ETF,110153.33,3.51,7,4.81,6,8.88,5,8.88,5,12.87,4,23.17,4,22.58,4,15.17,-,24.17,5,24.34,5,16.41,5,16.26,4,15.67,2,13.39,1,-,-,-,-,11.49,4,1.68,4
UTI BSE Sensex ETF,40012.19,3.51,5,4.81,5,8.88,4,8.88,4,12.87,3,23.17,5,22.58,5,15,-,24.17,6,24.34,4,16.41,4,15.95,8,15.46,6,-,-,-,-,-,-,11.49,3,1.68,5
