Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Silver ETF,382.71,1.43,4,-0.73,3,11.58,3,14.96,2,22.51,4,31.96,4,24.18,5,16.2,-,27.81,6,24.42,1,-,-,-,-,-,-,-,-,-,-,-,-,21.68,2,3.14,3
Axis Silver ETF,113.83,1.9,2,0.02,2,14.74,1,14.3,9,22.62,3,34.53,2,24.63,3,30.04,-,28.8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.81,9,3.78,2
DSP Silver ETF,150.98,1.42,8,-0.75,7,11.54,5,14.89,6,22.4,7,31.8,7,24.01,7,28.16,-,27.81,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.57,5,3.14,5
HDFC Silver ETF,195.97,4.01,1,0.58,1,14.07,2,15.35,1,23.86,1,34.88,1,26.11,1,33.5,-,29.84,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.1,1,5.95,1
ICICI Prudential Silver ETF,2644.07,1.42,5,-0.74,4,11.56,4,14.94,3,22.48,5,31.94,6,24.14,6,14.21,-,27.97,3,24.37,2,-,-,-,-,-,-,-,-,-,-,-,-,21.66,3,3.14,4
Kotak Silver ETF,538.9,1.42,6,-0.74,6,11.53,6,14.89,5,22.43,6,31.95,5,24.22,4,17.89,-,27.83,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.61,4,3.14,6
Mirae Asset Silver ETF,63.51,1.43,3,-0.74,5,11.48,8,14.9,4,22.36,8,31.74,9,24,8,19.61,-,27.83,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.57,6,3.12,9
Nippon India Silver ETF,2731.83,1.41,9,-0.76,8,11.52,7,14.88,7,22.36,9,31.76,8,23.97,9,15.9,-,27.77,9,21.84,3,-,-,-,-,-,-,-,-,-,-,-,-,21.54,7,3.14,7
UTI Silver ETF,77.11,1.42,7,-0.76,9,11.45,9,14.78,8,22.82,2,34.18,3,24.83,2,16.04,-,27.78,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.41,8,3.13,8
