Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Hybrid 95 Fund - Growth,1467.07,03-Jul-2024,7515.7909, May 2024 ,1.22,21,2.17,19,4.8,11,9.11,6,10.44,10,15.92,14,24.85,15,29.58,17,22.81,21,13.97,26,13.94,20,10.97,20,11.98,13,13.94,12,13.28,9,15.45,13,18.48,2
Axis Equity Hybrid Fund - Reg - Growth,19.41,03-Jul-2024,1575.0424, May 2024 ,1.36,15,2.59,10,5.26,8,8.5,10,9.72,11,13.44,25,20.26,28,22.24,28,18.56,29,11.25,28,13.04,25,--,--,--,--,--,--,--,--,12.65,25,11.89,25
Bandhan Hybrid Equity Fund - Reg - Growth,23.35,03-Jul-2024,692.344, May 2024 ,1.97,3,2.81,4,4.64,13,7.03,19,7.41,27,12.93,27,21.63,25,25.87,24,22.33,26,14.08,24,14.87,17,11.31,19,--,--,--,--,--,--,12.62,26,11.95,24
Bank of India Mid & Small Cap Equity & Debt Fund - Reg - Growth,38.12,03-Jul-2024,754.0079, May 2024 ,2.23,1,2.75,6,6.75,1,10.59,1,13.12,2,22.45,2,34.75,2,53.04,2,37.67,2,22.19,3,26.02,1,17.99,2,--,--,--,--,--,--,23.05,2,18.31,3
Baroda BNP Paribas Aggresive Hybrid Fund - Reg - Growth,27.16,03-Jul-2024,1038.087, May 2024 ,1.28,18,2.39,14,4.45,15,7.22,16,8.5,16,18.38,8,28.95,6,33.47,10,26.28,11,15.96,12,17.45,8,14.81,6,--,--,--,--,--,--,18.07,8,14.79,12
Canara Robeco Equity Hybrid Fund - Growth,341.36,03-Jul-2024,10152.64, May 2024 ,1.7,7,2.25,18,3.74,21,7.68,14,9.06,13,14.26,21,24.14,18,27.41,21,23.22,18,14.48,21,15.98,10,13.85,8,13.7,4,14.86,7,14.49,4,13.76,21,12.01,23
DSP Equity & Bond Fund - Growth,331.6,03-Jul-2024,9131.8137, May 2024 ,1.77,6,2.78,5,6.73,2,9.61,5,12.49,5,14.78,18,23.81,19,30.54,14,26.22,12,14.62,20,16.36,9,13.42,10,14.06,3,14.62,9,13.62,6,14.27,18,14.96,11
Edelweiss Aggressive Hybrid Fund - Plan B - Growth,58.9,03-Jul-2024,1660.7372, May 2024 ,1.39,13,2.33,15,4.08,19,7.5,15,8.97,14,16.77,12,27.6,13,33.76,9,28.77,4,19.58,5,18.1,6,14.99,5,13.52,6,13.9,13,12.68,13,16.54,11,12.5,22
Franklin India Equity Hybrid Fund - Growth,257.47,03-Jul-2024,1806.9619, May 2024 ,0.73,29,1.91,22,2.97,25,6.86,24,8.28,20,15.04,16,24.77,17,32.14,13,25.9,14,15.84,13,15.96,11,13.19,13,13.55,5,14.74,8,13.29,8,14.52,16,14.13,13
Groww Aggressive Hybrid Fund - Reg - Growth,20.78,03-Jul-2024,42.0381, May 2024 ,0.92,26,1.85,24,2.23,27,7.03,20,8.41,18,16.35,13,27.65,12,29.79,16,24.25,15,15.47,16,13.9,21,--,--,--,--,--,--,--,--,15.3,15,14.07,14
HDFC Hybrid Equity Fund - Reg - Growth(Adjusted-NAV),113.54,03-Jul-2024,23138.2054, May 2024 ,0.76,28,2.16,20,3.15,24,6.94,23,8.28,19,12.86,28,19.44,29,22.28,27,23.24,17,15.59,14,15.48,12,12.92,14,13.5,7,15.33,5,15.69,2,12.47,27,15.75,6
