Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Arbitrage Fund - Growth,24.86,03-Jul-2024,12683.8628, May 2024 ,0.15,9,0.25,9,0.75,7,1.39,11,1.82,16,3.89,13,5.74,10,7.78,10,6.78,11,5.62,11,5.21,11,5.48,10,5.86,9,6.34,5,--,--,4.1,13,6.28,11
Axis Arbitrage Fund - Reg - Growth,17.51,03-Jul-2024,4938.6184, May 2024 ,0.15,10,0.25,10,0.74,12,1.37,17,1.86,12,3.97,5,5.81,5,7.71,14,6.65,17,5.71,5,5.2,12,5.44,11,--,--,--,--,--,--,4.18,4,5.82,14
Bajaj Finserv Arbitrage Fund - Reg - Growth,10.56,03-Jul-2024,550.834, May 2024 ,0.09,25,0.24,21,0.68,24,1.27,25,1.67,25,3.45,26,5.24,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.68,25,5.6,17
Bandhan Arbitrage Fund - Reg - Growth,30.38,03-Jul-2024,6202.7179, May 2024 ,0.16,3,0.26,3,0.75,6,1.41,6,1.87,7,3.87,14,5.73,12,7.72,13,6.82,8,5.62,10,5.08,16,5.41,12,5.81,10,6.33,7,6.42,4,4.1,10,6.54,8
Bank of India Arbitrage Fund - Reg - Growth,12.96,03-Jul-2024,31.2388, May 2024 ,0.14,19,0.23,22,0.71,21,1.34,20,1.7,24,3.46,25,5.14,25,6.93,24,5.86,23,4.59,23,4.1,21,--,--,--,--,--,--,--,--,3.66,26,4.38,24
Baroda BNP Paribas Arbitrage Fund - Reg - Growth,15.07,03-Jul-2024,1059.621, May 2024 ,0.16,4,0.25,8,0.73,16,1.41,9,1.89,4,3.89,11,5.72,13,7.89,4,6.75,13,5.54,16,5.22,10,5.48,9,--,--,--,--,--,--,4.13,8,5.61,16
DSP Arbitrage Fund - Reg - Growth,14,03-Jul-2024,5226.6427, May 2024 ,0.16,5,0.26,4,0.74,11,1.34,19,1.81,18,3.8,17,5.63,18,7.61,17,6.8,10,5.57,14,5.09,15,--,--,--,--,--,--,--,--,4.03,17,5.36,19
Edelweiss Arbitrage Fund - Reg - Growth,18.14,03-Jul-2024,11768.8776, May 2024 ,0.15,11,0.25,11,0.74,13,1.41,7,1.86,10,4.01,2,5.83,3,7.89,3,6.9,4,5.81,4,5.36,3,5.62,2,6.1,1,--,--,--,--,4.22,2,6.12,12
Groww Arbitrage Fund - Reg - Growth,0.00,--,2.49, Sep 2023 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HDFC Arbitrage Fund - WP - Growth,28.67,03-Jul-2024,12297.9582, May 2024 ,0.16,6,0.26,5,0.76,4,1.4,10,1.87,8,3.93,7,5.82,4,7.85,6,6.9,5,5.67,8,5.12,14,5.31,13,5.76,11,6.19,9,6.38,6,4.14,7,6.51,9
HSBC Arbitrage Fund - Reg - Growth,17.8,03-Jul-2024,2274.1365, May 2024 ,0.15,12,0.25,12,0.71,20,1.38,16,1.79,19,3.79,18,5.65,17,7.67,16,6.7,16,5.49,17,5.24,8,5.5,8,5.92,7,--,--,--,--,4.01,18,5.93,13
ICICI Prudential Equity - Arbitrage Fund - Reg - Growth,32.08,03-Jul-2024,20894.1192, May 2024 ,0.15,13,0.25,13,0.74,14,1.39,13,1.84,14,3.87,15,5.7,16,7.77,11,6.86,6,5.7,6,5.24,7,5.5,7,5.93,5,6.56,2,6.58,2,4.08,14,6.88,2
