Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Balanced Hybrid Fund - Reg - Growth,12.21,03-Jul-2024,706.8543, May 2024 ,1.47,6,2.15,10,3.86,7,7.81,4,10.38,1,14.96,3,21.49,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.65,3,22.13,2
Aditya Birla Sun Life Balanced Advantage Fund - Growth,98.76,03-Jul-2024,7181.782, May 2024 ,0.86,27,1.55,23,3.21,11,6.1,8,7.76,7,11.96,14,18.92,17,22,18,19.05,13,12.28,12,12.84,7,10.53,6,11.05,5,12.17,6,11.06,5,11.69,15,9.92,28
Axis Balanced Advantage Fund - Reg - Growth,19.64,03-Jul-2024,2183.6654, May 2024 ,1.13,13,2.24,7,3.37,10,8.09,3,8.21,5,14.79,4,23.99,5,28.11,6,21.02,7,13.79,4,12.06,12,--,--,--,--,--,--,--,--,13.92,4,10.24,25
Bajaj Finserv Balanced Advantage Fund - Reg - Growth,11.12,03-Jul-2024,1115.0624, May 2024 ,0.96,20,1.5,25,1.72,28,4.77,26,5.32,29,10.7,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.86,28,11.19,19
Bandhan Balanced Advantage Fund - Reg - Growth,22.92,03-Jul-2024,2216.8631, May 2024 ,0.99,18,1.58,22,2.5,18,4.6,29,6.58,19,10.9,21,16.36,28,18.95,26,17.21,21,10.26,19,11.12,15,9.93,8,--,--,--,--,--,--,10.62,22,8.89,32
Bank of India Balanced Advantage Fund - Reg - Growth,25.05,03-Jul-2024,126.4421, May 2024 ,1.19,10,1.68,18,1.57,30,5.36,17,5.7,27,12.08,12,22.62,7,25.19,11,20.93,8,16.05,2,12.47,11,8.26,12,8.51,10,--,--,--,--,11.47,17,9.31,31
Baroda BNP Paribas Balanced Advantage Fund - Reg - Growth,22.87,03-Jul-2024,3833.8619, May 2024 ,0.87,26,1.34,27,2.12,26,4.99,23,6.72,17,12.38,8,21.81,9,25.09,12,23.8,2,14.97,3,16.41,2,--,--,--,--,--,--,--,--,11.97,11,15.81,8
DSP Dynamic Asset Allocation Fund - Reg - Growth,25.67,03-Jul-2024,3125.5907, May 2024 ,0.62,30,1.1,30,2.59,17,5.79,12,8.27,4,10.02,29,17.24,25,21.05,23,16.99,22,9.99,20,10.88,16,9.24,11,9.1,9,--,--,--,--,9.96,26,9.48,30
Edelweiss Balanced Advantage Fund - Growth,49.15,03-Jul-2024,11281.6564, May 2024 ,1.26,9,1.8,16,2.18,25,4.89,25,7.2,12,13.46,5,22.29,8,25.37,10,20.89,9,13.67,5,15.44,3,12.88,2,11.91,2,12.44,5,--,--,12.83,6,11.29,18
Franklin India Balanced Advantage Fund - Reg - Growth,13.59,03-Jul-2024,1912.0102, May 2024 ,0.39,34,1.24,28,2.5,19,5.32,18,6.8,16,12.32,9,19.7,14,26.09,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.06,9,18.32,5
HDFC Balanced Advantage Fund - Reg - Growth(Adjusted-NAV),497.88,03-Jul-2024,86471.3227, May 2024 ,1.13,14,1.94,15,0.96,32,5.82,11,8.69,2,16.22,2,29.83,2,40.6,2,33.23,1,24.41,1,19.07,1,15.9,1,14.54,1,16.43,1,16.38,1,16.49,2,18.69,4
Helios Balanced Advantage Fund - Reg - Growth,10.97,03-Jul-2024,185.0597, May 2024 ,0.73,28,1.11,29,2.24,24,4.68,28,6.82,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.7,29
