Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Banking and Financial Services Fund - Reg - Growth,56.94,03-Jul-2024,3069.7845, May 2024 ,1.26,13,3.72,3,5.88,7,7.13,11,10.39,13,13.25,11,18.38,15,24.9,10,30.82,6,16.56,9,13.36,7,12.25,7,15.06,3,--,--,--,--,12.89,11,17.91,6
Bandhan Financial Services Fund - Reg - Growth,13.36,03-Jul-2024,796.2711, May 2024 ,1.19,14,2.73,14,6.35,5,6.91,13,10.49,12,15.41,5,31.2,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.07,4,33.59,2
Baroda BNP Paribas Banking & Financial Services Fund - Growth,42.85,03-Jul-2024,136.7756, May 2024 ,0.74,19,2.6,16,2.66,19,5.49,19,9.17,17,11.14,16,25.58,6,26.9,6,28.16,12,15.65,12,11.51,10,11.73,8,11.95,7,12.83,6,--,--,10.39,17,12.85,17
DSP Banking and Financial Services Fund - Reg - Growth,11.41,03-Jul-2024,684.9126, May 2024 ,1.39,7,3.53,5,4.76,12,7.13,12,12.12,7,13.02,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.95,9,14.08,15
Groww Banking & Financial Services Fund - Reg - Growth,11.06,03-Jul-2024,36.6186, May 2024 ,0.92,18,2.9,10,3.96,16,5.6,17,8.92,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.55,19
HDFC Banking & Financial Services Fund - Reg - Growth,15.92,03-Jul-2024,3294.5982, May 2024 ,1.29,11,3.07,8,5.58,10,8.32,6,12.36,5,13.5,9,24.77,7,25.33,9,31.45,5,16.99,5,--,--,--,--,--,--,--,--,--,--,13.07,8,16.71,10
ICICI Prudential Banking and Financial Services Fund - Retail - Growth,121.08,03-Jul-2024,7107.4267, May 2024 ,1.53,4,3.94,2,7.36,1,9.8,1,11.84,8,14.07,8,22.06,12,22.54,14,26.5,13,14.61,13,11.83,9,11.44,9,14.53,4,17.31,1,16.52,1,12.92,10,17.01,8
Invesco India Financial Services Fund - Reg - Growth,122.7,03-Jul-2024,810.1773, May 2024 ,1.04,16,2.43,19,4.33,14,5.86,15,10.22,15,16.3,3,32.31,3,35.21,2,35.34,2,18.94,3,15.29,2,14.22,3,15.74,1,16.61,2,16.26,2,16.16,3,16.99,9
ITI Banking and Financial Services Fund - Reg - Growth,13.9,03-Jul-2024,258.8133, May 2024 ,1.12,15,3.02,9,3.88,17,5.6,18,8.3,20,11.19,15,16.59,17,17.49,16,23.89,14,--,--,--,--,--,--,--,--,--,--,--,--,10.45,16,13.63,16
Kotak Banking & Financial Services Fund - Reg - Growth,14.33,03-Jul-2024,854.2598, May 2024 ,0.97,17,2.89,11,5.15,11,8.36,5,12.27,6,14.49,6,23.03,10,24.19,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.77,7,30.58,3
LIC MF Banking & Financial Services Fund - Reg - Growth,20.68,03-Jul-2024,285.1876, May 2024 ,1.46,6,2.88,12,6.69,4,8.08,8,12.52,4,9.09,18,17.76,16,19.37,15,29.12,11,16.52,10,11.88,8,8.78,11,--,--,--,--,--,--,8.52,18,8.15,20
Mirae Asset Banking and Financial Services Fund - Reg - Growth,18.96,03-Jul-2024,1671.2867, May 2024 ,1.31,9,3.5,6,6.77,3,8.78,2,13.34,1,15.58,4,23.47,9,27.39,5,30.72,7,17.82,4,--,--,--,--,--,--,--,--,--,--,14.82,5,19.68,5
