Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Business Cycle Fund - Reg - Growth,14.71,02-Jul-2024,1701.4643, May 2024 ,0.82,9,2.8,5,6.13,2,10.35,4,11.02,9,18.15,9,28.58,9,33.12,8,27.13,5,--,--,--,--,--,--,--,--,--,--,--,--,17.21,9,16.13,9
Axis Business Cycles Fund - Reg - Growth,16.16,03-Jul-2024,2699.4426, May 2024 ,2.21,3,3.06,3,4.6,7,9.86,5,11.99,5,21.14,7,33.89,7,41.87,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.7,8,42.26,3
Baroda BNP Paribas Business Cycle Fund - Reg - Growth,16.04,03-Jul-2024,527.4603, May 2024 ,2.27,2,2.7,6,5.97,3,9.27,7,11.59,6,20.68,8,39.59,4,47.29,4,35.1,4,--,--,--,--,--,--,--,--,--,--,--,--,21.07,7,18.37,8
HDFC Business Cycle Fund - Reg - Growth,14.37,03-Jul-2024,2906.7468, May 2024 ,0.83,8,2.39,7,5.18,6,9.23,8,9.89,10,14.02,10,26.49,10,31.55,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.42,10,25.57,6
HSBC Business Cycles Fund - Reg - Growth,41.93,03-Jul-2024,856.1325, May 2024 ,1.77,6,3.04,4,5.42,4,12.34,2,18.66,1,32.94,1,46.4,2,53.75,2,42.65,1,26.58,1,21.09,1,15.55,1,--,--,--,--,--,--,32.45,1,15.62,10
ICICI Prudential Business Cycle Fund - Reg - Growth,22.53,02-Jul-2024,9663.2398, May 2024 ,0.72,10,1.95,10,2.22,11,5.87,11,7.59,11,22.18,5,38.82,5,47.06,5,36.06,3,25.14,2,--,--,--,--,--,--,--,--,--,--,21.65,6,26.51,4
Kotak Business Cycle Fund - Reg - Growth,15.04,03-Jul-2024,2470.5122, May 2024 ,0.54,11,1.7,11,6.45,1,12.48,1,15.37,2,22.38,4,31.14,8,36.49,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.85,5,26.04,5
Mahindra Manulife Business Cycle Fund - Reg - Growth,14.86,03-Jul-2024,877.7141, May 2024 ,2.94,1,4.1,1,5.39,5,9.84,6,14.46,3,28.26,2,48.42,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29.49,2,48.55,2
Quant Business Cycle Fund - Reg - Growth,17.51,03-Jul-2024,1276.8493, May 2024 ,1.89,5,2.04,9,4.1,8,8.52,10,11.31,7,24.09,3,45.48,3,66.55,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24.85,3,66.69,1
Tata Business Cycle Fund - Reg - Growth,19.37,03-Jul-2024,2311.1882, May 2024 ,1.56,7,2.35,8,3.64,9,9.09,9,11.26,8,21.92,6,37.15,6,51.85,3,41.3,2,--,--,--,--,--,--,--,--,--,--,--,--,21.86,4,25.46,7
Union Business Cycle Fund - Reg - Growth,11.53,03-Jul-2024,485.0677, May 2024 ,2.04,4,3.41,2,3.5,10,10.44,3,12.93,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.3,11
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.54,--,1.7,--,2.22,--,5.87,--,7.59,--,14.02,--,26.49,--,31.55,--,27.13,--,25.14,--,21.09,--,15.55,--,--,--,--,--,--,--,13.42,--,15.3,--
