Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Bal Bhavishya Yojna - Reg - Growth,19.57,03-Jul-2024,994.5404, May 2024 ,1.29,4,2.57,5,4.6,6,8.48,6,11.57,5,16.49,4,24.73,5,32.04,5,27,5,14.17,7,13.38,6,--,--,--,--,--,--,--,--,15.87,3,13.21,5
Axis Childrens Gift Fund - without Lock in - Reg - Growth,24.62,03-Jul-2024,822.8964, May 2024 ,1.47,3,2.61,3,5.5,5,9.26,5,10.19,7,12.61,8,18.04,8,19.81,8,17.08,8,10.29,8,12.45,7,11.47,5,--,--,--,--,--,--,11.65,8,11.08,6
HDFC Childrens Gift Fund,285.71,03-Jul-2024,9018.6047, May 2024 ,1.07,7,2.31,6,3.7,7,7.33,7,10.32,6,14.47,7,24.72,6,29.27,7,27.73,4,18.3,3,18.25,2,15.13,1,14.72,1,16.54,1,17.02,1,13.88,7,16.74,2
ICICI Prudential Child Care Fund (Gift Plan),310.66,03-Jul-2024,1267.087, May 2024 ,1.19,6,1.71,8,2.83,8,7.2,8,9.67,8,18.46,2,34.72,1,42.72,1,30.71,2,20.62,2,16.51,4,13.86,4,12.75,4,15.24,2,15.17,2,18.64,2,16.22,3
LIC MF Childrens Fund,33.31,03-Jul-2024,15.7002, May 2024 ,0.97,8,2.6,4,7.39,3,10.62,4,11.8,4,15.11,5,24.68,7,30.25,6,24.07,7,14.27,6,13.69,5,9.97,6,10.06,5,10.9,5,8.18,5,14.54,6,5.45,8
SBI Magnum Childrens Benefit Fund - Investment Plan - Reg - Growth,38.85,02-Jul-2024,2023.4194, May 2024 ,1.99,2,2.91,2,11.33,1,13.52,1,19.01,1,26.07,1,34.02,2,42.67,2,35.03,1,30.38,1,--,--,--,--,--,--,--,--,--,--,25.46,1,43.48,1
Tata Young Citizens Fund - Reg,61.78,03-Jul-2024,336.7159, May 2024 ,3.09,1,4.22,1,8.61,2,10.76,3,12.38,3,15.04,6,26.78,4,33.01,4,29.54,3,18.16,4,19.3,1,13.86,3,13.3,3,13.36,4,12.56,4,14.96,5,13.4,4
UTI Childrens Equity Fund - Growth,84.36,03-Jul-2024,1010.4927, May 2024 ,1.21,5,2.27,7,7.33,4,11.4,2,14.15,2,16.65,3,28.14,3,33.44,3,26.32,6,15.67,5,18.12,3,14.2,2,13.69,2,14.92,3,13.23,3,15.62,4,10.98,7
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.97,--,1.71,--,2.83,--,7.2,--,9.67,--,12.61,--,18.04,--,19.81,--,17.08,--,10.29,--,12.45,--,9.97,--,10.06,--,10.9,--,8.18,--,11.65,--,5.45,--
Maximum,--,--,--,--,3.09,--,4.22,--,11.33,--,13.52,--,19.01,--,26.07,--,34.72,--,42.72,--,35.03,--,30.38,--,19.3,--,15.13,--,14.72,--,16.54,--,17.02,--,25.46,--,43.48,--
Average,--,--,--,--,1.53,--,2.65,--,6.41,--,9.82,--,12.39,--,16.86,--,26.98,--,32.9,--,27.18,--,17.73,--,15.96,--,13.08,--,12.9,--,14.19,--,13.23,--,16.33,--,16.32,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
