Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Commodities Equities Fund - Global Agri Plan - Growth,0.00,--,13.04, Jun 2023 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ICICI Prudential Commodities Fund - Reg - Growth,43.35,03-Jul-2024,2370.7661, May 2024 ,2.85,2,3.19,1,4.94,1,8.35,1,11.81,2,23.05,2,38.81,1,48.86,1,40.85,1,24.6,1,--,--,--,--,--,--,--,--,--,--,22.63,2,36.44,1
Quant Commodities Fund - Reg - Growth,13.38,03-Jul-2024,368.1251, May 2024 ,2.04,3,2.73,2,2.64,2,6.97,2,11.89,1,34.53,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32.83,1,33.82,2
SBI Magnum COMMA Fund - Growth,101.75,03-Jul-2024,595.3117, May 2024 ,2.98,1,2.48,3,1.02,3,3.88,3,8.03,3,14.25,3,31.59,2,45.31,2,31.35,2,16.07,2,22.42,1,16.33,1,14.64,1,14.23,1,12.16,1,14.38,3,13.05,3
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,2.04,--,2.48,--,1.02,--,3.88,--,8.03,--,14.25,--,31.59,--,45.31,--,31.35,--,16.07,--,22.42,--,16.33,--,14.64,--,14.23,--,12.16,--,14.38,--,13.05,--
Maximum,--,--,--,--,2.98,--,3.19,--,4.94,--,8.35,--,11.89,--,34.53,--,38.81,--,48.86,--,40.85,--,24.6,--,22.42,--,16.33,--,14.64,--,14.23,--,12.16,--,32.83,--,36.44,--
Average,--,--,--,--,2.62,--,2.8,--,2.87,--,6.4,--,10.58,--,23.94,--,35.2,--,47.09,--,36.1,--,20.34,--,22.42,--,16.33,--,14.64,--,14.23,--,12.16,--,23.28,--,27.77,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
