Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life India GenNext Fund - Growth,207.24,03-Jul-2024,5026.9326, May 2024 ,0.93,11,1.43,9,7.24,10,9.08,8,12.36,7,15.94,9,27.32,11,32.46,11,28.19,10,19.45,9,19.72,7,16.31,6,17.48,4,19.05,1,18.45,1,15.71,9,17.37,8
Baroda BNP Paribas India Consumption Fund - Reg - Growth,30.57,03-Jul-2024,1268.3528, May 2024 ,0.98,10,1.02,12,7.45,7,9.74,4,12.5,6,17.36,6,30.03,6,34.33,7,29.64,8,20.12,8,20.94,5,--,--,--,--,--,--,--,--,17.33,7,21.15,4
Canara Robeco Consumer Trends Fund - Reg - Growth,105.67,03-Jul-2024,1486.2819, May 2024 ,1.2,6,1.47,8,6.37,12,6.83,13,11.15,12,17.8,5,30.8,5,35.1,5,31.69,4,21,5,21.58,3,17.95,1,17.92,1,18.73,3,--,--,18.24,5,17.26,9
HDFC Non-Cyclical Consumer Fund - Reg - Growth,13.31,03-Jul-2024,656.4483, May 2024 ,0.92,12,1.42,10,6.2,13,5.96,15,11.06,13,13.88,12,26.37,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.44,12,33.12,2
HSBC Consumption Fund - Reg - Growth,13.62,03-Jul-2024,1231.8867, May 2024 ,1.11,7,1.55,7,8.79,3,7.49,11,11.5,11,20.82,1,34.93,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.85,2,36.15,1
ICICI Prudential Bharat Consumption Fund - Reg - Growth,24.3,03-Jul-2024,2349.5364, May 2024 ,0.66,14,0.7,15,4.92,15,7.1,12,8,14,13.6,13,27.76,9,37.48,3,28.61,9,23.71,3,19.5,8,--,--,--,--,--,--,--,--,13.92,13,18.5,5
Kotak Consumption Fund - Reg - Growth,12.54,03-Jul-2024,604.3842, May 2024 ,1.02,9,1.83,4,8.89,2,12.06,1,16.68,1,17.1,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.63,6,25.36,3
Mahindra Manulife Consumption Fund - Reg - Growth,22.62,03-Jul-2024,195.4002, May 2024 ,1.08,8,1.57,6,7.26,9,9.33,7,12.6,5,20.55,2,32.99,2,37.58,2,31.43,5,20.13,7,17.5,10,--,--,--,--,--,--,--,--,21.02,1,15.57,12
Mirae Asset Great Consumer Fund - Growth,90.2,03-Jul-2024,3409.1966, May 2024 ,1.58,3,2.04,2,7.76,5,9.63,5,13.08,4,15.4,10,29.32,7,34.32,8,32.21,2,22.29,4,20.95,4,17.84,2,17.49,3,19.02,2,--,--,14.98,10,18.02,7
Nippon India Consumption Fund - Reg - Growth,195.81,03-Jul-2024,833.9473, May 2024 ,0.87,13,0.99,13,6.53,11,9.82,2,13.85,2,19.41,4,32.27,3,40.56,1,33.25,1,25.04,2,24.88,1,17.38,3,14.86,6,17.54,4,16.65,2,20.18,3,16.24,11
Quant Consumption Fund - Reg - Growth,11.11,03-Jul-2024,262.3744, May 2024 ,2.35,1,1.15,11,5.23,14,6.57,14,5.22,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.14,14
SBI Consumption Opportunities Fund - Growth,309.44,03-Jul-2024,2182.9437, May 2024 ,1.26,5,1.77,5,7.95,4,8.91,9,12.11,9,16.41,8,27.41,10,35.02,6,31.29,6,25.57,1,22.87,2,16.95,4,17.52,2,--,--,--,--,16.35,8,17.07,10
