Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Dividend Yield Fund - Growth,449.57,02-Jul-2024,1366.0536, May 2024 ,1.55,7,2.11,8,4.13,5,7.8,6,10.15,6,18.59,8,37.96,5,50.73,3,40.98,1,24.21,4,23.24,4,15.19,5,13.79,5,14.99,4,15.38,3,17.94,8,19.5,5
HDFC Dividend Yield Fund - Reg - Growth,25.06,03-Jul-2024,5144.7242, May 2024 ,2.07,2,3.5,1,5.39,3,9.78,3,11.88,4,19.06,6,34.9,7,47.9,5,38.06,4,26.72,2,--,--,--,--,--,--,--,--,--,--,19,6,29.61,2
ICICI Prudential Dividend Yield Equity Fund - Reg - Growth,49.57,03-Jul-2024,3930.8367, May 2024 ,1.29,8,2.63,4,3.44,6,6.85,8,8.83,8,22.43,3,40.98,2,53.34,2,40.28,3,29.41,1,24.52,1,16.87,3,15.98,2,--,--,--,--,22.33,3,17.1,6
LIC MF Dividend Yield Fund - Reg - Growth,30.09,03-Jul-2024,189.2935, May 2024 ,1.88,3,3.06,2,6.75,1,12.79,2,17.13,1,31.48,1,48.9,1,59.75,1,40.31,2,24.72,3,24.22,2,--,--,--,--,--,--,--,--,31.2,1,22.01,3
SBI Dividend Yield Fund - Reg - Growth,15.32,03-Jul-2024,7629.6483, May 2024 ,1.65,5,2.12,7,4.48,4,9.72,4,11.27,5,20.12,5,32.07,9,38.03,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.04,5,38.57,1
Sundaram Dividend Yield Fund - Growth,137.5,03-Jul-2024,872.3031, May 2024 ,1.75,4,2.32,5,3.04,7,7.38,7,9.03,7,17.59,9,35.85,6,44.15,8,32.51,7,20.63,8,20.9,6,16.89,2,15.27,3,16.21,2,15.45,2,17.47,9,14.21,9
Tata Dividend Yield Fund - Reg - Growth,18.45,03-Jul-2024,927.0446, May 2024 ,1.6,6,2.28,6,2.65,8,9.68,5,13.16,3,18.78,7,33.28,8,45.28,7,35.79,5,21.67,6,--,--,--,--,--,--,--,--,--,--,18.64,7,21.67,4
Templeton India Equity Income Fund - Growth,137.74,02-Jul-2024,2210.6787, May 2024 ,1.21,9,1.22,9,0.93,9,5.92,9,8.16,9,20.21,4,39.33,3,46.77,6,31.77,8,23.22,5,24.03,3,18.47,1,16.5,1,17.75,1,16.57,1,20.32,4,15.56,8
UTI Dividend Yield Fund - Growth,171.2,03-Jul-2024,3776.1298, May 2024 ,2.21,1,2.63,3,6.74,2,12.82,1,15.7,2,23.62,2,39.32,4,50.61,4,35.12,6,21.23,7,21.4,5,16.86,4,14.47,4,15.15,3,14.93,4,23.17,2,15.96,7
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.21,--,1.22,--,0.93,--,5.92,--,8.16,--,17.59,--,32.07,--,38.03,--,31.77,--,20.63,--,20.9,--,15.19,--,13.79,--,14.99,--,14.93,--,17.47,--,14.21,--
Maximum,--,--,--,--,2.21,--,3.5,--,6.75,--,12.82,--,17.13,--,31.48,--,48.9,--,59.75,--,40.98,--,29.41,--,24.52,--,18.47,--,16.5,--,17.75,--,16.57,--,31.2,--,38.57,--
Average,--,--,--,--,1.69,--,2.43,--,4.17,--,9.19,--,11.7,--,21.32,--,38.07,--,48.51,--,36.85,--,23.98,--,23.05,--,16.86,--,15.2,--,16.03,--,15.58,--,21.01,--,21.58,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
