Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life ELSS Tax Saver Fund - Growth,58.45,03-Jul-2024,15481.4307, May 2024 ,1.23,29,2.63,25,5.41,22,10.28,13,12.95,16,19.46,21,29.66,26,35.13,28,26.01,32,13.48,33,13.43,32,11.33,30,13.35,22,15.76,19,13.66,18,19.24,20,11.41,35
Axis ELSS Tax Saver Fund - Growth,92.38,03-Jul-2024,34895.6392, May 2024 ,1.06,34,1.68,35,6.05,13,7.47,36,7.76,37,16.86,29,27.91,29,29.75,36,25.04,33,11.22,34,14.64,31,14.06,25,14.52,12,17.8,7,--,--,16.39,29,16.55,18
Bandhan ELSS Tax saver Fund - Reg - Growth,151.94,03-Jul-2024,6433.5621, May 2024 ,1.77,22,2.69,23,5.29,23,8.26,30,9.05,35,17.34,25,27.28,31,35.33,27,31.43,16,20.55,13,21.54,7,17.09,9,16.96,6,18.99,5,17.35,2,16.64,27,19.15,12
Bank of India ELSS Tax Saver - Reg - Growth,174.24,03-Jul-2024,1326.5718, May 2024 ,2.4,8,2.2,28,3.36,35,9.54,24,12.73,20,26.66,5,44.78,5,58.92,1,42.12,3,23.83,6,27.53,2,20.94,2,18.38,2,19.34,2,16.62,5,27,5,20.45,8
Baroda BNP Paribas ELSS Tax Saver Fund - Growth,92.31,03-Jul-2024,880.2197, May 2024 ,2.49,5,2.9,20,5.26,24,8.75,28,12.82,18,20.86,17,38.89,10,44.15,13,33.01,13,18.89,22,18.51,17,14.71,18,14.4,13,16.53,13,15.48,13,19.93,17,12.76,33
Canara Robeco ELSS Tax Saver - Growth,170.68,03-Jul-2024,7925.6798, May 2024 ,2.06,15,2.99,17,4.75,31,10.1,18,12.02,23,18.14,23,31.01,22,34.69,29,28.94,25,17.73,28,20.31,11,17.74,7,15.56,10,16.8,11,16.37,8,17.5,23,20.19,9
DSP ELSS Tax Saver Fund - Growth,133.76,03-Jul-2024,15161.2033, May 2024 ,2.33,9,3.42,7,6.01,16,12.18,4,16.59,3,23.07,9,38.91,9,48.32,7,35.08,10,21.85,9,22.05,6,17.81,6,17.27,4,19.32,3,17.51,1,22.73,9,16.01,21
Edelweiss ELSS Tax saver Fund - Growth,108.94,03-Jul-2024,350.6198, May 2024 ,1.79,21,2.91,19,6.03,14,11.87,6,13.44,14,21.31,13,34.48,20,38.78,20,31.21,17,19.54,16,17.97,22,14.31,23,14.01,15,15.81,18,14.14,16,20.24,14,16.64,17
Franklin India ELSS Tax Saver Fund - Growth,1430.45,03-Jul-2024,6397.5056, May 2024 ,1.49,27,3.18,14,4.87,27,9.53,25,11.66,25,20.03,19,34.92,17,46.16,11,35.57,9,22.35,8,19.79,13,15.8,13,15.76,9,17.18,9,16.43,7,19.54,19,21.72,6
Groww ELSS Tax Savings Fund - Reg - Growth,20.29,03-Jul-2024,46.0131, May 2024 ,1.86,18,2.79,22,4.86,28,9.38,26,10.57,28,19.56,20,35.27,14,40.29,19,29.68,23,18.12,27,15.32,29,--,--,--,--,--,--,--,--,18.31,21,11.47,34
HDFC ELSS Taxsaver Fund - Growth,1322.5,03-Jul-2024,14752.932, May 2024 ,0.91,35,2.32,26,4.84,29,10.25,14,12.47,22,21.54,11,39.33,8,47.26,8,37.38,8,26.73,3,19.85,12,15.25,15,13.71,19,16.19,15,15.61,11,21.29,11,23.87,5
