Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life ESG Integration Strategy Fund - Reg - Growth,16.93,03-Jul-2024,666.4338, May 2024 ,1.68,3,3.04,2,7.9,1,14.01,1,13.62,1,17.57,3,27.1,7,31.75,6,25.15,6,13.73,7,--,--,--,--,--,--,--,--,--,--,16.04,4,16.1,7
Axis ESG Integration Strategy Fund - Reg - Growth,20.81,02-Jul-2024,1338.0453, May 2024 ,1.17,6,1.41,8,5.26,5,7.16,8,7.49,8,15.35,6,28.3,5,30.31,7,24.36,8,12.04,8,--,--,--,--,--,--,--,--,--,--,13.65,7,18.17,4
ICICI Prudential ESG Exclusionary Strategy Fund - Reg - Growth,20.33,02-Jul-2024,1409.9299, May 2024 ,0.64,8,3.2,1,6.38,3,8.6,6,9.24,6,15.12,7,30.82,2,38.77,2,30.34,2,16.03,3,--,--,--,--,--,--,--,--,--,--,15.64,5,20.94,2
Invesco India ESG Integration Strategy Fund - Reg - Growth,17.24,03-Jul-2024,527.3333, May 2024 ,1.53,5,2.44,4,6.29,4,8.36,7,12.17,3,17.2,4,28.46,4,34.16,4,25.99,5,14.89,4,--,--,--,--,--,--,--,--,--,--,16.33,3,18,5
Kotak ESG Exclusionary Strategy Fund - Reg - Growth,17.03,03-Jul-2024,988.804, May 2024 ,1.57,4,2.46,3,4.68,6,10.13,3,11.27,4,18.11,2,28.61,3,34.5,3,27.7,3,14.15,5,--,--,--,--,--,--,--,--,--,--,16.5,2,16.1,6
Quant ESG Equity Fund - Reg - Growth,34.41,03-Jul-2024,266.0717, May 2024 ,1.72,2,1.78,7,2.04,8,9.47,5,10.54,5,21.5,1,37.04,1,48.73,1,37.36,1,29.3,1,--,--,--,--,--,--,--,--,--,--,23.13,1,40.2,1
Quantum ESG Best In Class Strategy Fund - Reg - Growth,23.29,03-Jul-2024,76.5381, May 2024 ,1.88,1,2.33,6,7.38,2,9.7,4,8.02,7,13.44,8,24.01,8,29.15,8,24.54,7,14,6,--,--,--,--,--,--,--,--,--,--,12.84,8,18.5,3
SBI ESG Exclusionary Strategy Fund - Growth,234.99,02-Jul-2024,5534.2496, May 2024 ,0.8,7,2.43,5,4.62,7,10.79,2,12.42,2,16.74,5,27.89,6,31.81,5,26.19,4,16.78,2,16.61,1,14.82,1,14.01,1,15.23,1,14.16,1,14.88,6,14.77,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.64,--,1.41,--,2.04,--,7.16,--,7.49,--,13.44,--,24.01,--,29.15,--,24.36,--,12.04,--,16.61,--,14.82,--,14.01,--,15.23,--,14.16,--,12.84,--,14.77,--
Maximum,--,--,--,--,1.88,--,3.2,--,7.9,--,14.01,--,13.62,--,21.5,--,37.04,--,48.73,--,37.36,--,29.3,--,16.61,--,14.82,--,14.01,--,15.23,--,14.16,--,23.13,--,40.2,--
Average,--,--,--,--,1.37,--,2.39,--,5.57,--,9.78,--,10.6,--,16.88,--,29.03,--,34.9,--,27.7,--,16.37,--,16.61,--,14.82,--,14.01,--,15.23,--,14.16,--,16.13,--,20.35,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
