Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
DSP Natural Resources & New Energy Fund - Reg - Gth,92.92,02-Jul-2024,1173.063, May 2024 ,1.5,3,1.21,3,-1.71,3,4.17,3,10.11,2,23.97,1,44.85,1,54.95,1,41.73,1,22.06,1,23.23,2,17.4,2,17.94,1,18.01,1,15.85,1,23.87,1,14.75,2
SBI Energy Opportunities Fund - Reg - Growth,11.34,03-Jul-2024,8833.323, May 2024 ,3.03,1,4.19,1,1.12,1,6.06,2,9.88,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.37,3
Tata Resources & Energy Fund - Reg - Growth,44.57,03-Jul-2024,646.3407, May 2024 ,2.09,2,2.41,2,0.63,2,6.56,1,11.09,1,20.18,2,36.59,2,44.95,2,35.45,2,19.48,2,25.5,1,17.86,1,--,--,--,--,--,--,20.44,2,19.17,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.5,--,1.21,--,-1.71,--,4.17,--,9.88,--,20.18,--,36.59,--,44.95,--,35.45,--,19.48,--,23.23,--,17.4,--,17.94,--,18.01,--,15.85,--,20.44,--,13.37,--
Maximum,--,--,--,--,3.03,--,4.19,--,1.12,--,6.56,--,11.09,--,23.97,--,44.85,--,54.95,--,41.73,--,22.06,--,25.5,--,17.86,--,17.94,--,18.01,--,15.85,--,23.87,--,19.17,--
Average,--,--,--,--,2.21,--,2.6,--,0.01,--,5.6,--,10.36,--,22.07,--,40.72,--,49.95,--,38.59,--,20.77,--,24.37,--,17.63,--,17.94,--,18.01,--,15.85,--,22.16,--,15.76,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
