Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Savings Fund - Reg - Growth,20.45,03-Jul-2024,535.6735, May 2024 ,0.49,16,0.74,19,1.24,21,2.51,21,3.23,18,5.52,19,8.78,19,11.05,19,11.75,18,6.91,21,8.46,16,7.08,14,--,--,--,--,--,--,5.52,19,7.73,18
Axis Equity Saver Fund - Reg - Growth,20.97,03-Jul-2024,900.2314, May 2024 ,0.62,10,1.3,6,1.94,10,4.12,4,4.59,12,8.26,9,14.59,5,18.02,6,14.74,10,9.78,10,9.94,10,9.32,6,--,--,--,--,--,--,7.93,11,8.68,13
Bandhan Equity Savings Fund - Reg - Growth,29.44,03-Jul-2024,118.6719, May 2024 ,0.5,15,0.85,17,1.49,19,2.83,18,3.14,20,5.46,20,8.52,20,10.76,21,9.77,21,7.25,20,7.53,19,6.86,15,6.79,7,7.08,7,6.89,5,5.42,20,6.95,21
Baroda BNP Paribas Equity Savings Fund - Reg - Growth,15.59,03-Jul-2024,236.8986, May 2024 ,0.7,7,1.14,9,2.2,9,3.63,12,4.65,11,7.93,12,14.29,9,16.05,14,14.35,11,9.49,13,--,--,--,--,--,--,--,--,--,--,7.84,12,9.39,7
DSP Equity Savings Fund - Reg - Growth,20.23,03-Jul-2024,1206.0089, May 2024 ,1.01,3,1.47,3,3.16,3,3.89,7,5.33,4,8.02,11,13.32,12,15.43,15,13,15,9.32,14,9.58,11,8.24,9,--,--,--,--,--,--,8.07,10,8.89,11
Edelweiss Equity Savings Fund - Reg - Growth,23.19,03-Jul-2024,405.6851, May 2024 ,0.4,18,0.86,16,1.93,11,3.68,11,4.71,10,8.7,7,13.38,11,17.06,10,14.14,12,9.75,11,10.44,9,9.53,3,--,--,--,--,--,--,8.72,6,9.03,10
Franklin India Equity Savings Fund - Reg - Growth,15.39,03-Jul-2024,584.7301, May 2024 ,0.39,19,0.64,21,1.18,22,2.68,20,3.2,19,5.74,18,9.11,18,11.65,18,11.5,19,8.07,19,8.26,17,--,--,--,--,--,--,--,--,5.71,18,7.64,19
HDFC Equity Savings Fund - Growth,62.5,03-Jul-2024,4306.5288, May 2024 ,0.56,12,1,11,1.57,17,3.39,14,3.98,15,8.29,8,14.5,6,17.85,8,15.31,8,10.87,6,10.75,7,9.36,5,9.53,2,9.98,1,10.07,1,8.5,8,9.69,4
HSBC Equity Savings Fund - Reg - Growth,31.8,03-Jul-2024,292.1119, May 2024 ,1.06,1,1.41,5,4.22,1,6.5,1,9.96,1,16.08,1,20.87,1,25.52,1,19.11,1,13.45,1,12.44,1,9.97,2,9.58,1,9.73,2,--,--,15.9,1,9.52,5
ICICI Prudential Equity Savings Fund - Reg - Growth,20.84,03-Jul-2024,10278.8574, May 2024 ,0.29,22,0.63,22,1.86,12,2.81,19,2.71,22,4.83,22,7.59,22,10.82,20,9.81,20,8.47,16,8.07,18,7.84,11,--,--,--,--,--,--,4.99,21,7.96,16
Invesco India Equity Savings Fund - Reg - Growth,16.12,03-Jul-2024,176.6407, May 2024 ,0.86,4,0.98,13,3.98,2,5.56,2,7.57,2,11.86,2,18.11,2,20.94,2,16.46,2,9.92,9,9.41,12,--,--,--,--,--,--,--,--,12.03,2,9.37,8
Kotak Equity Savings Fund - Reg - Growth,24.71,03-Jul-2024,5605.8739, May 2024 ,0.69,8,0.78,18,1.55,18,3.76,10,4.81,9,9.15,4,16.11,3,19.48,3,16.21,4,12.45,2,11.37,3,10.15,1,--,--,--,--,--,--,9.22,4,9.75,2
