Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Flexicap Fund - Reg - Growth,15.18,03-Jul-2024,611.9274, May 2024 ,2.86,2,3.92,3,7.3,6,14.31,1,19.92,2,28.34,4,43.35,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.57,5,51.16,2
Aditya Birla Sun Life Flexi Cap Fund - Growth,1682.27,03-Jul-2024,20473.3955, May 2024 ,1.17,32,2.42,28,5.86,18,9.18,26,11.24,26,17.6,28,29.72,26,36.46,23,29.57,19,16.85,19,18.04,12,14.28,14,14.78,10,17.79,5,15.26,6,17.11,28,21.91,11
Axis Flexi Cap Fund - Reg - Growth,25.57,03-Jul-2024,12011.7152, May 2024 ,1.47,28,2.08,34,5.62,21,9.88,21,12.69,14,20.73,17,31.6,20,34.05,26,26.18,25,14.46,22,16.33,18,--,--,--,--,--,--,--,--,19.37,20,15.23,28
Bajaj Finserv Flexi Cap Fund - Reg - Growth,14.03,03-Jul-2024,2756.6724, May 2024 ,2,12,3.44,6,8.41,4,12.99,4,17.6,3,26.48,6,39.07,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.41,6,40.28,4
Bandhan Flexi Cap Fund - Reg - Growth,201.53,03-Jul-2024,6979.8363, May 2024 ,1.7,21,3.03,17,5.27,23,8.63,30,11.74,20,18.95,22,29.65,27,36.96,21,29.2,21,17.91,15,16.55,15,12.65,18,13.34,14,16.08,10,16.59,3,17.41,27,17.35,21
Bank of India Flexi Cap Fund - Reg - Growth,35.77,03-Jul-2024,991.7837, May 2024 ,2.29,7,2.26,32,3.08,39,10.78,14,14.24,11,29.65,2,49.6,3,66.84,2,44.96,2,26.49,4,--,--,--,--,--,--,--,--,--,--,30.17,2,37.37,5
Baroda BNP Paribas Flexi Cap Fund - Reg - Growth,15.39,03-Jul-2024,1284.4751, May 2024 ,1.54,26,2.16,33,3.93,32,8.24,33,11.75,19,20.7,18,34.75,14,40.54,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.16,17,25.79,10
Canara Robeco Flexi Cap Fund - Growth,325.63,03-Jul-2024,12447.9932, May 2024 ,1.78,18,2.55,23,5.6,22,10.51,16,11.19,27,18.39,24,30.49,24,33.5,27,27.89,22,16.95,18,18.68,11,16.47,8,14.38,12,15.74,11,15.41,5,17.59,24,18.22,19
DSP Flexi Cap Fund - Reg - Growth,100.2,03-Jul-2024,10558.5428, May 2024 ,2.14,9,3.33,8,7.25,8,12.08,6,16.3,4,18.75,23,30.53,23,39.62,18,33.52,10,17.74,16,19.92,9,16.53,7,15.31,8,16.84,8,15.6,4,18.07,22,14.44,31
Edelweiss Flexi Cap Fund - Reg - Growth,37.69,03-Jul-2024,1859.8823, May 2024 ,2.32,6,3.75,4,6.62,13,12.82,5,15.44,6,25.76,8,41.62,9,46.62,9,35.72,8,22.21,7,20.24,6,17.34,5,--,--,--,--,--,--,24.85,9,15.13,29
Franklin India Flexi Cap Fund - Growth,1577.37,03-Jul-2024,15468.0889, May 2024 ,1.4,29,3.08,16,4.57,30,9.25,24,11.55,23,19.62,20,34.09,16,45.3,11,34.88,9,23.02,5,21.7,4,16.63,6,16.43,5,17.85,4,16.63,2,19.13,21,18.52,17
HDFC Flexi Cap Fund - Growth,1822.46,03-Jul-2024,54692.1561, May 2024 ,0.92,36,2.49,26,5.04,26,10.19,19,12.26,16,21.25,14,36.94,13,44.45,12,37.71,5,26.95,3,20.94,5,17.92,4,15.52,7,17.63,6,16.77,1,21,12,19.28,16
