Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Focused Equity Fund - Reg - Growth,47.67,03-Jul-2024,7215.1713, May 2024 ,1.72,11,3.49,6,4.95,19,9.6,14,13.44,5,21.55,9,32.49,15,39.21,13,35.04,7,21.46,8,23.07,1,19.43,1,--,--,--,--,--,--,20.59,10,17.5,12
Aditya Birla Sun Life Focused Equity Fund - Growth,134.61,03-Jul-2024,7151.9584, May 2024 ,1.34,17,3.04,12,5.31,17,9.22,17,10.09,21,19.17,13,30.7,17,35.93,17,27.76,18,17.57,15,16.93,12,14.1,10,13.57,11,16.13,7,14.95,7,17.99,16,14.91,20
Axis Focused Fund - Growth,52.38,03-Jul-2024,13341.1061, May 2024 ,0.42,28,0.96,28,4.16,24,5.82,27,5.8,28,13.97,26,24.15,25,24.52,26,19.35,24,8.03,24,12.68,17,12.42,14,13.34,12,--,--,--,--,13.25,26,14.77,22
Bandhan Focused Equity Fund - Reg - Growth,80.86,03-Jul-2024,1505.554, May 2024 ,2.07,7,2.82,15,9.13,2,10.1,10,12.6,9,18.63,16,34.81,9,37,16,30.09,13,17.75,14,16.88,13,12.98,12,12.49,13,13.3,11,11.68,9,17.96,17,12.09,26
Baroda BNP Paribas Focused Fund - Reg - Growth,22.87,03-Jul-2024,645.6634, May 2024 ,1.29,19,1.14,27,2.3,27,8.82,22,13.02,7,23.11,7,33.4,11,41.76,10,31.1,11,20.16,10,18.27,8,--,--,--,--,--,--,--,--,22.19,6,13.05,24
Canara Robeco Focused Equity Fund - Reg - Growth,18.41,03-Jul-2024,2293.2996, May 2024 ,1.99,8,3.02,13,5.5,13,9.26,16,10.24,20,19,14,30.11,18,34.76,20,30.12,12,19.53,12,--,--,--,--,--,--,--,--,--,--,18.09,15,21.52,6
DSP Focus Fund - Growth,52.11,03-Jul-2024,2338.4525, May 2024 ,1.99,9,2.57,19,5.89,12,12.2,3,16.25,1,18.84,15,33.77,10,43.88,8,32.93,9,17,17,16.74,14,13.92,11,13.94,9,15.58,10,--,--,18.14,14,12.45,25
Edelweiss Focused Fund - Reg - Growth,16.33,03-Jul-2024,779.6254, May 2024 ,2.43,3,3.81,3,6.73,8,13.39,1,14.79,3,23.12,6,37.69,6,42.32,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.88,7,29.03,4
Franklin India Focused Equity Fund  - Growth,106.78,03-Jul-2024,11442.5369, May 2024 ,1.44,16,3.09,10,6.07,11,9.85,12,12.43,12,22.14,8,32.99,13,39.59,12,32.98,8,22.07,7,20.01,5,16.74,4,17.12,2,19.87,2,17.98,2,21.81,8,14.99,18
HDFC Focused 30 Fund - Growth,210.73,03-Jul-2024,11945.9371, May 2024 ,0.7,25,2.28,20,5.37,15,10.04,11,12.59,10,21.49,10,37.41,7,44.37,7,37.43,4,29.18,1,21.24,4,15.85,7,14.08,8,15.9,9,15.15,5,21.38,9,16.64,13
HSBC Focused Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),23.73,03-Jul-2024,1595.843, May 2024 ,0.62,26,1.59,25,4.39,22,4.7,28,7.01,26,15.22,24,28.45,19,35.81,18,27.58,19,15.9,19,--,--,--,--,--,--,--,--,--,--,14.3,25,22.61,5
ICICI Prudential Focused Equity Fund  - Ret - Growth,83.7,03-Jul-2024,8139.488, May 2024 ,1.2,22,2.65,18,5.5,14,10.15,9,11.26,16,25.26,3,39.85,3,46.66,5,35.92,5,24.26,5,22.35,3,17.7,3,15.07,5,16.52,5,15.05,6,24.87,3,15.1,17
