Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
HDFC Housing Opportunities Fund - Reg - Growth,24.29,03-Jul-2024,1444.4012, May 2024 ,1.07,3,2.67,3,4.27,3,10.69,2,14.52,2,23.17,1,46.2,1,61.31,1,46.63,1,27.42,1,19.59,1,--,--,--,--,--,--,--,--,23.8,1,14.44,3
ICICI Prudential Housing Opportunities Fund - Reg - Growth,17,03-Jul-2024,2555.0734, May 2024 ,1.86,1,3.66,1,4.87,2,10.17,3,12.06,3,20.14,2,34.07,2,44.53,2,33.33,2,--,--,--,--,--,--,--,--,--,--,--,--,19.3,2,27.12,2
Tata Housing Opportunities Fund - Reg - Growth,16.46,03-Jul-2024,572.4316, May 2024 ,1.26,2,3.1,2,7.34,1,12.51,1,16.14,1,19.09,3,33.86,3,43.46,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.76,3,31.19,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.07,--,2.67,--,4.27,--,10.17,--,12.06,--,19.09,--,33.86,--,43.46,--,33.33,--,27.42,--,19.59,--,--,--,--,--,--,--,--,--,18.76,--,14.44,--
Maximum,--,--,--,--,1.86,--,3.66,--,7.34,--,12.51,--,16.14,--,23.17,--,46.2,--,61.31,--,46.63,--,27.42,--,19.59,--,--,--,--,--,--,--,--,--,23.8,--,31.19,--
Average,--,--,--,--,1.4,--,3.14,--,5.49,--,11.12,--,14.24,--,20.8,--,38.04,--,49.77,--,39.98,--,27.42,--,19.59,--,--,--,--,--,--,--,--,--,20.62,--,24.25,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
