Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Infrastructure Fund - Growth,99.45,03-Jul-2024,1146.3162, May 2024 ,1.47,16,2.67,14,1.77,16,11.48,13,15.34,13,30.43,15,43.11,19,62.07,18,53.1,12,30.25,16,24.63,15,16.89,17,15.49,17,17.58,11,14.13,6,30.96,13,13.37,9
Bandhan Infrastructure Fund - Reg - Growth,55.74,03-Jul-2024,1342.955, May 2024 ,2.85,3,4.56,2,6.71,2,19.1,2,23.81,4,49.03,1,69.99,2,90.5,2,63.25,2,36.62,9,28.7,6,19.41,13,18.03,7,16.81,15,--,--,49.91,1,13.75,8
Bank of India Manufacturing & Infrastructure Fund - Growth,57.37,03-Jul-2024,338.6864, May 2024 ,2.14,7,3.31,8,5.97,5,12.01,12,17.03,10,31.07,13,48.63,16,66.35,14,50.19,16,31.05,15,29.29,4,21.23,4,17.58,10,17.89,10,--,--,30.68,14,12.96,10
Canara Robeco Infrastructure Fund - Growth,165.69,03-Jul-2024,694.3544, May 2024 ,3.14,2,4.19,3,2.89,14,18.7,3,26.75,2,43.27,3,62.47,5,76.39,9,53.69,10,37.29,6,28.62,7,19.73,12,17.96,8,18.55,7,16.04,3,42.26,3,16.3,6
DSP India Tiger Fund - Reg - Growth,337.16,03-Jul-2024,4385.9492, May 2024 ,2.09,8,3.59,4,3.66,10,14.62,8,22.85,5,38.25,7,58.74,7,81.27,6,58.47,4,38.08,5,28.42,8,21.22,5,18.47,5,19.39,4,15.47,4,38.57,7,19.15,3
Franklin Build India Fund - Growth,144.38,03-Jul-2024,2530.2606, May 2024 ,0.81,19,3,12,2.35,15,10.32,17,16.57,12,32.96,11,54.79,10,78.23,8,56.55,5,36.17,12,27.04,12,21.21,6,21.13,1,23.49,1,--,--,33.5,11,19.71,1
HDFC Infrastructure Fund - Growth,49.05,03-Jul-2024,2054.7956, May 2024 ,1.59,14,2.54,15,4.58,7,10.45,16,15.29,14,29.3,16,52.03,13,78.25,7,60.33,3,38.89,4,22.91,18,14.21,19,12.38,19,14.16,19,12,14,29.83,16,10.23,18
HSBC Infrastructure Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),51.46,03-Jul-2024,2620.5524, May 2024 ,2.02,10,3.11,10,3.26,12,18.2,4,24.64,3,38.11,8,52.5,12,71.75,11,56.38,6,36.57,10,26.6,14,18.69,14,17.8,9,18.59,6,13.94,8,36.74,10,10.36,16
ICICI Prudential Infrastructure Fund - Growth,192.18,03-Jul-2024,5034.137, May 2024 ,1.67,13,2.84,13,3.39,11,9.65,18,13.36,18,31.75,12,53.03,11,68.31,12,55.56,8,40.39,1,28.84,5,21.59,3,17.31,12,18.49,8,14.65,5,32.09,12,16.98,4
Invesco India Infrastructure Fund - Growth,68.38,03-Jul-2024,1239.6829, May 2024 ,2.06,9,2.07,19,3.03,13,16.65,5,21.35,7,40.7,4,64.3,4,83.71,3,55.52,9,36.06,13,30.97,2,23.22,2,19.39,3,21,2,16.84,1,40.35,4,12.26,13
Kotak Infrastructure & Economic Reform Fund - Reg - Growth,71.67,03-Jul-2024,1989.53, May 2024 ,1.78,12,3.13,9,6.35,3,16.16,6,22.72,6,39.94,5,55.39,9,66.02,15,51.77,13,37.01,7,27.75,11,19.96,11,18.7,4,19.75,3,16.62,2,39.82,5,12.79,12
