Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Bandhan Innovation Fund - Reg - Growth,11.2,03-Jul-2024,767.7552, May 2024 ,2.72,2,4.06,2,8.98,4,11.5,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.04,7
Baroda BNP Paribas Innovation Fund - Reg - Growth,12.07,03-Jul-2024,1019.3712, May 2024 ,2.65,3,3.32,3,8.56,5,12.13,3,15.23,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.7,4
Edelweiss Recently Listed IPO Fund - Reg - Growth,26.34,03-Jul-2024,890.5513, May 2024 ,1.54,4,2.14,5,10.26,2,9.44,6,12.81,5,18.18,4,23.91,4,40.99,3,29.45,2,15.62,2,23.61,1,--,--,--,--,--,--,--,--,18.53,4,16.39,6
ICICI Prudential Innovation Fund - Reg - Growth,17.22,02-Jul-2024,5190.5197, May 2024 ,0.53,7,1.77,7,5.26,7,11.17,5,13.51,4,27.37,1,46.55,1,57.98,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.27,1,58.45,1
Kotak Pioneer Fund - Reg - Growth,29.32,02-Jul-2024,2386.4145, May 2024 ,1.17,6,1.81,6,7.42,6,13.13,2,14.53,3,26.08,3,40.63,2,46.29,2,35.98,1,19.99,1,--,--,--,--,--,--,--,--,--,--,24.98,3,25.88,3
Nippon India Innovation Fund - Reg - Growth,14.24,03-Jul-2024,1560.7278, May 2024 ,1.42,5,2.49,4,9.66,3,14.63,1,17.88,1,26.84,2,39.96,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.98,2,42.44,2
UTI Innovation Fund - Reg - Growth,11.71,03-Jul-2024,622.1988, May 2024 ,3.1,1,5.15,1,12.52,1,9.39,7,8.53,6,10.76,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.3,5,17.1,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.53,--,1.77,--,5.26,--,9.39,--,8.53,--,10.76,--,23.91,--,40.99,--,29.45,--,15.62,--,23.61,--,--,--,--,--,--,--,--,--,11.3,--,12.04,--
Maximum,--,--,--,--,3.1,--,5.15,--,12.52,--,14.63,--,17.88,--,27.37,--,46.55,--,57.98,--,35.98,--,19.99,--,23.61,--,--,--,--,--,--,--,--,--,27.27,--,58.45,--
Average,--,--,--,--,1.88,--,2.96,--,8.95,--,11.63,--,13.75,--,21.85,--,37.76,--,48.42,--,32.71,--,17.8,--,23.61,--,--,--,--,--,--,--,--,--,21.61,--,27.57,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
