Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Frontline Equity Fund - Reg - Growth,505.44,03-Jul-2024,27274.7748, May 2024 ,1.27,26,2.65,23,5.18,9,9.77,5,10.74,11,17.42,20,28.63,22,32.79,20,28.12,17,18.26,11,17.09,10,13.9,18,13.66,10,16.09,6,14.76,5,16.64,19,19.66,5
Axis Bluechip Fund - Growth,58.96,03-Jul-2024,32707.974, May 2024 ,1.17,29,2.17,29,4.84,14,7.4,23,7.53,29,16.11,23,26.74,25,28.11,26,22.57,28,12.01,28,14.28,25,14.77,10,13.01,15,15.43,10,--,--,14.95,24,13.02,24
Bandhan Large Cap Fund - Reg - Growth,74.28,03-Jul-2024,1393.1683, May 2024 ,1.8,11,3.47,2,6.99,2,9.76,6,11.22,8,19.32,9,34.6,7,36.73,12,29.63,12,18.66,7,17.51,9,14.47,11,12.71,17,14,19,12.48,15,18.76,10,11.73,28
Bank of India Bluechip Fund - Reg - Growth,16.65,03-Jul-2024,144.8592, May 2024 ,1.96,5,2.78,18,3.74,22,8.19,20,9.54,21,20.3,4,38.06,3,45.27,2,33.43,3,18.41,10,--,--,--,--,--,--,--,--,--,--,19.78,4,18.43,11
Baroda BNP Paribas Large Cap Fund - Growth,221,03-Jul-2024,1965.7397, May 2024 ,1.88,8,3.23,6,4.58,16,8.93,15,11.03,9,23.13,1,36.95,4,42.27,4,31.69,4,20.36,5,19.02,4,15.59,4,14.67,4,16.59,4,14.99,4,22.4,1,16.93,15
Canara Robeco Bluechip Equity Fund - Growth,59.97,03-Jul-2024,12976.7419, May 2024 ,1.68,14,3.06,9,4.75,15,9.55,9,10.22,16,17.75,17,29.27,18,31.5,22,27.27,18,16.36,21,18.45,5,16.32,3,14.4,8,15.42,11,--,--,16.97,16,13.78,21
DSP Top 100 Equity Fund - Reg - Growth,441.93,03-Jul-2024,3716.9746, May 2024 ,1.92,7,2.76,19,6.19,5,8.8,16,12.36,2,19.09,11,31.87,13,37.33,10,30.74,9,17.1,15,15.49,20,13.11,22,11.78,23,13.35,23,12.52,14,18.44,12,19.44,9
Edelweiss Large Cap Fund - Growth,82.65,03-Jul-2024,895.8132, May 2024 ,1.44,22,2.59,26,4.41,18,8.19,19,9.97,19,17.57,19,29.57,17,33.22,19,30.08,11,18.5,9,17.6,8,15.58,5,14.28,9,15.84,7,14.51,6,16.69,18,14.98,20
Franklin India Bluechip - Growth,971.04,02-Jul-2024,7646.591, May 2024 ,1.04,30,2.22,28,6.35,3,9.57,7,9.79,20,16.04,24,27.39,24,29.96,23,23.97,25,14.09,26,15.66,19,12.6,23,12.39,21,13.5,21,13.01,12,14.96,23,19.49,8
Groww Large Cap Fund - Growth,43.39,03-Jul-2024,121.2644, May 2024 ,1.62,18,3.06,10,3.66,24,9.57,8,10.32,15,19.73,8,33.84,8,37.23,11,29.22,14,18.17,12,14.49,24,13.13,21,12.68,18,13.49,22,--,--,18.52,11,12.56,27
HDFC Top 100 Fund - Growth,1117.8,03-Jul-2024,33488.4965, May 2024 ,1.38,23,2.87,17,2.82,28,7.21,25,8.02,27,14.61,26,29.1,19,35.19,15,31.12,6,21.3,4,16.52,16,15,9,13.37,11,15.36,12,14.41,7,14.14,25,19.38,10
