Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Advantage Fund - Growth,897.09,03-Jul-2024,5761.9692, May 2024 ,1.43,22,2.52,19,5.03,21,9.87,17,13,16,18,23,28.76,24,36.83,23,28.91,24,14.14,26,16.78,22,12.46,20,14.02,15,16.78,13,14.04,14,17.33,24,17.29,16
Axis Growth Opportunities Fund - Reg - Growth,31.08,02-Jul-2024,12424.4899, May 2024 ,0.97,28,1.2,29,4.37,25,9.17,25,10.6,27,22.7,13,33.39,17,38.26,21,31.89,18,18.08,24,22.65,5,--,--,--,--,--,--,--,--,21.83,14,22.02,6
Bajaj Finserv Large and Mid Cap Fund - Reg - Growth,11.85,03-Jul-2024,981.7048, May 2024 ,1.85,12,2.69,14,7.17,8,12.82,4,14.82,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.51,12
Bandhan Core Equity Fund - Reg - Growth,127.15,03-Jul-2024,4680.5903, May 2024 ,2.1,8,3.54,3,5.73,14,9.68,20,14.4,11,25.32,6,43.46,3,56.47,2,42.6,3,26.06,4,22.67,4,17.31,8,16.45,9,17.23,9,14.53,12,25.97,5,14.39,24
Bank of India Large & Mid Cap Equity Fund - Reg - Growth,90.1,03-Jul-2024,318.9982, May 2024 ,2.29,4,3.24,5,4.94,23,10.23,15,12.88,17,22.39,14,37.6,11,47.69,11,36.15,11,20.98,16,21.25,10,15.47,16,13.79,17,15.18,18,12.76,17,22.02,13,15.02,23
Baroda BNP Paribas Large & Mid Cap Fund - Reg - Growth,26.55,03-Jul-2024,1211.1346, May 2024 ,1.63,20,1.92,24,4.23,26,8.2,26,10.61,26,23.37,12,39.04,9,45.68,14,35.73,12,23.5,9,--,--,--,--,--,--,--,--,--,--,22.98,11,29.04,1
Canara Robeco Emerging Equities - Growth,246.96,03-Jul-2024,21796.8337, May 2024 ,1.69,17,2.11,22,7.68,5,12.62,5,14.82,8,23.76,11,35.31,16,41,17,30.72,22,19.2,21,21.03,14,16.49,11,18.64,3,21.65,2,21.19,1,22.62,12,18.05,14
DSP Equity Opportunities Fund - Reg - Growth,601.77,03-Jul-2024,11991.2564, May 2024 ,2.27,5,3.14,7,6.4,10,12.08,7,17.39,3,24.09,10,40.39,8,51.58,5,37.65,9,21.68,13,22,8,17.18,9,17.06,6,18.75,5,16.59,4,23.91,9,18.49,13
Edelweiss Large & Mid Cap Fund - Growth,84.42,03-Jul-2024,3046.5409, May 2024 ,2.39,3,3.47,4,7.62,6,12.61,6,13.88,13,22.31,15,35.5,15,43.55,16,34.17,14,21.18,15,21.23,11,17.76,5,15.83,10,17.1,12,15.51,10,21.27,16,13.32,27
Franklin India Equity Advantage Fund - Growth,180.48,03-Jul-2024,3203.1984, May 2024 ,1.85,13,2.84,10,8.71,2,11.89,8,13.45,14,18.54,22,31.11,20,37.57,22,27.58,25,16.95,25,17.39,21,13.67,19,13.68,18,15.95,16,14.81,11,17.69,23,16.13,17
HDFC Large and Mid Cap Fund - Growth,331.5,03-Jul-2024,19454.3251, May 2024 ,1.53,21,2.08,23,5.12,19,9.7,19,12.65,19,20.06,18,35.81,14,47.93,10,38.87,6,26.19,3,23.36,2,18.11,2,14.9,14,16,15,13.81,15,20.24,18,13.31,28
