Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life MNC Fund - Growth,1392.18,02-Jul-2024,3782.4564, May 2024 ,1.15,5,1.4,4,7.45,2,14.48,1,17.79,1,21.03,1,29.94,2,39.43,1,26.38,2,13.26,3,13.39,4,10.82,3,13.61,3,16.09,3,17.81,1,21.07,1,16.05,4
HDFC MNC Fund - Reg - Growth,14.71,03-Jul-2024,586.0596, May 2024 ,1.47,2,1.45,2,7.21,3,12.86,3,15.63,2,17.3,3,28.6,3,32.78,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.09,4,33.94,1
ICICI Prudential MNC Fund - Reg - Growth,28.15,02-Jul-2024,1668.8534, May 2024 ,1.3,3,1.22,5,5.35,5,10.31,4,11.05,4,16.27,4,23.63,4,34.3,3,26.75,1,18.69,1,22.89,1,--,--,--,--,--,--,--,--,17.15,3,22.76,2
SBI Magnum Global Fund - Growth,369.97,02-Jul-2024,6365.8619, May 2024 ,1.26,4,1.43,3,5.85,4,8.74,5,8.58,5,7.3,5,11.07,5,17.23,5,20.55,4,12.49,4,17.2,2,13.26,1,13.96,2,16.8,1,16.68,3,6.96,5,14.6,5
UTI MNC Fund - Growth,404.08,03-Jul-2024,2863.724, May 2024 ,2.13,1,2.08,1,9.1,1,13.09,2,14.39,3,21.01,2,30.03,1,35.41,2,26.18,3,17.08,2,16.31,3,12.85,2,14.17,1,16.19,2,17.49,2,20.81,2,16.3,3
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.15,--,1.22,--,5.35,--,8.74,--,8.58,--,7.3,--,11.07,--,17.23,--,20.55,--,12.49,--,13.39,--,10.82,--,13.61,--,16.09,--,16.68,--,6.96,--,14.6,--
Maximum,--,--,--,--,2.13,--,2.08,--,9.1,--,14.48,--,17.79,--,21.03,--,30.03,--,39.43,--,26.75,--,18.69,--,22.89,--,13.26,--,14.17,--,16.8,--,17.81,--,21.07,--,33.94,--
Average,--,--,--,--,1.46,--,1.52,--,6.99,--,11.9,--,13.49,--,16.58,--,24.65,--,31.83,--,24.96,--,15.38,--,17.45,--,12.31,--,13.91,--,16.36,--,17.33,--,16.62,--,20.73,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
