Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Manufacturing Equity Fund - Reg - Growth,32.23,03-Jul-2024,1005.6027, May 2024 ,2.03,5,2.55,2,6.26,2,10.98,6,15.77,5,24.78,5,41.48,4,51.14,3,35.73,3,18.38,2,20.34,2,13.61,1,--,--,--,--,--,--,24.83,5,13.22,6
Axis India Manufacturing Fund - Reg - Growth,14.11,03-Jul-2024,5193.0318, May 2024 ,2.17,2,2.47,5,5.3,5,15.47,2,19.48,2,38.06,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.2,1,41.1,2
Canara Robeco Manufacturing Fund - Reg - Growth,12.72,03-Jul-2024,1374.4874, May 2024 ,2.58,1,3.58,1,7.98,1,18,1,22.66,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.2,4
ICICI Prudential Manufacturing Fund - Reg - Growth,36.06,03-Jul-2024,4841.5238, May 2024 ,2.12,4,2.5,3,5.35,4,13.54,3,16.21,4,33.31,3,56.17,1,70.17,1,49.5,1,32.52,1,27.78,1,--,--,--,--,--,--,--,--,33.36,3,25.08,5
Kotak Manufacture in India Fund - Reg - Growth,19.05,03-Jul-2024,2098.3603, May 2024 ,1.98,6,2.49,4,6.05,3,13.46,4,17.03,3,31.1,4,44.66,3,54.74,2,37.74,2,--,--,--,--,--,--,--,--,--,--,--,--,30.31,4,31.36,3
Quant Manufacturing Fund - Reg - Growth,16.69,03-Jul-2024,786.8115, May 2024 ,2.17,3,2.46,6,4.72,6,11.46,5,14.61,6,33.33,2,54.27,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.76,2,66.86,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.98,--,2.46,--,4.72,--,10.98,--,14.61,--,24.78,--,41.48,--,51.14,--,35.73,--,18.38,--,20.34,--,13.61,--,--,--,--,--,--,--,24.83,--,13.22,--
Maximum,--,--,--,--,2.58,--,3.58,--,7.98,--,18,--,22.66,--,38.06,--,56.17,--,70.17,--,49.5,--,32.52,--,27.78,--,13.61,--,--,--,--,--,--,--,38.2,--,66.86,--
Average,--,--,--,--,2.18,--,2.68,--,5.94,--,13.82,--,17.63,--,32.12,--,49.15,--,58.68,--,40.99,--,25.45,--,24.06,--,13.61,--,--,--,--,--,--,--,32.09,--,34.14,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
