Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Mid Cap Fund - Plan A - Growth,761.17,03-Jul-2024,5342.4697, May 2024 ,1,28,1.32,28,7.23,14,10.27,26,14.9,22,20.19,26,33.78,24,49.68,22,34.66,22,23.6,16,21.63,21,14.65,21,16.15,20,18.21,18,16.62,16,20.5,24,22.02,11
Axis Midcap Fund - Growth,110.13,03-Jul-2024,27747.6155, May 2024 ,1.81,21,2.09,19,7.22,15,15.01,6,18.83,8,28.88,11,40.01,18,47.37,25,35.32,21,21.48,23,24.35,15,20.63,5,18.18,11,21.45,7,--,--,27.85,12,19.64,15
Bandhan Midcap Fund - Reg - Growth,17.22,03-Jul-2024,1234.7373, May 2024 ,2.49,6,3.46,5,9.05,5,15.41,5,19.37,5,28.21,13,41.44,13,55.58,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.33,14,33.57,5
Baroda BNP Paribas Midcap Fund - Growth,101.27,03-Jul-2024,1934.5003, May 2024 ,2.11,16,2.98,9,7.38,12,11.73,19,16.64,18,26.76,15,39.28,19,54.76,16,38.76,17,23.76,15,25.76,11,17.67,13,18.18,12,21.08,9,20.55,5,27.25,15,13.58,27
Canara Robeco Mid Cap Fund - Reg - Growth,16.61,03-Jul-2024,2223.579, May 2024 ,2.72,3,3.88,2,9.42,3,14.16,10,17.63,10,28.36,12,40.05,17,51.93,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.48,13,37.7,3
DSP Midcap Fund - Reg - Growth,143.95,03-Jul-2024,17667.7307, May 2024 ,1.89,18,1.82,26,7.24,13,14.83,7,20.69,4,20.67,24,36.02,23,52.76,19,35.57,20,18.6,25,21.26,22,15.89,18,17.21,18,19.69,16,19.11,10,20.22,25,16.31,22
Edelweiss Mid Cap Fund - Growth,94.47,03-Jul-2024,5863.5952, May 2024 ,3.01,1,3.65,3,9.27,4,15.72,4,19.34,7,30.6,5,48,6,61.55,8,44.6,7,27.58,6,28.71,3,20.98,4,20.39,4,23.27,1,21.53,2,30.24,5,14.55,26
Franklin India Prima Fund - Growth,2642.18,03-Jul-2024,11011.0485, May 2024 ,1.48,23,2.02,24,8.04,11,14.39,9,18.23,9,26.06,16,43.05,11,54.76,15,42.61,9,23.48,17,22.44,20,16.81,16,18,13,21.01,10,19.69,7,26.11,17,19.99,13
HDFC Mid-Cap Opportunities Fund - Growth,182.58,03-Jul-2024,65394.1555, May 2024 ,2.36,9,2.11,18,6.24,21,11.26,23,13.2,25,23.12,20,37.52,20,52.98,18,47.17,4,29.68,4,27.34,7,19.55,8,19.91,5,22.26,3,22.15,1,23.28,20,18.59,19
HSBC Midcap Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),376.98,03-Jul-2024,10583.5427, May 2024 ,1.85,19,2.74,13,6.03,24,11.8,18,16.82,15,29.05,9,47.13,7,64.5,5,42.33,10,24.75,13,23.16,17,16.32,17,18.81,9,21.21,8,19.24,8,29.1,8,19.95,14
ICICI Prudential MidCap Fund - Growth,290.49,03-Jul-2024,6063.2985, May 2024 ,1.1,27,1.92,25,5.73,25,14.01,11,17.45,12,29.22,8,49.11,4,62.91,7,40.41,14,25.37,10,24.8,13,18.23,11,17.87,15,20.67,12,18.81,12,29.97,6,18.66,18
