Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Quant Momentum Fund - Reg - Growth,15.65,03-Jul-2024,1920.4626, May 2024 ,2.14,2,2.33,2,4.06,3,8.27,2,13.65,1,36.88,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.74,1,56.53,1
Samco Active Momentum Fund - Reg - Growth,14.51,03-Jul-2024,768.1653, May 2024 ,3.35,1,5.3,1,6.61,1,12.22,1,13.01,2,18.16,2,38.59,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.23,2,45.1,2
SBI Equity Minimum Variance Fund - Reg - Growth,23.75,03-Jul-2024,190.1734, May 2024 ,1.89,3,2.16,3,5.31,2,6.97,3,6.04,3,11.17,3,25.71,2,29.9,1,26.74,1,17.6,1,18.56,1,--,--,--,--,--,--,--,--,10.99,3,17.74,3
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.89,--,2.16,--,4.06,--,6.97,--,6.04,--,11.17,--,25.71,--,29.9,--,26.74,--,17.6,--,18.56,--,--,--,--,--,--,--,--,--,10.99,--,17.74,--
Maximum,--,--,--,--,3.35,--,5.3,--,6.61,--,12.22,--,13.65,--,36.88,--,38.59,--,29.9,--,26.74,--,17.6,--,18.56,--,--,--,--,--,--,--,--,--,38.74,--,56.53,--
Average,--,--,--,--,2.46,--,3.26,--,5.33,--,9.15,--,10.9,--,22.07,--,32.15,--,29.9,--,26.74,--,17.6,--,18.56,--,--,--,--,--,--,--,--,--,22.99,--,39.79,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
