Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Multi Asset Allocation Fund - Reg - Growth,13.63,03-Jul-2024,3370.9288, May 2024 ,1.28,9,1.59,11,3.76,5,7.41,2,9.13,3,14.61,8,22.54,9,25.33,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.22,8,24.36,4
Axis Multi Asset Allocation Fund - Growth,37.44,03-Jul-2024,1197.4072, May 2024 ,1.68,5,2.36,3,3.59,6,7.26,4,9.05,4,13.9,10,20.42,13,21.92,10,17.62,8,10.25,8,13.14,6,11.69,6,10.34,5,10.33,5,--,--,12.93,10,9.98,18
Bandhan Multi Asset Allocation Fund - Reg - Growth,11.36,03-Jul-2024,1448.3547, May 2024 ,1.39,7,1.74,8,4.15,3,6.91,5,8.69,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.56,11
Bank of India Multi Asset Allocation Fund - Reg - Growth,10.94,03-Jul-2024,332.4302, May 2024 ,1.12,12,1.36,16,1.94,20,4.42,20,6.84,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.37,20
Baroda BNP Paribas Multi Asset Fund - Reg - Growth,14.18,03-Jul-2024,1180.3112, May 2024 ,1.77,2,2.77,1,4.27,2,7.3,3,9.03,5,17.3,2,29.45,4,33.67,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,4,25.44,3
DSP Multi Asset Allocation Fund - Reg - Growth,12.18,02-Jul-2024,1692.4184, May 2024 ,0.56,19,1.4,15,3.11,9,5.41,11,6.73,14,12.84,11,22.53,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.61,11,21.85,5
Edelweiss Multi Asset Allocation Fund - Reg - Growth,10.76,03-Jul-2024,916.4103, May 2024 ,0.02,23,0.27,23,0.71,22,1.28,23,1.94,23,3.62,16,5.65,16,7.4,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.95,16,7.36,22
HDFC Multi - Asset Fund - Growth,65.89,03-Jul-2024,2897.1149, May 2024 ,0.9,18,1.43,14,3.16,8,5.35,13,6.29,16,11.94,12,21.2,12,23.79,9,19.87,7,14.14,7,15.09,4,12.07,4,11.02,4,11.36,4,11.27,3,11.94,13,10.5,15
HSBC Multi Asset Allocation Fund - Reg - Growth,11.55,03-Jul-2024,1681.5423, May 2024 ,1.72,4,1.9,4,3,11,6.83,6,10.89,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.52,10
ICICI Prudential Multi-Asset Fund - Growth,682.02,02-Jul-2024,41159.5152, May 2024 ,0.51,21,0.99,21,2.23,18,4.42,19,6.08,19,14.82,7,25.03,7,32.38,5,27.62,3,23.4,2,19.93,2,16.4,2,14.85,2,16.78,1,16.36,1,14.49,7,21.5,6
Kotak Multi Asset Allocation Fund -Reg - Growth,12.76,03-Jul-2024,6089.3994, May 2024 ,1.74,3,1.69,9,3.84,4,7.97,1,9.96,2,16.77,4,27.27,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.64,3,27.64,2
Mahindra manulife multi asset allocation fund - Reg - Growth,11.02,03-Jul-2024,309.8436, May 2024 ,1.33,8,1.76,7,2.53,13,6.28,7,7.87,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.19,17
