Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Multi-Cap Fund - Reg - Growth,19.27,03-Jul-2024,5583.9021, May 2024 ,1.8,15,2.94,11,6.17,13,11.13,7,13.75,14,21.81,13,32.26,18,41.35,17,31.73,13,20.47,7,--,--,--,--,--,--,--,--,--,--,21.27,13,23.08,12
Axis Multicap Fund - Reg - Growth,16.86,03-Jul-2024,5473.588, May 2024 ,2.12,7,2.99,8,6.91,8,13.46,2,15.96,3,26.29,3,41.8,5,53.09,5,39.26,5,--,--,--,--,--,--,--,--,--,--,--,--,24.98,7,22.78,13
Bandhan Multi Cap Fund - Reg - Growth,16.82,03-Jul-2024,2105.3415, May 2024 ,1.61,19,2.5,17,7.19,4,9.24,20,12.26,19,19.87,17,33.06,16,42.25,16,34.99,11,--,--,--,--,--,--,--,--,--,--,--,--,20.38,15,22.28,14
Bank of India Multi Cap Fund - Reg - Growth,17.55,03-Jul-2024,527.5304, May 2024 ,2.03,11,2.99,9,5.53,19,9.62,19,13.52,15,23.07,11,38.08,10,53.5,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.24,11,52.3,2
Baroda BNP Paribas Multi Cap Fund - Growth,282.15,03-Jul-2024,2458.8747, May 2024 ,2.1,8,2.21,19,5.56,18,8.96,22,13.82,12,25.44,5,41.4,6,48.46,11,36.93,8,24.21,4,23,4,17.21,4,15.32,6,16.43,6,13.63,6,25.28,5,17.4,21
Canara Robeco Multi Cap Fund - Reg - Growth,13.89,03-Jul-2024,2300.0153, May 2024 ,1.68,18,2.43,18,5.95,16,11.66,5,15.17,6,19.54,19,34.72,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.02,20,38.9,4
DSP Multicap Fund - Reg - Growth,11.96,03-Jul-2024,1037.4555, May 2024 ,0.74,24,1.81,23,8.16,3,11.99,4,17.41,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.56,17
Edelweiss Multi Cap Fund - Reg - Growth,14.71,03-Jul-2024,1874.9538, May 2024 ,2.26,4,3.47,5,8.34,2,12.81,3,15.36,5,25.1,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24.38,8,47.05,3
HDFC Multi Cap Fund - Reg - Growth,18.88,03-Jul-2024,13815.4352, May 2024 ,1.77,16,2.63,14,7.09,6,11.03,8,14.46,7,21.95,12,37.47,11,49.83,10,42.75,3,--,--,--,--,--,--,--,--,--,--,--,--,21.81,12,28.13,10
HSBC Multi Cap Fund - Reg - Growth,18.44,03-Jul-2024,3109.3259, May 2024 ,2.04,9,2.77,12,6.28,12,9.9,17,13.76,13,26.51,2,44.56,1,61.43,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.24,3,53.67,1
ICICI Prudential Multicap Fund - Growth,760.27,03-Jul-2024,12047.8613, May 2024 ,1.42,22,2.69,13,6.17,14,9.01,21,10.58,24,19.86,18,36.57,12,46.33,12,36.78,9,23.68,5,20.31,7,16.8,5,16.03,4,17.9,5,16.11,4,20.35,16,15.66,24
Invesco India Multicap Fund - Growth,126.1,03-Jul-2024,3359.1226, May 2024 ,2.13,6,2.51,16,6.99,7,10.04,16,14.13,9,21.52,14,34.21,15,46.25,13,35.65,10,19.88,8,21.7,5,16.09,7,16.34,3,19.72,2,20.14,1,20.64,14,16.82,22
