Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life PSU Equity Fund - Reg - Growth,35.64,03-Jul-2024,4711.1782, May 2024 ,1.68,4,0.88,4,-4.01,5,2.53,5,8.13,5,28.29,4,60.61,4,90.66,3,63.61,3,40.09,1,--,--,--,--,--,--,--,--,--,--,29.41,4,32.53,2
ICICI Prudential PSU Equity Fund - Reg - Growth,21.21,03-Jul-2024,2588.8542, May 2024 ,1.63,5,0.9,3,-3.28,3,3.77,4,9.16,4,31.25,3,63.91,2,82.54,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32.65,3,51.56,1
Invesco India PSU Equity Fund - Growth,68.16,03-Jul-2024,1137.5873, May 2024 ,2.16,1,1.49,1,-2.32,1,12.81,1,19.24,1,41.56,1,72.51,1,95,2,68.65,1,39.99,2,29.96,1,20.69,1,18.36,1,17.53,1,--,--,42.65,1,14.02,4
Quant PSU Fund - Reg - Growth,11.71,03-Jul-2024,883.9512, May 2024 ,1.83,3,0.09,5,-2.75,2,7.32,2,13.79,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.14,3
SBI PSU Fund - Growth,33.11,03-Jul-2024,3071.301, May 2024 ,1.96,2,0.9,2,-3.35,4,4.02,3,11.71,3,33.44,2,61.18,3,95.33,1,64.9,2,39.31,3,24.92,2,16.39,2,12.49,2,12.25,2,--,--,34.19,2,8.93,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.63,--,0.09,--,-4.01,--,2.53,--,8.13,--,28.29,--,60.61,--,82.54,--,63.61,--,39.31,--,24.92,--,16.39,--,12.49,--,12.25,--,--,--,29.41,--,8.93,--
Maximum,--,--,--,--,2.16,--,1.49,--,-2.32,--,12.81,--,19.24,--,41.56,--,72.51,--,95.33,--,68.65,--,40.09,--,29.96,--,20.69,--,18.36,--,17.53,--,--,--,42.65,--,51.56,--
Average,--,--,--,--,1.85,--,0.85,--,-3.14,--,6.09,--,12.41,--,33.63,--,64.55,--,90.88,--,65.72,--,39.8,--,27.44,--,18.54,--,15.43,--,14.89,--,--,--,34.73,--,24.84,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
