Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Pharma & Healthcare Fund - Reg - Growth,27.31,03-Jul-2024,683.1802, May 2024 ,1.26,11,-0.15,14,4.16,13,2.98,11,2.94,13,12.43,9,28.52,8,43.9,4,29.03,7,12.63,7,--,--,--,--,--,--,--,--,--,--,15.67,10,22.32,4
DSP Healthcare Fund - Reg - Growth,33.85,02-Jul-2024,2363.3895, May 2024 ,2.6,1,1.24,6,6.29,5,3.41,10,3.59,11,12.23,11,29,5,42.43,7,31.93,3,15.06,2,27.94,1,--,--,--,--,--,--,--,--,14.4,11,24.36,3
HDFC Pharma and Healthcare Fund - Reg - Growth,13.31,03-Jul-2024,828.1873, May 2024 ,2.31,3,1.48,3,6.5,4,5.7,3,7.54,2,14.53,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.55,3,33.58,2
ICICI Prudential Pharma Healthcare and Diagnostics Fund - Reg - Growth,32.61,03-Jul-2024,3925.29, May 2024 ,1.94,5,1.78,2,6.05,8,5.98,2,6.26,4,16.8,2,34.42,2,50.39,1,34.18,1,16.18,1,27.44,2,--,--,--,--,--,--,--,--,20.38,2,21.86,6
ITI Pharma and Healthcare Fund - Reg - Growth,14.3,03-Jul-2024,156.6535, May 2024 ,2.56,2,2.46,1,7.96,1,4.62,7,4.16,8,12.41,10,28.99,6,40.13,9,28.22,8,--,--,--,--,--,--,--,--,--,--,--,--,15.9,9,14.47,12
Kotak Healthcare Fund - Reg - Growth,11.68,03-Jul-2024,288.0713, May 2024 ,1.55,10,0.55,11,5.92,9,2.67,14,2.43,14,12,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.94,13,16.79,9
LIC MF Healthcare Fund - Reg - Growth,24.95,03-Jul-2024,60.3803, May 2024 ,1.62,9,0.79,9,5.07,12,2.76,13,4.05,9,14.04,5,29.9,4,40.92,8,23.96,10,8.72,9,20.55,8,--,--,--,--,--,--,--,--,16.46,5,18.65,8
Mirae Asset Healthcare Fund - Reg - Growth,32.97,03-Jul-2024,2201.9622, May 2024 ,2.27,4,1.36,5,6.06,7,4.97,5,5.04,6,12.9,7,27.27,10,42.81,5,27.55,9,12.97,6,26.83,3,--,--,--,--,--,--,--,--,16,7,21.96,5
Nippon India Pharma Fund - Reg - Growth,448.85,03-Jul-2024,7160.933, May 2024 ,1.26,12,0.34,12,3.85,14,4.25,9,3.98,10,10.66,13,27.82,9,42.44,6,30.51,5,13.11,5,25.9,5,19.49,1,16.26,1,18.42,1,20.88,1,14.14,12,20.85,7
Quant Healthcare Fund - Reg - Growth,14.94,03-Jul-2024,286.8315, May 2024 ,1.02,13,0.62,10,6.19,6,8.43,1,10.37,1,19,1,38.97,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.71,1,49.37,1
SBI Healthcare Opportunities Fund - Growth,356.83,02-Jul-2024,2612.729, May 2024 ,0.63,14,0.08,13,5.1,11,2.86,12,3.07,12,13.05,6,27.04,11,39.27,10,33.37,2,15,3,26.71,4,16.03,3,14.39,2,17.73,2,18.98,2,16.2,6,16.56,10
Tata India Pharma And Healthcare Fund - Reg - Growth,26.52,03-Jul-2024,899.1713, May 2024 ,1.78,6,1.14,7,5.79,10,4.32,8,4.85,7,14.09,4,31.37,3,46.08,2,30.54,4,14.75,4,24.89,6,17.16,2,--,--,--,--,--,--,17.21,4,12.13,13
