Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Pure Value Fund - Growth,125.94,03-Jul-2024,5775.0275, May 2024 ,2.48,3,3.86,4,6.53,4,7.78,17,9.09,19,17.92,20,33.55,19,51.75,8,41.52,5,23.11,11,19.93,13,13.18,14,13.86,13,18.72,8,17.42,5,18.23,19,16.84,16
Axis Value Fund - Reg - Growth,17.67,03-Jul-2024,562.2542, May 2024 ,1.96,9,3.45,7,5.75,6,12.33,4,14.29,6,23.65,8,40.13,8,50.22,9,40.24,9,--,--,--,--,--,--,--,--,--,--,--,--,22.88,8,22.72,4
Bandhan Sterling Value Fund  - Reg - Growth,148.82,03-Jul-2024,9019.3609, May 2024 ,1.56,14,2.34,18,5.28,8,8.98,15,10.82,16,20.85,15,32.83,20,42.76,18,36.03,12,24.79,9,24.01,4,17.33,8,17.44,5,18.92,6,18.76,2,20.64,14,17.98,11
Baroda BNP Paribas Value Fund - Reg - Growth,14.65,03-Jul-2024,1737.7404, May 2024 ,2.61,2,3.19,9,3.23,21,6.98,19,8.95,20,20.1,16,36.44,13,43.12,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.38,16,42.82,1
Canara Robeco Value Fund - Reg - Growth,17.93,03-Jul-2024,1183.1461, May 2024 ,1.82,10,2.57,12,4.06,19,9.06,14,11.44,15,18.35,19,33.61,18,40.28,22,35.44,13,--,--,--,--,--,--,--,--,--,--,--,--,17.73,20,22.89,3
DSP Value Fund - Reg - Growth,19.72,02-Jul-2024,803.123, May 2024 ,0.97,21,0.31,23,5.33,7,6.75,22,6.89,23,15.12,23,31.03,23,35.98,23,29.14,22,16.14,19,--,--,--,--,--,--,--,--,--,--,15.32,22,21,5
Groww Value Fund - Reg - Growth,26.07,03-Jul-2024,19.9253, May 2024 ,1.47,17,2.47,16,3.02,22,7.1,18,7.7,22,15.55,22,31.65,21,42.07,19,29.94,21,18.65,18,17.11,16,10.25,15,--,--,--,--,--,--,14.07,23,11.47,23
HDFC Capital Builder Value Fund - Growth,709.96,03-Jul-2024,6823.27, May 2024 ,0.96,22,2.17,20,5.21,10,10.5,8,13.34,9,20.85,14,38.05,10,45.49,14,35.41,14,22.57,12,19.41,14,15.74,12,15.31,11,17.19,12,16.64,6,20.67,13,15.03,21
HSBC Value Fund - Reg - Growth,108.51,03-Jul-2024,12373.1641, May 2024 ,1.36,18,2.55,14,5.26,9,12.05,5,15.17,4,27.45,3,43.92,6,60.92,3,46.19,3,28.46,3,24.28,3,17.8,7,18.79,2,21.48,1,--,--,27.19,3,17.88,12
ICICI Prudential Value Discovery Fund - Growth,429.34,02-Jul-2024,42669.0456, May 2024 ,1.14,20,2.57,13,4.13,18,6.84,21,7.84,21,17.45,21,31.64,22,41.78,21,34.48,17,25.93,7,23.81,6,18.2,5,16.69,9,19.72,3,20.08,1,17.54,21,20.81,6
Invesco India Contra Fund - Growth,127.01,03-Jul-2024,15077.8728, May 2024 ,1.54,15,2.49,15,4.81,15,10.49,9,14.29,7,24.05,6,38.16,9,47.56,11,35.33,15,21.88,13,21.21,10,18.07,6,17.54,4,19.29,4,17.47,4,23.32,7,15.88,18
ITI Value Fund - Reg - Growth,17.65,03-Jul-2024,234.6076, May 2024 ,2.4,4,3.88,3,4.48,16,9.95,13,12.36,14,23.9,7,42.12,7,53.2,5,42.23,4,20.93,14,--,--,--,--,--,--,--,--,--,--,24.53,4,20.43,7
