Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Quant Fund - Reg - Growth,19.05,03-Jul-2024,236.186, May 2024 ,3.6,1,2.84,2,4.21,4,11.21,1,13.47,2,27.05,2,49.63,3,60.61,2,47.53,2,--,--,--,--,--,--,--,--,--,--,--,--,26.85,2,28.2,3
Axis Quant Fund - Reg - Growth,16.53,03-Jul-2024,1044.9576, May 2024 ,1.16,8,1.79,6,3.12,5,5.22,8,6.85,8,16.41,6,31.92,5,34.17,5,31.9,4,--,--,--,--,--,--,--,--,--,--,--,--,16.24,6,18.18,5
DSP Quant Fund - Reg - Growth,21.02,03-Jul-2024,1132.4093, May 2024 ,1.36,6,2.37,5,7.03,2,9.01,5,7.74,7,11.51,8,21.64,8,22.53,7,21.13,7,11.75,5,16.21,2,--,--,--,--,--,--,--,--,10.15,8,15.78,6
ICICI Prudential Quant Fund - Reg - Growth,21.58,03-Jul-2024,79.7895, May 2024 ,2.03,3,2.81,3,5.32,3,10.16,3,11.35,4,17.92,5,29.77,6,36.9,4,28.17,6,18.58,3,--,--,--,--,--,--,--,--,--,--,18.18,5,24.11,4
Kotak Quant Fund - Reg - Growth,15.56,03-Jul-2024,732.0929, May 2024 ,1.22,7,1.33,8,2.99,6,9.06,4,11.73,3,25.03,3,51.02,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.24,3,55.6,1
Nippon India Quant Fund - Reg - Growth,68.2,03-Jul-2024,64.8651, May 2024 ,2.17,2,2.58,4,2.65,7,6.32,6,8.82,5,18.93,4,38.04,4,44.28,3,37.49,3,23.48,2,21.27,1,16.7,1,13.82,1,14.92,1,13.51,1,18.92,4,12.57,7
Quant Quantamental Fund - Reg - Growth,24.93,03-Jul-2024,2408.6026, May 2024 ,1.42,5,1.47,7,0.85,8,6.12,7,8.71,6,27.73,1,51.2,1,61.45,1,50.94,1,33.1,1,--,--,--,--,--,--,--,--,--,--,28.43,1,33.3,2
Tata Quant Fund - Reg - Growth,15.5,03-Jul-2024,57.8118, May 2024 ,2.01,4,3.5,1,8.23,1,10.67,2,14.29,1,14.15,7,23.65,7,32.77,6,29.68,5,13.67,4,--,--,--,--,--,--,--,--,--,--,13.49,7,10.35,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.16,--,1.33,--,0.85,--,5.22,--,6.85,--,11.51,--,21.64,--,22.53,--,21.13,--,11.75,--,16.21,--,16.7,--,13.82,--,14.92,--,13.51,--,10.15,--,10.35,--
Maximum,--,--,--,--,3.6,--,3.5,--,8.23,--,11.21,--,14.29,--,27.73,--,51.2,--,61.45,--,50.94,--,33.1,--,21.27,--,16.7,--,13.82,--,14.92,--,13.51,--,28.43,--,55.6,--
Average,--,--,--,--,1.87,--,2.34,--,4.3,--,8.47,--,10.37,--,19.84,--,37.11,--,41.82,--,35.26,--,20.12,--,18.74,--,16.7,--,13.82,--,14.92,--,13.51,--,19.69,--,24.76,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
