Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Regular Savings Fund - Reg - Growth,61.53,03-Jul-2024,1386.8897, May 2024 ,0.49,10,0.83,10,1.6,10,3.46,8,4.25,7,6.63,11,9.86,14,11.79,14,11.16,12,8.88,10,9.14,8,7.36,9,9.3,4,10.23,3,9.57,4,6.39,13,9.45,6
Axis Regular Saver Fund - Growth,28.12,03-Jul-2024,330.094, May 2024 ,0.45,12,0.74,15,2.12,7,3.68,7,3.74,12,5.76,16,8.56,17,9.82,16,9.54,17,6.66,16,8.43,11,6.9,12,7.33,15,8.13,14,--,--,5.39,16,7.68,16
Bandhan Regular Savings Fund - Reg - Growth,30.33,03-Jul-2024,114.8577, May 2024 ,0.75,3,0.94,7,2.64,1,3.91,4,4.55,5,6.57,13,10.72,12,12.02,13,9.62,16,6.42,17,6.8,16,6.22,16,7.4,14,8.26,12,--,--,6.41,12,8.03,15
Bank of India Conservative Hybrid Fund - Reg - Growth,33.04,03-Jul-2024,72.1704, May 2024 ,0.33,16,0.46,19,0.91,18,2.66,16,2.68,17,6.6,12,10.98,11,13.85,10,11.27,11,14.24,1,12.18,1,7.64,7,8.33,7,8.65,10,7.69,11,6.47,11,8.12,14
Baroda BNP Paribas Conservative Hybrid Fund - Growth,42.17,03-Jul-2024,646.3249, May 2024 ,0.53,5,0.86,9,1.48,11,2.73,15,3.53,14,6.8,10,11.03,10,12.78,11,11.38,10,7.72,14,7.77,14,7.13,11,7.78,11,8.33,11,7.5,12,6.68,10,7.54,17
Canara Robeco Conservative Hybrid Fund - Growth,90.33,03-Jul-2024,972.9786, May 2024 ,0.53,6,1,4,1.68,9,3.44,9,4.18,8,6.48,14,10,13,12.14,12,10.74,13,7.6,15,9.36,7,8.31,5,8.32,8,8.95,7,8.73,7,6.32,14,11,1
DSP Regular Savings Fund - Growth,54.03,03-Jul-2024,172.432, May 2024 ,0.8,2,1.14,1,2.34,2,3.22,10,4.3,6,6.98,9,12.05,6,13.96,9,12,9,8.1,13,8.43,10,6.57,13,7.41,13,8.09,15,8.04,10,6.93,9,8.77,9
Franklin India Debt Hybrid Fund - Growth,84.33,03-Jul-2024,238.4003, May 2024 ,0.35,15,0.82,11,1.39,13,3.2,11,4.05,9,7.24,8,11.55,8,14.62,7,12.54,7,8.51,11,8.32,12,7.31,10,8.26,9,8.95,8,8.45,8,7.13,8,9.38,7
HDFC Hybrid Debt Fund - Growth,77.27,03-Jul-2024,3182.2433, May 2024 ,0.47,11,0.79,14,0.91,17,3.07,14,3.78,11,7.78,6,12.68,3,16.01,4,14.72,1,10.85,4,10.58,4,8.73,4,9.26,5,9.98,4,9.77,2,7.82,6,10.47,3
HSBC Conservative Hybrid Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),57.55,03-Jul-2024,111.8693, May 2024 ,0.83,1,1.01,3,2.34,3,5.33,1,7.03,1,11.09,1,14.79,1,17.05,2,13.75,5,9.27,8,8.9,9,7.52,8,8.04,10,8.72,9,8.4,9,10.98,1,8.79,8
ICICI Prudential Regular Savings Fund - Growth,69.6,03-Jul-2024,3337.7989, May 2024 ,0.45,13,0.81,12,1.92,8,3.18,12,3.69,13,7.39,7,11.51,9,14.14,8,12.34,8,9.93,7,9.9,5,9.02,2,9.92,2,10.42,1,9.82,1,7.41,7,10.04,4
