Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Reg - Growth,18.89,03-Jul-2024,374.6616, May 2024 ,1.11,7,2.21,5,3.75,6,9.2,5,12.05,4,17.13,7,26.89,7,33.05,7,26.11,6,14.07,6,13.45,5,--,--,--,--,--,--,--,--,16.43,7,12.66,6
Axis Retirement Savings Fund - Dynamic Plan - Reg - Growth,18.8,03-Jul-2024,346.7908, May 2024 ,1.4,4,2.34,4,5.38,4,8.73,6,9.81,7,19.75,3,31.1,3,34.08,5,24.13,7,12.97,7,--,--,--,--,--,--,--,--,--,--,19.29,3,14.92,5
HDFC Retirement Savings Fund - Equity Plan - Reg - Growth,49.31,03-Jul-2024,5159.4098, May 2024 ,1.27,6,2,6,5.12,5,9.33,4,10.87,5,18.2,5,31.01,4,38.09,4,34.82,3,23.25,2,23.31,1,18.42,1,--,--,--,--,--,--,18.09,4,21.03,3
ICICI Prudential Retirement Fund - Pure Equity Plan - Reg - Growth,30.04,03-Jul-2024,795.8467, May 2024 ,1.52,3,1.73,7,2.42,7,7.63,7,10.73,6,23.67,1,43.87,1,55.62,1,37.49,1,30.72,1,22.95,2,--,--,--,--,--,--,--,--,23.72,1,22.75,2
Nippon India Retirement Fund - Wealth Creation Scheme - Reg - Growth,28.71,03-Jul-2024,3102.3127, May 2024 ,2.03,2,3.82,1,6.18,2,11.08,3,13.38,2,21.47,2,34.62,2,45.46,2,35.4,2,21.95,3,15.82,4,12.99,3,--,--,--,--,--,--,20.74,2,11.88,7
SBI Retirement Benefit Fund - Aggressive Plan - Reg - Growth,20.57,03-Jul-2024,2413.5443, May 2024 ,1.4,5,2.68,3,5.8,3,12.44,1,13.32,3,18.14,6,27.86,6,33.3,6,30.09,4,21.77,4,--,--,--,--,--,--,--,--,--,--,16.79,6,23.67,1
Tata Retirement Savings Fund - Progressive Plan - Reg,64.27,03-Jul-2024,1866.1647, May 2024 ,2.12,1,2.83,2,6.37,1,11.27,2,14.31,1,18.82,4,30.99,5,40.13,3,29.94,5,17.13,5,16.57,3,14.12,2,15.18,1,16.01,1,--,--,18.03,5,15.8,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.11,--,1.73,--,2.42,--,7.63,--,9.81,--,17.13,--,26.89,--,33.05,--,24.13,--,12.97,--,13.45,--,12.99,--,15.18,--,16.01,--,--,--,16.43,--,11.88,--
Maximum,--,--,--,--,2.12,--,3.82,--,6.37,--,12.44,--,14.31,--,23.67,--,43.87,--,55.62,--,37.49,--,30.72,--,23.31,--,18.42,--,15.18,--,16.01,--,--,--,23.72,--,23.67,--
Average,--,--,--,--,1.55,--,2.52,--,5,--,9.95,--,12.07,--,19.6,--,32.33,--,39.96,--,31.14,--,20.27,--,18.42,--,15.18,--,15.18,--,16.01,--,--,--,19.01,--,17.53,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
