Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Small Cap Fund - Growth,88.43,03-Jul-2024,4762.4597, May 2024 ,2.54,10,4.07,10,10.18,8,12.51,13,17.52,10,21.7,16,32.29,16,48.36,12,38.07,14,20.12,22,21.44,19,13.26,14,16.07,13,18.46,10,17.48,8,22.04,16,13.59,26
Axis Small Cap Fund - Reg - Growth,101.91,03-Jul-2024,20504.3698, May 2024 ,2.68,9,3.13,17,8.67,18,12.74,11,14.75,22,20.22,18,31.04,18,41.66,23,34.83,21,24.51,17,28.34,12,21.89,3,20.62,6,--,--,--,--,19.21,20,24.48,12
Bandhan Small Cap Fund - Reg - Growth,42.21,03-Jul-2024,5165.543, May 2024 ,3.22,3,4.53,3,10.36,6,11.74,17,17.73,9,27.61,3,48.91,2,73.55,1,48.27,5,27.64,8,--,--,--,--,--,--,--,--,--,--,28.8,3,39.18,2
Bank of India Small Cap Fund - Reg - Growth,47.1,03-Jul-2024,1079.6481, May 2024 ,2.77,7,3.88,12,11.29,4,13.88,5,19.54,4,24.24,12,37.4,10,55.82,10,42.49,11,26.86,11,34.81,2,--,--,--,--,--,--,--,--,24.87,11,32.26,4
Baroda BNP Paribas Small Cap Fund - Reg - Growth,13.72,03-Jul-2024,1368.4804, May 2024 ,3.25,2,4.51,4,8.48,20,10.1,22,16.65,15,23.22,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.83,13,37.19,3
Canara Robeco Small Cap Fund - Reg - Growth,39.79,03-Jul-2024,10429.8897, May 2024 ,2.29,15,3.19,16,8.78,17,14.31,4,16.96,12,21.61,17,34.06,14,46.19,15,35.37,18,27.97,6,31.56,4,--,--,--,--,--,--,--,--,21.83,17,29.24,7
DSP Small Cap Fund - Reg - Growth,188.33,03-Jul-2024,13781.0734, May 2024 ,1.61,25,3.9,11,12.15,3,11.45,18,15.36,20,16.83,23,29.52,21,44.07,19,37.09,15,25.31,14,27.74,16,17.4,12,21.01,4,23.24,4,23.16,1,17.55,22,18.77,17
Edelweiss Small Cap Fund - Reg - Growth,43.3,03-Jul-2024,3421.5544, May 2024 ,1.96,19,2.4,26,9.56,12,12.06,15,15.61,18,20.08,19,34.26,13,50.29,11,40.83,12,26.93,10,31.21,5,--,--,--,--,--,--,--,--,20.07,18,31.15,5
Franklin India Smaller Companies Fund - Growth,182.6,03-Jul-2024,12797.2872, May 2024 ,1.59,26,3.1,19,9.01,15,13.63,8,19.55,3,24.81,8,43.41,7,61.41,5,51.22,3,32.19,2,27.98,15,18.93,9,20.21,9,24.08,3,21.69,2,25.24,8,17.02,22
HDFC Small Cap Fund - Growth,135.35,03-Jul-2024,29175.0547, May 2024 ,1.76,23,2.88,20,8.31,22,8.33,26,11.16,27,16.97,22,27.91,22,42.95,21,44.01,8,26.54,12,26.07,18,20.3,6,20.22,8,21.15,6,19.08,4,17.13,23,17.38,21
HSBC Small Cap Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),86.3,03-Jul-2024,14787.2491, May 2024 ,1.92,20,3.5,15,9.82,9,13.74,7,19.19,6,25.9,5,38.59,9,57.46,8,44.9,6,31.18,4,29.17,10,19.98,7,20.62,7,--,--,--,--,25.18,10,22.9,14
