Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Special Opportunities Fund - Reg - Growth,23.19,03-Jul-2024,714.8312, May 2024 ,1.49,2,2.43,3,6.67,3,9.08,4,12.14,4,19.66,4,33.05,3,42.83,3,30.53,3,18.48,3,--,--,--,--,--,--,--,--,--,--,19.47,4,25.56,2
Axis Innovation Fund - Reg - Growth,17.81,02-Jul-2024,1208.9636, May 2024 ,1.08,4,1.95,5,7.35,2,10.83,3,12.15,3,24.55,3,34.42,2,37.32,4,27.97,4,15.61,4,--,--,--,--,--,--,--,--,--,--,23.77,3,17.8,4
Franklin India Opportunities Fund - Growth,245.09,02-Jul-2024,3933.3584, May 2024 ,0.31,5,2.57,2,6.17,4,12.58,2,20.65,1,34.06,1,55.98,1,76.88,1,54.8,1,30.86,1,26.53,1,20.12,1,18.66,1,19.45,1,16.41,1,33.97,1,14.02,5
ICICI Prudential India Opportunities Fund - Reg - Growth,32.66,03-Jul-2024,19792.2262, May 2024 ,1.43,3,2.41,4,5.56,5,8.22,5,9.19,5,18.72,5,31.85,5,46.17,2,38.87,2,29.43,2,24.7,2,--,--,--,--,--,--,--,--,18.72,5,24.16,3
Union Innovation & Opportunities Fund - Reg - Growth,13.2,03-Jul-2024,654.1077, May 2024 ,2.96,1,3.77,1,10.55,1,12.72,1,16.61,2,25.95,2,32.4,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.59,2,32,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.31,--,1.95,--,5.56,--,8.22,--,9.19,--,18.72,--,31.85,--,37.32,--,27.97,--,15.61,--,24.7,--,20.12,--,18.66,--,19.45,--,16.41,--,18.72,--,14.02,--
Maximum,--,--,--,--,2.96,--,3.77,--,10.55,--,12.72,--,20.65,--,34.06,--,55.98,--,76.88,--,54.8,--,30.86,--,26.53,--,20.12,--,18.66,--,19.45,--,16.41,--,33.97,--,32,--
Average,--,--,--,--,1.45,--,2.63,--,7.26,--,10.69,--,14.15,--,24.59,--,37.54,--,50.8,--,38.04,--,23.59,--,25.62,--,20.12,--,18.66,--,19.45,--,16.41,--,24.3,--,22.71,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
