Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Digital India Fund - Growth,166.68,02-Jul-2024,4294.5781, May 2024 ,3.27,3,5.13,6,11.89,6,11.63,7,6.84,9,8.05,7,20.02,7,30.32,5,22.78,3,13.19,4,25.93,2,24.63,3,19.19,1,20.37,2,18.01,3,5.63,7,12.18,7
Edelweiss Technology Fund - Reg - Growth,11.14,02-Jul-2024,476.7775, May 2024 ,3.01,5,3.28,9,11.85,7,14.7,2,12.09,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.39,8
Franklin India Technology Fund - Growth,501.82,02-Jul-2024,1435.1835, May 2024 ,2.79,7,4.87,7,12.18,5,8.56,9,9,6,20.24,2,36.52,1,53.97,1,34.62,1,17.68,1,25.58,3,23.13,5,18.01,3,19.03,3,19.42,2,18.04,2,19.49,5
HDFC Technology Fund - Reg - Growth,12.34,03-Jul-2024,953.3114, May 2024 ,2.76,8,5.22,5,11.71,8,11.24,8,9.1,5,15.01,3,25.1,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.54,3,23.45,2
ICICI Prudential Technology Fund - Growth,187.39,02-Jul-2024,11751.3429, May 2024 ,3.4,2,5.45,4,12.27,4,11.97,5,8.42,8,12.58,6,23.59,5,34.46,3,20.26,5,12.83,5,26.31,1,24.75,2,18.86,2,20.98,1,22.21,1,10.19,6,12.79,6
Kotak Technology Fund - Reg - Growth,10.96,03-Jul-2024,325.4661, May 2024 ,2.98,6,5.79,2,12.31,3,14.96,1,12.14,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.61,9
Quant Teck Fund - Reg - Growth,13.38,03-Jul-2024,355.9672, May 2024 ,2.55,9,3.8,8,12.75,2,11.91,6,10.7,3,22.94,1,34.02,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.72,1,33.82,1
SBI Technology Opportunities Fund - Growth,192.57,02-Jul-2024,3496.6174, May 2024 ,3.13,4,5.63,3,11.46,9,12.38,3,9.2,4,13.48,5,22.74,6,30.74,4,22.39,4,14.71,3,24.04,5,23.42,4,17.77,4,--,--,--,--,11.17,5,20.26,3
Tata Digital India Fund - Reg - Growth,46.37,03-Jul-2024,9223.3162, May 2024 ,4.46,1,5.85,1,14,1,12.27,4,8.67,7,14.95,4,28.64,3,37.97,2,23.52,2,14.85,2,25.13,4,25.42,1,--,--,--,--,--,--,12.33,4,19.73,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,2.55,--,3.28,--,11.46,--,8.56,--,6.84,--,8.05,--,20.02,--,30.32,--,20.26,--,12.83,--,24.04,--,23.13,--,17.77,--,19.03,--,18.01,--,5.63,--,9.61,--
Maximum,--,--,--,--,4.46,--,5.85,--,14,--,14.96,--,12.14,--,22.94,--,36.52,--,53.97,--,34.62,--,17.68,--,26.31,--,25.42,--,19.19,--,20.98,--,22.21,--,22.72,--,33.82,--
Average,--,--,--,--,3.15,--,5,--,12.27,--,12.18,--,9.57,--,15.32,--,27.23,--,37.49,--,24.71,--,14.65,--,25.4,--,24.27,--,18.46,--,20.13,--,19.88,--,13.23,--,18.08,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
