Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Transportation and Logistics Fund - Reg - Growth,14.57,03-Jul-2024,1377.1565, May 2024 ,1.82,2,1.75,2,5.89,4,11.14,4,15.91,4,33.92,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.42,2,45.7,2
Bandhan Transportation and Logistics Fund - Reg - Growth,18.48,03-Jul-2024,499.8474, May 2024 ,2.27,1,1.92,1,7.99,1,13.59,1,19.4,1,32.3,3,49.07,3,60.02,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32.44,3,43.83,4
HDFC Transportation and Logistics Fund - Reg - Growth,16.04,03-Jul-2024,1009.5978, May 2024 ,1.4,3,0.73,3,7.87,2,12.97,3,18.59,2,37.82,1,55.8,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.72,1,60.37,1
ICICI Prudential Transportation and Logistics Fund - Reg - Growth,18.46,03-Jul-2024,2924.1462, May 2024 ,1.15,4,0.54,4,6.95,3,13.04,2,17.43,3,31.29,5,48.51,4,60.18,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30.55,5,43.97,3
UTI Transportation and Logistics Fund - Growth,272.09,03-Jul-2024,3435.0465, May 2024 ,1.04,5,0.15,5,4.52,5,10.73,5,15.32,5,31.39,4,49.83,2,56.46,3,40.61,1,29.84,1,24.18,1,13.57,1,15.41,1,20.71,1,21.21,1,30.58,4,17.64,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.04,--,0.15,--,4.52,--,10.73,--,15.32,--,31.29,--,48.51,--,56.46,--,40.61,--,29.84,--,24.18,--,13.57,--,15.41,--,20.71,--,21.21,--,30.55,--,17.64,--
Maximum,--,--,--,--,2.27,--,1.92,--,7.99,--,13.59,--,19.4,--,37.82,--,55.8,--,60.18,--,40.61,--,29.84,--,24.18,--,13.57,--,15.41,--,20.71,--,21.21,--,37.72,--,60.37,--
Average,--,--,--,--,1.54,--,1.02,--,6.64,--,12.29,--,17.33,--,33.34,--,50.8,--,58.89,--,40.61,--,29.84,--,24.18,--,13.57,--,15.41,--,20.71,--,21.21,--,32.94,--,42.3,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
