Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,841.35,3.3,12,4.52,9,8.51,7,8.67,7,13.36,8,24.93,8,24.23,8,15.77,-,26.55,8,24.69,10,16.21,9,15.88,6,14.51,8,12.45,7,13.73,7,12.05,7,12.23,8,1.75,10
Axis Nifty 50 Index Fund - Regular Plan,449.68,3.3,8,4.48,15,8.42,15,8.57,15,13.35,9,24.91,9,24.21,9,14.96,-,26.54,9,24.78,8,-,-,-,-,-,-,-,-,-,-,-,-,12.23,9,1.75,6
Bandhan Nifty 50 Index Fund - Regular Plan,1265.7,3.3,13,4.49,14,8.46,13,8.6,13,13.27,14,24.84,11,24.14,11,12.32,-,26.42,11,24.65,12,16.27,7,16.12,2,15.02,2,13,2,14.39,1,-,-,12.15,14,1.75,14
DSP Nifty 50 Index Fund - Regular Plan,527.58,3.3,10,4.52,8,8.51,8,8.66,8,13.36,6,24.98,5,24.28,5,17,-,26.65,5,24.89,5,16.41,2,15.98,5,-,-,-,-,-,-,-,-,12.24,6,1.75,8
Edelweiss Nifty 50 Index Fund,61.24,3.27,17,4.36,17,8.32,17,8.47,17,13.05,16,24.56,16,23.85,16,12.2,-,26.05,16,24.4,16,-,-,-,-,-,-,-,-,-,-,-,-,11.93,16,1.73,17
Franklin India NSE Nifty 50 Index,657.69,3.3,15,4.5,12,8.46,12,8.6,14,13.28,12,24.71,15,24,15,13.2,-,26.15,15,24.45,15,16.03,12,15.56,10,14.3,10,12.33,9,13.67,9,12.15,6,12.18,11,1.74,15
HDFC Index Fund Nifty 50 Plan,14219.56,3.31,2,4.53,6,8.53,5,8.68,5,13.44,2,25.06,2,24.36,2,15.29,-,26.7,1,24.92,3,16.41,3,16.04,3,14.98,3,12.98,3,14.34,3,12.49,3,12.32,2,1.75,2
HSBC Nifty 50 Index Fund - Regular Plan,249.71,3.31,7,4.53,4,8.52,6,8.68,6,13.36,7,24.98,6,24.28,6,27.4,-,26.63,6,24.8,6,16.31,5,-,-,-,-,-,-,-,-,-,-,12.24,7,1.75,7
ICICI Prudential Nifty 50 Index Fund,8941.14,3.31,4,4.53,5,8.54,3,8.68,4,13.47,1,25.06,1,24.36,1,15.31,-,26.69,3,24.91,4,16.41,4,16.04,4,14.74,4,12.69,4,14.12,4,12.56,2,12.35,1,1.75,4
