Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,196.37,2.32,4,5.91,9,11.37,7,14.57,4,22.76,2,38.88,2,39.23,2,29.57,-,56.92,2,44.11,2,27.05,1,-,-,-,-,-,-,-,-,-,-,23.55,2,1.88,6
Axis Nifty Midcap 50 Index Fund - Regular Plan,313.07,2.68,1,6.26,3,11.6,3,13.39,11,19.56,11,35.86,9,35.8,9,32.36,-,54.95,9,45.37,1,-,-,-,-,-,-,-,-,-,-,-,-,20.27,11,1.69,10
DSP Nifty Midcap 150 Quality 50 Index Fund - Regular Plan,244.58,2.21,10,7.59,2,15.45,2,18.8,2,21.71,10,31.35,11,31.57,11,22.86,-,42.98,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.3,10,1.86,9
HDFC NIFTY Midcap 150 Index Fund - Regular Plan,147.44,2.31,7,5.9,10,11.31,10,14.42,10,22.18,7,38.04,7,38.38,7,61.46,-,55.66,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.97,7,1.87,8
ICICI Prudential Nifty Midcap 150 Index Fund,436.55,2.32,5,5.93,7,11.35,8,14.45,8,22.25,6,38.1,6,38.44,6,27.27,-,55.94,6,43.51,5,-,-,-,-,-,-,-,-,-,-,-,-,23.04,6,1.88,5
Motilal Oswal Nifty Midcap 150 Index Fund - Regular Plan,1590.74,2.34,2,5.96,5,11.43,4,14.57,5,22.34,3,38.41,3,38.76,4,30.83,-,56.47,4,43.9,4,26.88,3,-,-,-,-,-,-,-,-,-,-,23.14,3,1.89,2
Navi Nifty Midcap 150 Index Fund - Regular Plan,150.36,2.3,8,5.92,8,11.33,9,14.43,9,22.05,8,37.93,8,38.26,8,33.36,-,55.65,8,43.32,6,-,-,-,-,-,-,-,-,-,-,-,-,22.84,8,1.87,7
Nippon India Nifty Midcap 150 Index Fund - Regular Plan,1312.56,2.33,3,5.97,4,11.42,5,14.56,6,22.3,4,38.41,4,38.76,3,29.39,-,56.5,3,44,3,26.89,2,-,-,-,-,-,-,-,-,-,-,23.1,4,1.88,3
SBI Nifty Midcap 150 Index Fund - Regular Plan,445.99,2.32,6,5.94,6,11.4,6,14.52,7,22.28,5,38.27,5,38.62,5,40.34,-,56.33,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.07,5,1.88,4
Tata Nifty Midcap 150 Momentum 50 Index Fund - Regular Plan,323.11,0.77,11,1.97,11,8.83,11,15.67,3,28.35,1,47.94,1,48.7,1,43.86,-,72.24,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.31,1,1.34,11
UTI Nifty Midcap 150 Quality 50 Index Fund - Regular Plan,202.42,2.26,9,7.63,1,15.49,1,18.86,1,21.77,9,31.39,10,31.61,10,17.97,-,43.02,10,28.54,7,-,-,-,-,-,-,-,-,-,-,-,-,21.36,9,1.91,1
