Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,161.66,2.88,6,10.63,2,11.35,2,17.77,1,21.18,7,46.19,1,47.17,1,25.33,-,71.94,3,48.64,1,19.67,3,-,-,-,-,-,-,-,-,-,-,21.61,7,1.97,6
Axis Nifty Smallcap 50 Index Fund - Regular Plan,310.57,2.87,7,10.54,3,11.2,3,17.6,3,21.42,6,45.71,3,46.66,3,29.63,-,72.41,1,48.31,2,-,-,-,-,-,-,-,-,-,-,-,-,21.86,6,1.96,7
Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan,52.8,3.25,1,9.65,5,10.67,5,15.92,5,23.54,1,41.6,4,42.45,4,44.33,-,63.72,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.39,1,2.32,5
HDFC NIFTY Smallcap 250 Index Fund - Regular Plan,178.99,3.24,5,9.63,8,10.62,8,15.85,7,23.17,4,41.13,7,42.01,7,69.72,-,63.15,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.03,4,2.32,4
Kotak Nifty Smallcap 50 Index Fund - Regular Plan,59.73,2.86,8,10.64,1,11.36,1,17.72,2,21.06,8,46.03,2,46.99,2,76.82,-,72.11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.48,8,1.95,8
Motilal Oswal Nifty Smallcap 250 Index Fund - Regular Plan,687.59,3.25,2,9.64,6,10.66,6,15.92,4,23.33,2,41.39,5,42.27,5,31.66,-,63.65,5,45.9,3,26.04,1,-,-,-,-,-,-,-,-,-,-,24.19,2,2.33,1
Nippon India Nifty Smallcap 250 Index Fund - Regular Plan,1318.53,3.24,4,9.67,4,10.67,4,15.85,8,23.13,5,41.08,8,41.94,8,38.89,-,63.12,8,45.73,4,25.95,2,-,-,-,-,-,-,-,-,-,-,23.98,5,2.33,2
SBI Nifty Smallcap 250 Index Fund - Regular Plan,746.91,3.24,3,9.64,7,10.66,7,15.92,6,23.26,3,41.31,6,42.19,6,43.74,-,63.5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.13,3,2.33,3
