Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,10110.55,13.24,5,9.27,5,7.38,2,6.79,5,8.64,2,7.13,3,7.6,5,7.36,4,7.07,4,6.77,5,5.52,3,5.43,4,6.69,5,6.81,5,7.77,1,8.02,-,4.91
Axis Banking & PSU Debt Fund,13660.32,10.23,8,7.31,10,6.73,7,6.26,10,7.17,11,6.27,11,7.05,10,6.86,11,6.72,10,6.26,11,5.25,8,5.11,8,6.41,8,6.88,3,7.31,6,7.62,-,2.89
Bandhan Banking & PSU Debt Fund - Regular Plan,14279.57,15.26,2,9.7,3,6.73,8,6.59,6,8.01,9,6.78,6,7.19,9,7.02,8,6.78,7,6.53,7,5.32,7,5.22,6,6.74,2,7.04,1,7.29,7,7.52,-,3
DSP Banking & PSU Debt Fund - Regular Plan,2505.18,18.93,1,9.89,2,8.85,1,8.63,1,10.13,1,7.4,1,8.93,1,7.96,1,7.42,2,6.85,3,5.45,4,5.19,7,6.64,7,6.68,7,7.4,5,7.65,-,8.49
HDFC Banking and PSU Debt Fund - Regular Plan,6297.89,10.34,6,8.33,8,6.93,6,6.36,8,8.35,5,6.74,7,7.6,6,7.22,6,7.04,5,6.77,4,5.37,6,5.46,3,6.65,6,6.72,6,7.52,3,7.58,-,4.48
HSBC Banking and PSU Debt Fund,4731.55,10.26,7,9.35,4,7.12,5,6.96,3,7.42,10,6.57,8,7.05,11,6.97,10,6.67,11,6.51,8,4.52,11,4.53,11,6.06,10,6.18,11,6.81,9,7.07,-,1.86
ICICI Prudential Banking & PSU Debt Fund,9403.8,14.02,4,8.91,6,6.26,10,6.58,7,8.21,6,7.21,2,7.76,2,7.36,3,7.47,1,7.42,1,6,1,5.88,1,6.76,1,6.66,8,7.65,2,7.91,-,5.73
Kotak Banking and PSU Debt Fund - Regular Plan,5967.83,4.13,11,6.38,11,6.66,9,5.85,11,8.38,4,6.82,5,7.67,4,7.46,2,7.19,3,7,2,5.6,2,5.51,2,6.73,4,6.94,2,7.5,4,7.28,-,7.88
LIC MF Banking & PSU Fund,1410.12,6.5,9,8.69,7,7.22,4,6.92,4,8.06,8,6.57,9,7.6,7,7.17,7,6.77,8,6.3,10,5,10,4.65,10,5.79,11,6.3,10,6.54,10,7.04,-,3.99
Nippon India Banking & PSU Debt Fund,5628.09,6.49,10,8.2,9,7.32,3,6.27,9,8.43,3,6.83,4,7.69,3,7.32,5,6.92,6,6.77,6,5.38,5,5.28,5,6.73,3,6.82,4,-,-,7.34,-,5.08
SBI Banking and PSU Fund,4199.91,14.47,3,9.91,1,5.96,11,7.03,2,8.17,7,6.54,10,7.42,8,6.99,9,6.76,9,6.44,9,5,9,4.79,9,6.17,9,6.56,9,7.12,8,7.42,-,8.83
