Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,22042.26,14.47,2,8.89,4,7.09,3,6.89,1,9.29,1,7.7,1,8.37,1,7.87,1,7.66,1,7.44,3,5.93,2,5.92,2,7.15,1,7.24,1,7.87,1,8.93,-,5.54
HDFC Corporate Bond Fund,28959.05,6.59,10,7.54,5,7.18,2,6.85,2,8.77,2,7.35,3,8.35,2,7.61,2,7.62,3,7.46,2,5.73,3,5.66,3,6.98,3,7.09,2,7.79,2,8.12,-,5.56
ICICI Prudential Corporate Bond Fund,27285.73,12.77,3,8.92,3,6.57,5,6.59,3,8.13,10,7.41,2,7.78,4,7.45,4,7.63,2,7.64,1,6.11,1,5.96,1,7.07,2,7.04,3,7.6,4,7.92,-,4.61
SBI Corporate Bond Fund - Regular Plan,20025.72,11.28,5,7.3,8,6.48,6,6.04,7,8.17,8,6.83,8,7.44,9,7.07,9,6.87,8,6.56,9,5.22,7,4.96,9,6.41,9,-,-,-,-,6.74,-,4.5
Bandhan Corporate Bond Fund - Regular Plan,13808.94,16.94,1,9.22,2,6.37,7,6.06,6,8.46,4,7.01,5,6.83,10,6.8,10,6.81,9,6.49,10,5.08,10,5.1,8,6.38,10,6.48,6,-,-,6.95,-,3.98
Kotak Corporate Bond Fund - Standard Plan,12541.1,8.69,8,6.63,10,5.9,9,5.86,9,8.23,7,7.22,4,7.9,3,7.55,3,7.29,4,6.93,5,5.6,4,5.53,5,6.52,7,6.85,5,7.78,3,7.67,-,5.19
HSBC Corporate Bond Fund,5965.27,7.07,9,9.27,1,7.24,1,6.34,4,8.53,3,6.44,10,7.65,7,7.17,8,6.63,10,7.06,4,5.16,9,4.94,10,6.77,6,6.98,4,7.22,5,7.23,-,4.55
Axis Corporate Debt Fund - Regular Plan,5282.11,12.35,4,7.43,7,6.93,4,6.25,5,8.42,6,6.9,7,7.72,6,7.34,6,7.06,6,6.83,6,5.48,5,5.6,4,6.94,4,-,-,-,-,6.64,-,5.09
UTI Corporate Bond Fund - Regular Plan,3856.33,9.7,6,7.07,9,5.43,10,5.52,10,8.15,9,6.81,9,7.55,8,7.29,7,7.02,7,6.73,7,5.43,6,5.3,6,6.79,5,-,-,-,-,7.18,-,4.31
Invesco India Corporate Bond Fund,3528.03,9.12,7,7.49,6,6.25,8,6.01,8,8.44,5,6.95,6,7.74,5,7.41,5,7.06,5,6.66,8,5.18,8,5.1,7,6.45,8,5.85,7,6.8,6,6.53,-,4.66
