Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,927.05,15.99,2,8.22,1,6.33,7,14.83,1,12.66,1,10.18,1,9.11,1,8.25,3,7.78,4,8.67,2,7.11,5,7.71,4,6.78,6,6.51,5,-,-,7.32,-,4.02
Axis Credit Risk Fund - Regular Plan,452.65,11.32,8,6.42,10,6.95,3,6.57,7,8.02,8,7.25,5,7.71,8,7.42,9,7.19,8,7,7,5.9,8,6.35,10,6.69,7,6.01,6,-,-,7.02,-,2.38
Bandhan Credit Risk Fund - Regular Plan,346.14,13.88,3,7.15,5,6.76,6,6.7,4,8.27,5,7.2,7,7.26,10,7.04,10,6.5,12,6.21,12,4.94,11,5.1,12,5.7,9,5.77,8,-,-,5.93,-,3.69
Baroda BNP Paribas Credit Risk Fund,149.05,12.53,5,5.91,11,6.19,8,6.62,6,7.79,10,7.21,6,7.72,6,7.53,7,7.43,7,7.37,5,9.04,3,10.41,1,7.64,1,6.84,3,-,-,7.83,-,2.76
DSP Credit Risk Fund,194.02,12.91,4,7.72,3,6.79,5,6.29,8,8.05,6,7.26,4,7.57,9,18.17,1,15.51,1,10.84,1,9.73,2,8.76,2,7.62,2,5.71,9,6.87,5,6.83,-,2.96
HDFC Credit Risk Debt Fund - Regular Plan,7980.05,12.04,7,6.81,9,5.65,10,5.98,10,8.01,9,6.35,10,7.72,7,7.49,8,7.18,9,6.99,8,5.8,9,6.87,7,7.33,4,6.96,2,7.89,2,8.04,-,3.2
HSBC Credit Risk Fund,576,12.47,6,7.46,4,6.84,4,6.07,9,7.53,11,6.89,9,6.86,12,6.53,12,6.7,10,6.46,11,5.7,10,6.49,9,4.98,10,4.92,10,6.36,6,6.87,-,3.16
ICICI Prudential Credit Risk Fund,6912.5,11.04,9,8.17,2,5.8,9,4.86,11,8.96,3,6.96,8,7.88,4,8.23,4,7.83,3,7.34,6,6.4,7,6.93,5,7.53,3,7.32,1,7.91,1,8.18,-,3.08
Kotak Credit Risk Fund - Regular Plan,822.11,21.37,1,7.04,8,5.21,11,6.64,5,8.84,4,6.32,11,8.46,2,8.74,2,8.14,2,6.73,9,4.77,12,5.38,11,5.72,8,5.94,7,6.99,4,7.37,-,3.01
Nippon India Credit Risk Fund,1028.69,10.26,10,7.08,6,7.72,1,7.32,3,8.03,7,7.45,3,7.8,5,7.56,6,7.61,5,7.54,4,8.5,4,8.55,3,4.88,11,4.77,11,6.12,7,6.29,-,2.15
SBI Credit Risk Fund,2463.93,9.98,11,7.08,7,7.35,2,12.31,2,10.19,2,8.64,2,8.2,3,7.72,5,7.46,6,7.79,3,6.46,6,6.66,8,7.09,5,6.68,4,7.67,3,7.45,-,3.92
UTI Credit Risk Fund - Regular Plan,389.99,9.51,12,3.85,12,5.08,12,4.81,12,6.89,12,6.28,12,6.99,11,6.7,11,6.64,11,6.63,10,10.87,1,6.88,6,-0.73,12,0.55,12,3.16,8,3.97,-,2.86
