Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
360 ONE Dynamic Bond Fund - Regular Plan,734.01,19.73,8,6.61,4,4.91,5,5.84,7,9.8,8,6.93,11,9.6,5,8.86,4,7.92,4,7.28,9,6.12,3,6.27,3,6.54,9,6.35,7,7.12,8,6.75,-,6.46
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan,1698.57,26.66,4,6.75,3,4.61,7,5.29,10,12.41,5,8.84,4,9.07,8,8.31,7,7.41,8,8.71,1,6.59,2,6.56,2,5.58,11,5.09,12,6.8,11,7.59,-,13.84
Axis Dynamic Bond Fund - Regular plan,1702.66,17.73,10,6.09,6,6.39,2,7.12,4,9.88,7,7,10,8.82,10,7.64,10,6.98,10,7.54,8,5.18,10,5.14,9,6.79,4,6.69,3,7.72,5,7.87,-,9.25
Bandhan Dynamic Bond Fund - Regular Plan,2366.01,32.83,1,1.75,12,4.47,8,11.42,1,19.2,1,11.7,1,14.19,1,11.62,1,9.23,1,7.84,4,5.33,8,4.75,11,6.63,8,6.5,6,7.81,4,7.73,-,29.06
DSP Strategic Bond Fund - Regular Plan,1015.21,29.1,2,4.76,9,6.13,3,10.3,2,16.38,2,10.66,2,12.48,2,10.03,2,8.68,2,7.89,3,5.98,5,5.18,7,7.35,3,6.6,4,7.6,6,7.57,-,31.36
HDFC Dynamic Debt Fund,679.4,25.9,5,5.18,7,4.02,9,5.83,8,11.85,6,8.42,6,9.29,7,8.5,6,7.71,5,7.19,10,4.83,11,6.03,5,6.65,7,5.23,11,6.8,10,8.09,-,13.98
ICICI Prudential All Seasons Bond Fund,12570.68,17.98,9,6.36,5,5.54,4,4.66,11,9.39,10,7.79,7,7.75,11,7.82,8,7.46,7,7.99,2,6.11,4,6.14,4,7.36,2,7.01,2,8.54,1,8.81,-,8.15
Kotak Dynamic Bond Fund - Regular Plan,2517.92,28.8,3,5.11,8,3.82,10,7.68,3,14.13,3,8.76,5,10.46,3,9.66,3,8.48,3,7.64,7,5.59,7,5.41,6,6.66,6,7.04,1,7.91,2,8.01,-,22.02
Mirae Asset Dynamic Bond Fund - Regular Plan,152.53,11.93,11,6.75,2,7.27,1,6.92,6,7.72,12,6.47,12,7.01,12,6.69,12,6.18,12,6.34,12,4.14,12,3.75,12,5.52,12,5.6,9,-,-,5.73,-,2.66
Nippon India Dynamic Bond Fund,4606.22,-40.37,12,3.69,11,3.45,11,5.4,9,9.62,9,7.57,8,9.33,6,7.56,11,6.91,11,7.7,6,5.26,9,4.87,10,6.01,10,5.76,8,7.15,7,6.44,-,6.03
SBI Dynamic Bond Fund,3093.78,25.74,6,6.76,1,4.65,6,6.94,5,13.1,4,9.14,3,9.89,4,8.69,5,7.53,6,7.82,5,5.88,6,5.15,8,6.69,5,6.55,5,7.86,3,6.03,-,16.9
UTI Dynamic Bond Fund - Regular Plan,581.37,21.52,7,4.23,10,2.31,12,1.89,12,9.17,11,7.01,9,8.93,9,7.71,9,7.1,9,6.54,11,10.4,1,8.31,1,7.92,1,5.45,10,7.08,9,7.75,-,9.42
