Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Floating Rate Fund - Regular Plan,12802.24,8.82,10,9.42,2,8.28,1,7.8,1,7.61,2,7.32,3,7.89,3,7.53,2,7.65,3,7.29,3,6.09,2,5.8,3,6.55,3,6.82,1,7.44,1,7.94,-,2.12
Axis Treasury Advantage Fund - Regular Plan,5468.05,9.62,5,8.81,10,7.84,3,7.43,5,7.33,4,7.23,4,7.57,4,7.29,4,7.21,5,6.88,5,5.71,5,5.42,5,6.11,4,6.49,3,6.97,4,7.41,-,1.13
Bandhan Low Duration Fund - Regular Plan,5064.23,9.47,8,9.24,8,7.45,12,7.2,12,7.22,9,6.93,11,7.24,12,7.15,7,7.02,9,6.71,7,5.48,10,5.12,11,5.82,11,6.24,8,6.94,5,7.16,-,1.01
DSP Low Duration Fund - Regular Plan,4315.8,9.51,7,9.36,5,7.72,9,7.41,6,7.28,7,7.06,6,7.38,8,7.11,9,7.02,10,6.68,8,5.53,7,5.16,9,6.06,7,6.28,7,-,-,6.77,-,1.02
HDFC Low Duration Fund,17516.3,9.05,9,9.43,1,7.78,4,7.48,4,7.16,11,7.1,5,7.38,7,7.01,11,7.2,6,6.92,4,5.59,6,5.57,4,6.11,5,6.3,6,6.78,9,7.06,-,2.06
ICICI Prudential Savings Fund,19172.2,10.7,1,9.28,6,7.91,2,7.77,2,7.48,3,7.4,2,7.95,2,7.51,3,7.79,2,7.8,1,6.05,4,5.92,2,6.57,2,6.81,2,7.39,2,7.7,-,2.18
Invesco India Low Duration Fund,1261.74,8.47,11,8.34,13,7.6,10,7.3,11,7.28,6,6.99,9,7.57,5,7.25,6,7.17,7,6.66,9,5.46,11,5.15,10,5.9,10,6.3,5,6.85,6,7.46,-,0.98
Kotak Low Duration Fund - Standard Plan,9154.4,10.22,3,8.77,11,7.76,6,7.34,8,7.06,12,6.94,10,7.24,11,6.87,13,6.89,13,6.66,10,5.36,13,5.19,8,6.02,8,6.35,4,7.15,3,7.19,-,2.08
Nippon India Low Duration Fund,5789.66,8.44,12,8.94,9,7.51,11,7.11,13,6.95,13,6.83,13,7.2,13,6.99,12,6.94,12,6.56,13,5.51,9,5.42,6,6.1,6,6.19,9,6.81,7,7.47,-,1.15
SBI Floating Rate Debt Fund - Regular Plan,1146.59,10.69,2,9.39,4,7.29,13,7.51,3,8.76,1,7.91,1,8.34,1,7.65,1,8.25,1,7.32,2,6.06,3,-,-,-,-,-,-,-,-,5.77,-,3.87
SBI Magnum Low Duration Fund,9681.07,7.72,13,8.67,12,7.73,8,7.32,10,7.18,10,6.89,12,7.25,10,7.05,10,6.95,11,6.59,12,5.38,12,5,12,5.68,12,6.16,10,6.8,8,7.2,-,1.61
Tata Treasury Advantage Fund - Regular Plan,2319.17,9.55,6,9.42,3,7.74,7,7.4,7,7.29,5,7.02,8,7.35,9,7.12,8,7.06,8,6.65,11,5.52,8,5.28,7,5.95,9,5.5,11,6.36,10,7.12,-,0.95
UTI Low Duration Fund - Regular Plan,2455.66,10.1,4,9.28,7,7.77,5,7.34,9,7.24,8,7.02,7,7.46,6,7.28,5,7.22,4,6.87,6,7.49,1,6.72,1,7.16,1,5.34,12,6.33,11,7.16,-,0.96
