Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Government Securities Fund - Regular Plan,1777.83,27.46,7,4.42,11,2.83,12,6.69,4,13.97,4,9.37,6,10.91,4,9.84,4,8.2,4,7.7,8,5.55,7,5.1,6,6.65,6,6.6,6,8.46,3,8.52,-,19.64
SBI Magnum Gilt Fund,8756.76,30.22,4,5.52,5,3.21,11,6.01,6,13.37,6,9.81,5,10.23,6,9.29,5,7.94,5,8.19,4,6.27,1,5.66,1,7.21,3,6.96,3,8.82,1,8,-,16.26
ICICI Prudential Gilt Fund,6289.29,19.28,13,5.11,8,3.73,8,3.14,12,9.62,12,7.59,12,7.93,13,7.63,13,7.81,7,8.52,1,6.26,2,5.64,2,7.34,2,6.86,4,8.47,2,9.43,-,10.6
Kotak Gilt Investment - Regular Plan,3422.09,31.86,2,4.48,10,4.29,7,8.83,3,15.06,3,10.15,4,9.56,10,8.97,7,7.93,6,8.01,5,5.58,6,5.03,7,6.54,7,6.32,8,7.75,8,8.99,-,28.72
HDFC Gilt Fund,2418.16,25.97,10,5.74,4,4.46,5,5.83,7,12.42,9,9.33,7,9.01,12,8.55,10,7.62,10,7.41,11,5.21,11,4.64,8,5.88,10,5.6,11,7.45,10,7.32,-,12.92
Bandhan Government Securities Fund - Investment Plan - Regular Plan,2190.88,33.4,1,2.37,13,5.04,2,12.01,1,19.77,1,12.28,1,14.9,1,12.25,1,9.8,1,8.32,2,5.77,4,5.14,5,7.11,4,7.14,2,8.4,4,7.96,-,28.95
Nippon India Gilt Securities Fund,1864.74,29.55,5,5.95,2,4.3,6,5.34,9,13.17,7,9.23,8,10.38,5,9.27,6,7.64,8,7.72,7,5.26,10,4.5,11,6.21,8,6.57,7,8.34,5,6.19,-,14.64
Baroda BNP Paribas Gilt Fund,1626.13,21.85,12,5.48,6,4.77,3,4.69,10,10.88,10,8.23,10,10.06,7,8.61,9,7.28,12,7.68,9,5.2,12,4.51,10,5.58,11,5.68,10,6.98,13,6.29,-,9.47
DSP Gilt Fund,1012.28,31.33,3,2.79,12,5.35,1,10.41,2,16.82,2,10.85,2,13,2,10.89,2,8.97,2,8.26,3,6.12,3,5.58,3,7.38,1,7.17,1,8.29,6,9.22,-,34.42
Tata Gilt Securities Fund - Regular Plan,727.56,26.82,9,6.02,1,3.6,9,4.13,11,8.55,13,6.68,13,9.18,11,8.15,12,7.06,13,7.31,12,5.32,9,4.29,12,5.46,12,5.35,13,7.02,12,8.28,-,7.33
UTI Gilt Fund - Regular Plan,621.38,25.92,11,5.87,3,2.71,13,1.84,13,10.81,11,8.17,11,9.84,8,8.5,11,7.63,9,7.47,10,5.4,8,4.6,9,6.14,9,6.25,9,8.18,7,8.15,-,12.4
Axis Gilt Fund,353.85,27.17,8,5.28,7,4.72,4,6.33,5,13.68,5,10.16,3,11.41,3,10.38,3,8.71,3,7.73,6,5.61,5,5.37,4,7.01,5,6.62,5,7.68,9,7.11,-,16.47
HSBC Gilt Fund,199.45,29.34,6,4.96,9,3.37,10,5.69,8,12.79,8,8.9,9,9.81,9,8.95,8,7.34,11,6.54,13,4.61,13,4.03,13,5.39,13,5.41,12,7.24,11,7.79,-,11.41
