Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Low Duration Fund - Regular Plan,12133.88,9.56,5,8.9,8,7.66,9,7.2,10,7.05,10,6.74,11,7.08,11,6.89,10,6.85,11,6.56,10,5.45,9,5.27,7,5.98,8,6.29,5,6.83,5,7.17,-,1.3
ICICI Prudential Savings Fund,19172.2,10.7,1,9.28,4,7.91,1,7.77,1,7.48,1,7.4,1,7.95,1,7.51,1,7.79,1,7.8,1,6.05,2,5.92,2,6.57,2,6.81,1,7.39,1,7.7,-,2.18
HDFC Low Duration Fund,17516.3,9.05,9,9.43,1,7.78,3,7.48,2,7.16,8,7.1,3,7.38,4,7.01,8,7.2,4,6.92,2,5.59,4,5.57,3,6.11,4,6.3,4,6.78,8,7.06,-,2.06
SBI Magnum Low Duration Fund,9681.07,7.72,11,8.67,11,7.73,7,7.32,8,7.18,7,6.89,9,7.25,7,7.05,7,6.95,8,6.59,9,5.38,10,5,11,5.68,11,6.16,9,6.8,7,7.2,-,1.61
Kotak Low Duration Fund - Standard Plan,9154.4,10.22,2,8.77,10,7.76,5,7.34,6,7.06,9,6.94,7,7.24,8,6.87,11,6.89,10,6.66,7,5.36,11,5.19,8,6.02,7,6.35,3,7.15,2,7.19,-,2.08
Nippon India Low Duration Fund,5789.66,8.44,10,8.94,7,7.51,10,7.11,11,6.95,11,6.83,10,7.2,10,6.99,9,6.94,9,6.56,11,5.51,7,5.42,5,6.1,5,6.19,8,6.81,6,7.47,-,1.15
Axis Treasury Advantage Fund - Regular Plan,5468.05,9.62,4,8.81,9,7.84,2,7.43,3,7.33,2,7.23,2,7.57,2,7.29,2,7.21,3,6.88,3,5.71,3,5.42,4,6.11,3,6.49,2,6.97,3,7.41,-,1.13
Bandhan Low Duration Fund - Regular Plan,5064.23,9.47,8,9.24,6,7.45,11,7.2,9,7.22,6,6.93,8,7.24,9,7.15,4,7.02,6,6.71,5,5.48,8,5.12,10,5.82,10,6.24,7,6.94,4,7.16,-,1.01
DSP Low Duration Fund - Regular Plan,4315.8,9.51,7,9.36,3,7.72,8,7.41,4,7.28,4,7.06,4,7.38,5,7.11,6,7.02,7,6.68,6,5.53,5,5.16,9,6.06,6,6.28,6,-,-,6.77,-,1.02
UTI Low Duration Fund - Regular Plan,2455.66,10.1,3,9.28,5,7.77,4,7.34,7,7.24,5,7.02,5,7.46,3,7.28,3,7.22,2,6.87,4,7.49,1,6.72,1,7.16,1,5.34,11,6.33,10,7.16,-,0.96
Tata Treasury Advantage Fund - Regular Plan,2319.17,9.55,6,9.42,2,7.74,6,7.4,5,7.29,3,7.02,6,7.35,6,7.12,5,7.06,5,6.65,8,5.52,6,5.28,6,5.95,9,5.5,10,6.36,9,7.12,-,0.95
