Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Medium Term Plan - Regular Plan,1859.15,24.23,2,8.03,3,6.37,4,11.65,1,11.65,1,9.22,1,8.85,2,8.05,3,7.35,3,15.34,1,12.64,1,11.97,1,8.8,1,7.59,1,8.34,1,8.57,-,5.23
Axis Strategic Bond Fund - Regular Plan,1931.97,14.52,7,6.25,9,7.43,1,6.61,2,9.56,2,7.93,2,8.76,3,8.28,2,7.52,2,7.43,2,6.09,2,6.43,3,7.2,4,6.85,3,7.87,3,7.98,-,5.64
Bandhan Bond Fund Medium Term Plan - Regular Plan,1557.45,21.58,3,8.35,2,5.43,8,5.46,9,8.21,8,6.47,7,7,9,7.48,6,6.42,9,6.32,9,4.37,9,4.16,9,5.65,9,5.9,8,6.8,7,7.09,-,5.01
DSP Bond Fund - Retail Plan,356.2,16.89,4,9.25,1,6.44,3,6.35,4,7.87,9,6.35,9,7.39,8,7.42,7,6.95,8,6.96,7,5.23,8,5,8,6.08,8,5.16,9,6.51,8,7.69,-,4.02
HDFC Medium Term Debt Fund,4173.35,15.43,6,7.21,7,5.84,7,5.9,6,8.93,5,7.12,6,7.83,6,7.37,9,6.97,7,7.04,6,5.45,7,6.01,5,6.57,5,6.51,5,7.3,5,7.61,-,5.32
HSBC Medium Duration Fund - Regular Plan,809.4,13.43,9,7.49,5,6.35,5,5.9,5,9.19,3,7.78,3,8.4,4,7.79,4,7.28,4,7.19,5,5.45,6,6.17,4,6.48,6,5.96,7,-,-,6.91,-,5.23
ICICI Prudential Medium Term Bond Fund,6214.24,16.27,5,7.6,4,6.79,2,5.6,7,8.44,7,7.35,4,7.66,7,7.5,5,7.08,5,7.22,4,5.9,3,6.51,2,7.27,2,6.79,4,7.62,4,7.39,-,5.15
Kotak Medium Term Fund - Regular Plan,1744.99,25.46,1,7.33,6,4.43,9,5.59,8,9.04,4,6.41,8,8.92,1,8.82,1,7.94,1,6.9,8,5.59,5,5.91,6,6.39,7,6.05,6,7.19,6,7.38,-,5.9
SBI Magnum Medium Duration Fund,6102.24,14.5,8,6.35,8,6.22,6,6.39,3,8.74,6,7.31,5,7.84,5,7.39,8,7.03,6,7.25,3,5.64,4,5.87,7,7.24,3,7.14,2,8.2,2,7.79,-,5
