Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Money Manager Fund - Regular Plan,23737.6,10.83,2,10.63,2,8.62,1,7.82,3,7.49,4,7.39,2,7.84,1,7.66,1,7.6,1,7.23,1,6.06,2,5.6,1,6.1,1,6.57,1,6.99,1,7.45,-,0.66
Axis Money Market Fund - Regular Plan,8369.16,9.56,11,10.46,6,8.6,3,7.81,4,7.5,1,7.36,5,7.82,3,7.61,4,7.52,7,7.13,6,5.99,6,5.5,5,-,-,-,-,-,-,5.94,-,0.68
Bandhan Money Manager Fund - Regular Plan,5068.9,9.74,8,9.74,12,7.89,12,7.03,12,6.75,12,6.67,12,7.05,12,6.84,12,6.78,12,6.4,12,5.25,12,4.68,12,5.05,11,5.4,10,6.16,10,6.37,-,0.67
DSP Savings Fund,4605.33,9.68,9,10.08,11,8.25,10,7.45,10,7.19,9,7.1,9,7.46,10,7.33,10,7.23,9,6.91,9,5.57,9,5.1,9,5.59,8,6.03,7,6.32,9,6.63,-,0.74
HDFC Money Market Fund,22479.76,10.6,5,10.31,9,8.41,8,7.68,8,7.41,8,7.32,7,7.76,7,7.55,8,7.47,8,7.08,8,5.95,8,5.48,7,6.02,2,6.41,4,6.83,6,7.2,-,0.63
ICICI Prudential Money Market Fund,22485.24,11.19,1,10.51,4,8.51,5,7.77,5,7.48,5,7.36,4,7.78,6,7.6,7,7.53,6,7.15,5,5.97,7,5.47,8,5.94,6,6.39,5,6.85,4,7.11,-,0.68
Invesco India Money Market Fund,4008.03,9.59,10,10.55,3,8.36,9,7.51,9,7.18,10,7.06,10,7.61,9,7.38,9,7.23,10,6.83,10,5.5,11,5.02,11,5.43,10,5.98,8,6.63,7,7.27,-,0.73
Kotak Money Market Fund - Regular Plan,20244.6,10.48,6,10.47,5,8.49,6,7.73,7,7.45,6,7.34,6,7.79,4,7.6,5,7.53,5,7.11,7,6.01,5,5.48,6,5.84,7,6.35,6,6.84,5,7.04,-,0.62
Nippon India Money Market Fund,16562.01,10.76,3,10.74,1,8.62,2,7.84,1,7.49,3,7.38,3,7.84,2,7.65,2,7.58,2,7.19,3,6.08,1,5.57,3,5.98,4,6.47,2,6.9,2,7.33,-,0.62
SBI Savings Fund,24347.58,9.55,12,10.26,10,8.2,11,7.41,11,7.11,11,7.01,11,7.34,11,7.14,11,7.06,11,6.69,11,5.53,10,5.08,10,5.54,9,5.94,9,6.57,8,6.99,-,0.6
Tata Money Market Fund - Regular Plan,18756.93,10.63,4,10.39,8,8.48,7,7.73,6,7.43,7,7.31,8,7.79,5,7.64,3,7.57,3,7.17,4,6.02,4,5.58,2,6.01,3,5.36,11,6.11,11,6.71,-,0.64
UTI Money Market Fund - Regular Plan,14121.21,10.16,7,10.43,7,8.55,4,7.82,2,7.5,2,7.4,1,7.75,8,7.6,6,7.57,4,7.2,2,6.06,3,5.57,4,5.96,5,6.44,3,6.89,3,7.26,-,0.62
