Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,28.56,71.97,4,24.31,5,20.57,6,15.27,8,17.98,8,15.24,6,12.29,8,12.46,8,12.25,7,10.73,8,6.34,8,5.31,7,5.88,6,-,-,-,-,5.98,-,3.61
Axis Retirement Savings Fund - Conservative Plan - Regular Plan,74.3,82.91,2,32.48,4,18.81,7,26.39,3,22.6,5,14.53,8,17.91,2,20.24,2,17.57,2,12.73,4,7.86,6,10.31,2,-,-,-,-,-,-,9.56,-,13.01
HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,157.28,76.96,3,23.33,6,20.65,5,20.9,5,18.96,6,16,5,14.84,5,14.6,6,13.08,6,12.27,5,8.54,4,10.04,4,8.81,3,7.75,2,-,-,8.9,-,8.85
ICICI Prudential Retirement Fund - Hybrid Conservative Plan,56.96,38.28,8,32.89,3,25.11,2,18.27,7,18.46,7,14.63,7,14.72,6,17.82,3,17.47,3,14.12,2,9.38,2,10.15,3,9.19,2,-,-,-,-,9.35,-,7.34
Nippon India Retirement Fund - Income Generation Scheme,161.7,60.38,7,22.58,7,25.09,3,24.18,4,26.76,2,17.44,3,17.86,3,15.92,4,13.49,5,13.12,3,8.09,5,7.92,6,7.25,5,6.85,4,-,-,7.15,-,18.51
SBI Retirement Benefit Fund - Conservative Plan - Regular Plan,171.25,67.21,5,18.73,8,18.52,8,20.29,6,23.66,4,16.21,4,14.05,7,13.3,7,12.2,8,12.07,7,8.91,3,-,-,-,-,-,-,-,-,9.1,-,19.99
Tata Retirement Savings Fund - Conservative Plan - Regular Plan,167.07,64.81,6,39.18,2,25.05,4,27.02,2,26.23,3,20.86,2,15.32,4,15.78,5,15.01,4,12.2,6,7.75,7,8.97,5,8.31,4,7.49,3,8.68,2,9.1,-,4.3
UTI Children's Equity Fund-Regular Plan,1010.49,278.58,1,63.03,1,59.27,1,89.13,1,68.24,1,56.74,1,33.39,1,37.48,1,33.54,1,26.32,1,15.67,1,24.89,1,18.12,1,14.2,1,13.69,1,11.03,-,-
