Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Short Term Fund - Regular Plan,7497.01,13.09,5,7.94,6,6.79,3,6.41,8,8.31,3,7.17,4,7.66,3,7.44,5,7.08,3,6.99,3,5.69,3,5.97,3,6.75,4,6.75,3,7.53,3,7.23,-,4.11
Axis Short Term Fund,8006.89,14.28,4,8.13,3,6.99,1,6.42,7,7.97,6,7.03,5,7.7,2,7.47,4,6.99,7,6.77,5,5.46,5,5.34,6,6.57,5,6.64,4,7.25,4,7.48,-,3.71
Bandhan Bond Fund Short Term Plan - Regular Plan,8759.17,21.82,1,10.24,1,6.71,4,7.07,1,8.71,1,7.26,2,7.46,7,7.73,1,7.07,4,6.76,6,5.17,8,4.97,9,6.25,8,6.43,5,7.03,7,7.29,-,3.42
DSP Short Term Fund,2972.58,12.59,6,7.24,10,5.95,11,6.6,5,7.83,9,6.63,11,7.14,11,6.91,12,6.59,11,6.35,12,4.98,10,4.81,10,5.99,10,6.08,9,6.82,9,6.9,-,3.47
HDFC Short Term Debt Fund,13055.75,9.43,9,7.91,7,6.66,6,6.7,4,8.38,2,7.39,1,8.09,1,7.73,2,7.46,1,7.16,2,5.67,4,5.71,4,6.9,3,7,1,7.56,2,8,-,4.06
HSBC Short Duration Fund - Regular Plan,3833.84,15.29,2,9.52,2,6.7,5,6.8,3,8.13,4,6.78,8,7.04,12,7.13,8,6.75,10,6.41,10,4.91,12,4.8,11,5.87,12,5.55,10,6.36,11,6.86,-,3.33
ICICI Prudential Short Term Fund,18252.31,14.82,3,7.96,5,6.41,7,6.48,6,7.94,7,7.24,3,7.62,4,7.52,3,7.44,2,7.56,1,6.02,2,5.98,2,7.03,2,6.86,2,7.63,1,7.83,-,5.01
Kotak Bond - Short Term Regular Fund,14949.4,9.95,8,7.1,11,6.05,9,6.18,9,7.73,11,6.89,7,7.42,8,7.08,9,6.86,9,6.58,9,5.11,9,5,8,6.19,9,6.34,7,7.02,8,7.33,-,5
Nippon India Short Term Fund,5511.4,8.81,10,7.82,8,6.81,2,6.83,2,7.87,8,6.75,9,7.46,6,7.39,7,7,6,6.73,7,5.37,6,5.46,5,6.47,6,6.38,6,7.14,5,7.6,-,3.47
SBI Short Term Debt Fund,12785.19,12.11,7,8.02,4,6.3,8,6.09,10,8.04,5,6.95,6,7.33,9,7.06,10,6.88,8,6.6,8,5.29,7,5.01,7,6.25,7,6.32,8,7.06,6,7.31,-,3.71
Tata Short Term Bond Fund - Regular Plan,2210.08,7.91,11,7.73,9,5.95,10,5.88,11,7.75,10,6.66,10,7.15,10,7.05,11,6.56,12,6.37,11,4.98,11,4.71,12,5.95,11,5.18,12,6.2,12,7.03,-,3.39
UTI Short Duration Fund - Regular Plan,2673.12,1.12,12,3.59,12,4.29,12,4.9,12,6.86,12,6.02,12,7.47,5,7.43,6,7.04,5,6.86,4,7.12,1,6.57,1,7.66,1,5.33,11,6.44,10,7.35,-,3.2
