Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Savings Fund - Regular Plan,13579.62,9.47,4,9.88,1,8.23,1,7.51,1,7.34,1,7.33,1,7.74,1,7.5,1,7.49,1,7.01,1,5.95,2,5.64,2,6.17,1,6.59,1,7.27,1,7.41,-,0.55
Axis Ultra Short Term Fund - Regular Plan,5152.32,10.35,1,8.77,8,7.58,6,7.01,8,6.76,8,6.7,7,7.04,7,6.86,8,6.77,8,6.37,8,5.27,7,4.89,7,5.26,7,-,-,-,-,5.65,-,0.53
Bandhan Ultra Short Term Fund - Regular Plan,3889.69,9.27,7,8.96,7,7.45,7,7.28,4,7.15,4,7.12,4,7.43,3,7.27,3,7.21,2,6.8,2,5.63,5,5.08,5,5.57,5,-,-,-,-,6.02,-,0.49
DSP Ultra Short Fund - Regular Plan,2684.08,9.46,5,9.14,6,7.45,8,7.02,7,6.77,7,6.66,8,6.95,8,7.02,7,6.89,7,6.39,7,5.25,8,4.7,8,5.07,8,5.29,5,5.98,5,6.66,-,0.48
HDFC Ultra Short Term Fund - Regular Plan,14314.83,9.57,3,9.14,3,7.86,4,7.37,3,7.17,3,7.19,2,7.5,2,7.28,2,7.2,4,6.78,4,5.66,3,5.29,3,5.76,3,-,-,-,-,6.14,-,0.49
Kotak Savings Fund - Regular Plan,12840.69,9.86,2,9.14,4,7.89,3,7.24,5,7.06,5,6.98,5,7.29,5,7.03,5,7.01,5,6.63,5,5.54,6,5.06,6,5.54,6,6.04,3,6.72,3,7.21,-,0.74
SBI Magnum Ultra Short Duration Fund,10548.21,9.36,6,9.19,2,7.95,2,7.38,2,7.17,2,7.13,3,7.41,4,7.27,4,7.21,3,6.78,3,5.64,4,5.17,4,5.65,4,6.22,2,6.72,2,7.07,-,0.49
UTI Ultra Short Duration Fund - Regular Plan,2514.62,8.29,8,9.14,5,7.65,5,7.14,6,6.89,6,6.87,6,7.17,6,7.02,6,6.98,6,6.54,6,6.37,1,5.74,1,5.89,2,5.61,4,6.44,4,6.81,-,0.47
