Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,7515.79,1.24,11,2.2,11,4.87,5,9.25,3,10.65,5,16.36,5,25.57,6,25.66,6,30.69,8,23.77,12,14.87,13,14.83,13,11.94,13,13.05,12,-,-,-,-,14.33,-,15.9,5
Axis Equity Hybrid Fund - Direct Plan,1575.04,1.35,7,2.63,6,5.36,2,8.68,6,10.04,6,14.04,14,21.27,14,21.34,14,23.69,14,19.96,15,12.65,15,14.51,14,-,-,-,-,-,-,-,-,13.43,-,13.3,14
Canara Robeco Equity Hybrid Fund - Direct Plan,10152.64,1.72,4,2.29,10,3.84,10,7.88,8,9.37,7,14.89,10,25.18,8,25.13,8,28.94,10,24.64,8,15.84,11,17.35,5,15.23,3,14.94,4,-,-,-,-,15.59,-,14.41,10
DSP Equity & Bond Fund - Direct Plan,9131.81,1.79,3,2.82,2,6.82,1,9.8,2,12.78,3,15.38,8,24.78,9,24.79,9,32,6,27.54,6,15.81,12,17.55,4,14.6,5,15.18,2,-,-,-,-,15.06,-,14.88,8
Franklin India Equity Hybrid Fund - Direct Plan,1806.96,0.75,15,1.95,14,3.06,14,7.05,13,8.56,10,15.61,7,25.71,5,25.69,5,33.64,5,27.23,7,17.05,6,17.16,6,14.42,6,14.86,5,-,-,-,-,15.55,-,15.11,7
HDFC Hybrid Equity Fund - Direct Plan,23138.21,0.78,14,2.19,12,3.21,13,7.06,12,8.46,11,13.23,15,20.02,15,20.13,15,23.13,15,24.03,10,16.34,9,16.22,10,13.78,10,14.44,6,-,-,-,-,16.04,-,12.84,15
HSBC Aggressive Hybrid Fund - Direct Plan,5441.86,1.81,2,2.69,5,4.18,8,9.2,4,13.41,1,21.58,1,29.74,1,30.08,1,36.33,2,29.72,2,17.69,5,16.41,8,13.1,11,14.24,8,-,-,-,-,15.59,-,20.31,1
ICICI Prudential Equity & Debt Fund - Direct Plan,35122.02,0.8,13,1.9,15,2.48,15,5.12,15,6.59,15,17.2,4,28.99,3,28.23,3,38.91,1,30.71,1,25.14,1,21.87,1,18.11,1,17.39,1,-,-,-,-,18.46,-,16.84,4
Kotak Equity Hybrid Fund - Direct Plan,5621.16,1.87,1,2.75,4,5.31,3,10.76,1,13.2,2,19.83,2,29.22,2,28.92,2,35.2,3,27.65,5,19.19,3,19.94,2,15.94,2,15.14,3,-,-,-,-,15.33,-,19.45,2
Mirae Asset Aggressive Hybrid Fund - Direct Plan,8563.76,1.27,10,2.37,9,4.27,7,8.12,7,9.22,8,14.47,13,23.42,12,23.28,12,28.16,11,24.18,9,15.87,10,16.54,7,15.19,4,-,-,-,-,-,-,15.07,-,14.12,13
Nippon India Equity Hybrid Fund - Direct Plan,3535.42,1.04,12,2.03,13,3.61,12,6.9,14,8.41,12,15.06,9,25.54,7,25.23,7,31.26,7,27.73,4,17.96,4,13.55,15,11.14,14,12.35,13,-,-,-,-,13.51,-,14.64,9
SBI Equity Hybrid Fund - Direct Plan,68372.47,1.46,5,2.52,7,4.01,9,7.12,11,8.67,9,14.72,12,22.95,13,22.92,13,27.67,12,21.82,14,14.86,14,15.48,12,14.26,7,14.37,7,-,-,-,-,15.61,-,14.25,12
Sundaram Aggressive Hybrid Fund - Direct Plan,4643.67,1.27,9,2.51,8,4.64,6,7.17,10,8.16,14,15.63,6,24.73,10,24.51,10,29.6,9,23.91,11,16.4,8,16.24,9,14.14,9,13.06,11,-,-,-,-,13.56,-,15.14,6
Tata Hybrid Equity Fund - Direct Plan,3740.61,1.44,6,2.75,3,3.73,11,7.33,9,8.4,13,14.77,11,23.74,11,23.51,11,26.12,13,23.55,13,16.62,7,15.53,11,12.93,12,13.13,10,-,-,-,-,14.55,-,14.27,11
UTI Aggressive Hybrid Fund - Direct Plan,5511.93,1.33,8,2.86,1,5.26,4,8.83,5,11.07,4,17.4,3,28.34,4,28.13,4,34.96,4,28.67,3,19.89,2,18.5,3,14.17,8,13.59,9,-,-,-,-,14.27,-,17.16,3
