Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,12683.86,0.17,6,0.28,6,0.81,5,1.51,6,2.01,9,4.25,6,6.3,5,6.33,7,8.55,5,7.53,8,6.35,9,5.9,7,6.16,6,6.51,7,-,-,-,-,6.95,-,4.47,7
Axis Arbitrage Fund - Direct Plan,4938.62,0.16,13,0.27,9,0.79,9,1.49,8,2.03,5,4.27,3,6.3,6,6.35,5,8.44,10,7.39,14,6.46,5,5.96,6,6.23,5,-,-,-,-,-,-,6.64,-,4.49,4
Bandhan Arbitrage Fund - Direct Plan,6202.72,0.17,5,0.29,1,0.82,2,1.53,3,2.06,2,4.24,7,6.3,7,6.34,6,8.5,7,7.57,6,6.36,8,5.82,11,6.15,8,6.51,8,-,-,-,-,6.9,-,4.48,6
DSP Arbitrage Fund - Direct Plan,5226.64,0.17,3,0.28,4,0.79,12,1.45,14,1.98,13,4.15,13,6.17,13,6.21,14,8.36,14,7.48,10,6.23,12,5.74,13,-,-,-,-,-,-,-,-,6.01,-,4.39,12
Edelweiss Arbitrage Fund - Direct Plan,11768.88,0.16,10,0.27,10,0.8,8,1.52,4,2.03,4,4.36,2,6.37,2,6.41,2,8.66,2,7.65,3,6.56,3,6.12,3,6.36,1,6.78,1,-,-,-,-,6.8,-,4.59,2
HDFC Arbitrage Fund - Wholesale - Direct Plan,12297.96,0.17,4,0.28,5,0.8,7,1.49,11,2.01,10,4.2,10,6.23,10,6.28,10,8.42,11,7.45,11,6.23,13,5.68,14,5.87,12,6.27,11,-,-,-,-,6.34,-,4.42,10
HSBC Arbitrage Fund - Direct Plan,2274.14,0.16,9,0.28,7,0.77,13,1.49,9,1.96,14,4.14,14,6.18,11,6.22,11,8.42,12,7.41,13,6.2,14,5.9,8,6.15,7,6.57,5,-,-,-,-,6.58,-,4.37,14
ICICI Prudential Equity Arbitrage Fund - Direct Plan,20894.12,0.16,11,0.27,11,0.79,11,1.49,10,1.99,12,4.18,11,6.17,12,6.22,13,8.44,9,7.49,9,6.31,10,5.83,10,6.11,10,6.53,6,-,-,-,-,7.01,-,4.4,11
Invesco India Arbitrage Fund - Direct Plan,16489.76,0.17,8,0.27,8,0.8,6,1.55,2,2.04,3,4.24,9,6.32,4,6.37,4,8.62,3,7.86,1,6.73,1,6.14,2,6.27,4,6.61,4,-,-,-,-,6.91,-,4.45,9
Kotak Equity Arbitrage Fund - Direct Plan,46307.74,0.19,1,0.29,2,0.82,1,1.56,1,2.1,1,4.41,1,6.49,1,6.53,1,8.79,1,7.75,2,6.6,2,6.06,4,6.28,3,6.65,3,-,-,-,-,7.07,-,4.64,1
Nippon India Arbitrage Fund - Direct Plan,15157.75,0.17,7,0.28,3,0.77,14,1.48,13,2.02,8,4.24,8,6.27,9,6.31,9,8.5,8,7.56,7,6.44,6,5.98,5,6.33,2,6.71,2,-,-,-,-,7.08,-,4.46,8
SBI Arbitrage Opportunities Fund - Direct Plan,31116.02,0.16,14,0.27,12,0.79,10,1.48,12,1.99,11,4.17,12,6.17,14,6.22,12,8.39,13,7.63,4,6.54,4,5.76,12,6.06,11,6.42,10,-,-,-,-,6.82,-,4.38,13
Tata Arbitrage Fund - Direct Plan,11828.86,0.17,2,0.27,13,0.81,4,1.52,5,2.02,7,4.27,4,6.34,3,6.38,3,8.57,4,7.62,5,6.42,7,6.17,1,-,-,-,-,-,-,-,-,6.3,-,4.49,3
UTI Arbitrage Fund - Direct Plan,5258.55,0.16,12,0.27,14,0.82,3,1.5,7,2.03,6,4.25,5,6.28,8,6.31,8,8.52,6,7.42,12,6.28,11,5.87,9,6.13,9,6.48,9,-,-,-,-,6.71,-,4.48,5
