Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,210.21,1.41,2,2.1,2,3.6,5,6.9,3,9.16,3,16.18,2,27.3,3,27.24,3,35.01,2,24.97,3,16.23,5,17.46,2,13.58,3,-,-,-,-,-,-,13.02,-,16.24,2
Bandhan Asset Allocation Fund - Aggressive Plan - Direct Plan,17.92,1.32,4,2.43,1,5.13,1,7.08,1,8.45,4,14.32,5,24.83,5,24.81,5,28.55,5,23.48,6,14.99,8,14.14,4,11.44,5,11.4,4,-,-,-,-,11.5,-,14.07,5
Bandhan Asset Allocation Fund - Conservative Plan - Direct Plan,6.14,0.56,12,1.02,11,2.04,12,3.21,12,3.9,12,7.02,12,11.45,12,11.46,12,13.31,12,12.02,12,8.56,12,8.5,8,7.93,8,8.7,6,-,-,-,-,9.04,-,7,12
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,18.44,1.02,6,1.79,4,3.95,2,5.48,6,6.53,6,11.1,7,18.78,7,18.79,7,21.35,10,18.11,9,12.03,10,11.49,6,9.83,6,10.18,5,-,-,-,-,10.52,-,10.94,7
Franklin India Dynamic Asset Allocation Fund of Funds - Direct Plan,1294.88,0.7,10,1.48,6,2.29,11,4.7,8,5.92,8,10.58,9,18.09,11,18.2,8,27.8,6,22.77,7,17.72,3,14.11,5,12.39,4,12.09,3,-,-,-,-,12.23,-,10.39,9
Franklin India Multi Asset Solution Fund of Funds- Direct Plan,53.6,0.8,9,1.21,8,3.01,7,4.16,10,5.14,10,10.6,8,18.36,9,17.83,11,21.36,9,15.95,11,12.94,9,8.85,7,7.96,7,-,-,-,-,-,-,7.88,-,10.11,10
HDFC Asset Allocator FoF - Direct Plan,3053.79,0.82,8,1.47,7,2.56,9,5.05,7,6.48,7,12.23,6,21.99,6,21.65,6,26.93,7,23.94,5,17.29,4,-,-,-,-,-,-,-,-,-,-,18.8,-,12.16,6
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan #,21776.9,0.58,11,0.95,12,3.03,6,3.79,11,5.11,11,10.39,10,18.11,10,18.11,9,22.81,8,19.65,8,15.2,7,15.53,3,13.69,2,13.3,2,-,-,-,-,13.07,-,10.52,8
Kotak Multi Asset Allocator FoF -  Dynamic - Direct Plan,1453.75,0.92,7,1.02,10,2.85,8,6.94,2,9.18,2,17.71,1,27.49,1,27.4,1,33.2,3,31.04,1,21.2,1,22.3,1,17.6,1,15.79,1,-,-,-,-,16.75,-,17.3,1
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Direct Plan,65.57,1.34,3,1.71,5,3.72,4,6.66,5,7.56,5,14.7,4,26.52,4,25.97,4,28.76,4,23.94,4,15.23,6,-,-,-,-,-,-,-,-,-,-,16.11,-,14.25,4
Motilal Oswal Asset Allocation Passive FoF - Conservative - Direct Plan,41.39,1.07,5,1.12,9,2.37,10,4.46,9,5.42,9,10.3,11,18.41,8,18.09,10,20.29,11,17.31,10,11.46,11,-,-,-,-,-,-,-,-,-,-,12.05,-,10.1,11
Nippon India Asset Allocator FoF - Direct Plan,223.94,1.58,1,1.88,3,3.92,3,6.77,4,9.57,1,15.97,3,27.35,2,27.24,2,35.9,1,29.63,2,20.72,2,-,-,-,-,-,-,-,-,-,-,22.8,-,16,3
