Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Bal Bhavishya Yojna - Direct Plan,994.54,1.32,16,2.63,12,4.72,18,8.7,19,11.92,13,17.29,15,26.17,18,25.95,18,34.12,16,29.01,13,16.06,14,15.35,17,-,-,-,-,-,-,-,-,15.25,-,16.72,14
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,20473.4,1.19,18,2.45,17,5.93,10,9.33,14,11.47,16,18.08,12,30.52,11,30.09,12,37.7,10,30.65,9,17.84,11,19.04,9,15.34,8,15.84,7,-,-,-,-,17.89,-,17.6,12
Axis Flexi Cap Fund - Direct Plan,12011.72,1.45,13,2.08,21,5.68,13,10.05,11,12.94,7,21.33,6,32.56,8,32.81,8,35.45,13,27.53,16,15.74,15,17.76,12,-,-,-,-,-,-,-,-,16.78,-,19.97,6
Bandhan Flexi Cap Fund - Direct Plan,6979.84,1.72,8,3.06,7,5.33,14,8.76,18,11.94,11,19.38,8,30.36,12,30.55,11,38.07,9,30.13,11,18.76,8,17.36,14,13.45,14,14.16,12,-,-,-,-,15.75,-,17.84,11
Canara Robeco Flexi Cap Fund - Direct Plan,12447.99,1.81,6,2.6,13,5.71,12,10.72,9,11.51,15,19.06,10,31.62,9,31.6,9,35.16,14,29.45,12,18.44,9,20.21,6,17.77,2,15.47,8,-,-,-,-,16.16,-,18.28,10
DSP Flexi Cap Fund - Direct Plan,10558.54,2.16,3,3.37,2,7.34,5,12.27,1,16.6,1,19.36,9,31.54,10,31.54,10,41.19,8,34.93,5,19.02,6,21.18,4,17.66,3,16.31,6,-,-,-,-,16.95,-,18.69,8
Franklin India Flexi Cap Fund - Direct Plan,15468.09,1.41,14,3.11,6,4.64,19,9.39,13,11.76,14,20.06,7,34.84,5,35.04,5,46.57,3,35.92,4,23.94,2,22.62,1,17.59,5,17.49,2,-,-,-,-,18.22,-,19.59,7
HDFC Flexi Cap Fund - Direct Plan,54692.16,0.94,20,2.51,16,5.1,17,10.32,10,12.46,10,21.67,5,37.64,3,37.19,3,45.57,4,38.62,1,27.78,1,21.69,3,18.72,1,16.36,5,-,-,-,-,17.92,-,21.43,3
HSBC Flexi Cap Fund - Direct Plan,4435.44,2.28,2,3.33,3,7.04,7,11.94,3,14.63,3,25.63,2,40.18,2,39.61,2,49.95,2,37.97,3,23.21,3,20.37,5,16.06,7,15.29,9,-,-,-,-,16.46,-,25.4,2
