Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,7181.78,0.88,15,1.6,14,3.31,7,6.32,5,8.08,6,12.61,8,19.96,9,19.81,9,23.47,11,20.47,8,13.65,8,14.17,5,11.83,5,12.17,5,-,-,-,-,12.87,-,12.36,9
Axis Balanced Advantage Fund - Direct Plan,2183.67,1.17,6,2.32,3,3.45,6,8.27,1,8.54,3,15.44,2,25.13,3,25.28,2,29.79,3,22.53,4,15.27,3,13.49,10,-,-,-,-,-,-,-,-,11.77,-,14.64,2
Bandhan Balanced Advantage Fund - Direct Plan,2216.86,1.01,10,1.63,13,2.61,11,4.83,17,6.92,13,11.61,14,17.48,18,17.65,18,20.57,17,18.81,13,11.8,13,12.66,11,11.48,6,-,-,-,-,-,-,10.38,-,11.34,13
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,3833.86,0.89,14,1.39,15,2.21,16,5.2,14,7.03,12,13.04,6,22.89,5,22.83,5,26.67,6,25.35,2,16.5,2,17.94,2,-,-,-,-,-,-,-,-,17.39,-,12.65,6
DSP Dynamic Asset Allocation Fund - Direct Plan,3125.59,0.65,16,1.15,17,2.69,9,6,7,8.59,2,10.68,17,18.31,15,18.32,15,22.58,13,18.42,14,11.35,14,12.42,12,10.73,8,10.42,7,-,-,-,-,10.78,-,10.64,16
Edelweiss Balanced Advantage Fund - Direct Plan,11281.66,1.27,4,1.83,10,2.28,15,5.08,15,7.5,8,14.12,3,23.37,4,23.32,4,26.98,5,22.4,5,15.14,4,17.01,3,14.34,2,13.16,2,-,-,-,-,13.68,-,13.51,3
Franklin India Balanced Advantage Fund - Direct Plan,1912.01,0.42,19,1.3,16,2.63,10,5.6,11,7.22,10,13.18,4,21.13,7,21.22,7,28.28,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.42,-,12.94,5
HDFC Balanced Advantage Fund - Direct Plan,86471.32,1.14,7,1.97,9,1.01,19,5.94,8,8.86,1,16.59,1,30.44,1,30.21,1,41.6,1,34.09,1,25.2,1,19.81,1,16.77,1,15.43,1,-,-,-,-,16.85,-,16.86,1
HSBC Balanced Advantage Fund - Direct Plan,1389.99,0.97,13,2.13,5,4.23,3,4.96,16,6.19,16,11.61,13,19.92,10,19.64,10,24.71,9,19.45,12,12.88,10,12.34,13,10.95,7,10.77,6,-,-,-,-,12.53,-,11.39,12
ICICI Prudential Balanced Advantage Fund - Direct Plan,56750.35,0.48,18,0.86,19,2.53,12,4.31,18,4.95,19,10.5,19,17.88,17,17.74,17,22.23,15,18.37,15,14.18,7,13.93,8,12.58,3,12.65,3,-,-,-,-,13.54,-,10.18,19
Kotak Balanced Advantage Fund - Direct Plan,15830.08,1.31,3,2.05,7,3.99,5,6.94,2,8.11,5,12.51,9,19.55,11,19.32,11,22.42,14,19.66,11,13.47,9,14.02,6,-,-,-,-,-,-,-,-,13.14,-,12.14,10
LIC MF Balanced Advantage Fund - Direct Plan,868.01,1.66,2,2.72,1,4.16,4,6.59,4,7.73,7,10.64,18,16.92,19,16.65,19,18.46,19,18.08,16,-,-,-,-,-,-,-,-,-,-,-,-,12.22,-,10.25,18
Mirae Asset Balanced Advantage Fund - Direct Plan,1589.97,1,11,1.8,11,3.02,8,5.63,10,7.04,11,10.96,16,18.62,14,18.56,14,23.39,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.79,-,10.8,15
Nippon India Balanced Advantage Fund - Direct Plan,8042.99,1.12,8,2,8,2.52,13,5.49,12,7.35,9,12.8,7,21.62,6,21.56,6,26.53,7,20.96,7,14.58,6,13.99,7,12.23,4,12.22,4,-,-,-,-,13.07,-,12.54,8
NJ Balanced Advantage Fund - Direct Plan,3860.71,2.6,1,2.45,2,4.25,2,6.2,6,6.52,14,13.13,5,25.4,2,25.07,3,32.03,2,24.01,3,-,-,-,-,-,-,-,-,-,-,-,-,14.04,-,12.95,4
PGIM India Balanced Advantage Fund - Direct Plan,1102.25,1.24,5,2.3,4,4.78,1,6.87,3,8.13,4,11.86,12,18.24,16,18.15,16,18.96,18,19.94,10,12.71,11,-,-,-,-,-,-,-,-,-,-,13.84,-,11.22,14
SBI Balanced Advantage Fund - Direct Plan,30096.32,0.64,17,0.89,18,1.83,18,3.85,19,5.23,18,12.49,10,20.34,8,20.13,8,24.75,8,21.79,6,-,-,-,-,-,-,-,-,-,-,-,-,15.11,-,12.6,7
Tata Balanced Advantage Fund - Direct Plan,9275.7,0.97,12,1.7,12,2.19,17,5.34,13,5.95,17,11.88,11,19.48,12,19.3,12,23.54,10,20.46,9,14.94,5,15.21,4,-,-,-,-,-,-,-,-,15.35,-,11.69,11
Union Balanced Advantage Fund - Direct Plan,1594.75,1.12,9,2.11,6,2.46,14,5.75,9,6.51,15,11,15,19,13,18.94,13,22.08,16,18.04,17,12.2,12,13.75,9,-,-,-,-,-,-,-,-,11.89,-,10.47,17
