Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,3069.78,1.28,9,3.74,2,5.96,4,7.31,9,10.65,9,13.8,9,19.23,11,19.61,11,26.2,10,32.09,7,17.7,8,14.53,6,13.43,6,16.2,3,-,-,-,-,19.09,-,13.43,8
HDFC Banking & Financial Services Fund - Direct Plan,3294.6,1.32,8,3.13,5,5.7,7,8.57,6,12.74,4,14.24,7,26.01,4,25.85,5,27.11,6,33.38,5,18.87,5,-,-,-,-,-,-,-,-,-,-,18.57,-,13.83,6
ICICI Prudential Banking and Financial Services Fund - Direct Plan,7107.43,1.55,3,3.97,1,7.42,2,9.95,1,12.07,6,14.51,6,22.79,9,22.13,9,23.6,11,27.55,10,15.57,10,12.78,7,12.49,7,15.67,4,-,-,-,-,16.47,-,13.37,9
Invesco India Financial Services Fund - Direct Plan,908.75,1.06,10,2.49,11,4.44,10,6.09,11,10.58,10,17.07,2,33.61,1,34.02,1,37.12,1,37.18,2,20.56,3,16.78,2,15.84,3,17.52,1,-,-,-,-,16.76,-,16.96,2
Kotak Banking & Financial Services Fund - Direct Plan,854.26,1.01,11,2.95,7,5.29,8,8.65,5,12.72,5,15.39,4,24.5,7,24.55,7,26.31,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.76,-,14.69,5
Mirae Asset Banking and Financial Services Fund - Direct Plan,1671.29,1.34,5,3.56,4,6.9,3,9.04,2,13.75,1,16.43,3,24.83,6,24.74,6,29.35,4,32.71,6,19.68,4,-,-,-,-,-,-,-,-,-,-,21.62,-,15.69,3
Nippon India Banking & Financial Services Fund - Direct Plan,5462.71,1.36,4,3.11,6,5.72,6,7.93,8,10.5,11,12.8,10,23.55,8,23.69,8,27.92,5,33.53,4,20.84,2,14.58,5,13.53,5,15.07,5,-,-,-,-,15.08,-,12.58,10
SBI Banking & Financial Services Fund - Direct Plan,5387.33,1.87,2,3.65,3,4.64,9,8.82,4,13.16,2,19.77,1,33.43,2,33.39,2,35.04,3,32.04,8,18.07,7,16.03,3,16.78,1,-,-,-,-,-,-,16.5,-,19.5,1
Sundaram Financial Services Opportunities Fund - Direct Plan,1268.85,1.32,7,2.55,10,4.16,11,7.14,10,11.13,8,15.2,5,29.49,3,29.31,3,36.85,2,39.31,1,23.31,1,18.91,1,16.58,2,16.33,2,-,-,-,-,15.36,-,14.79,4
Tata Banking and Financial Services Fund - Direct Plan,2048.3,1.93,1,2.78,9,7.5,1,8.93,3,13.04,3,11.57,11,21.1,10,21.42,10,26.85,8,34.16,3,18.58,6,15.92,4,15.25,4,-,-,-,-,-,-,19.24,-,11.41,11
UTI Banking and Financial Services Fund - Direct Plan,1056.18,1.33,6,2.89,8,5.76,5,8.23,7,11.48,7,13.98,8,25.79,5,25.96,4,27.04,7,31.26,9,17.59,9,12.14,8,10.93,8,12.82,6,-,-,-,-,12.59,-,13.48,7
