Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,1701.46,1.52,5,3.5,1,6.96,1,11.3,3,12.03,4,19.61,7,30.59,7,30.36,7,35.54,7,29.26,5,-,-,-,-,-,-,-,-,-,-,-,-,18.1,-,18.6,7
Axis Business Cycles Fund - Direct Plan,2699.44,2.23,2,3.13,2,4.7,6,10.09,4,12.41,3,21.98,5,35.3,5,35.41,5,44.06,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.32,-,20.56,6
Baroda BNP Paribas Business Cycle Fund - Direct Plan,527.46,2.29,1,2.74,4,6.08,3,9.49,5,11.93,5,21.42,6,40.89,2,40.89,2,49.29,4,36.86,4,-,-,-,-,-,-,-,-,-,-,-,-,20.1,-,21.83,5
HDFC Business Cycle Fund - Direct Plan,2906.75,0.84,7,2.43,6,5.28,5,9.44,6,10.22,7,14.69,8,27.69,8,27.99,8,33.36,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.29,-,14.1,8
HSBC Business Cycles Fund - Direct Plan,856.13,1.79,3,3.08,3,5.52,4,12.54,2,18.98,1,33.65,1,47.58,1,47.61,1,55.59,1,44.18,1,27.95,1,22.34,1,16.64,1,-,-,-,-,-,-,16.61,-,33.17,1
ICICI Prudential Business Cycle Fund - Direct Plan,9663.24,1.33,6,2.6,5,2.91,8,6.66,8,8.52,8,23.51,2,40.68,3,39.85,3,49.46,3,37.93,3,26.93,2,-,-,-,-,-,-,-,-,-,-,28.33,-,22.94,2
Kotak Business Cycle Fund - Direct Plan,2470.51,0.56,8,1.75,8,6.58,2,12.76,1,15.81,2,23.34,3,32.64,6,32.64,6,38.75,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.13,-,22.83,4
Tata Business Cycle Fund - Direct Plan,2311.19,1.6,4,2.41,7,3.77,7,9.38,7,11.7,6,22.89,4,38.82,4,38.98,4,54.51,2,43.66,2,-,-,-,-,-,-,-,-,-,-,-,-,27.59,-,22.87,3
