Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,1366.05,2.38,1,2.95,3,5.02,4,8.8,6,11.25,6,20.01,6,39.88,5,39.26,5,53.13,3,42.54,1,25.45,4,24.3,4,16.15,5,14.73,5,-,-,-,-,15.3,-,19.37,8
HDFC Dividend Yield Fund - Direct Plan,5144.72,2.1,3,3.56,1,5.5,3,10.01,3,12.24,4,19.82,7,36.24,7,35.89,7,50.05,5,39.99,4,28.61,2,-,-,-,-,-,-,-,-,-,-,31.59,-,19.78,5
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,3930.84,1.3,9,2.69,4,3.55,6,7.11,8,9.19,9,23.24,3,42.38,2,41.6,2,55.57,2,42.32,2,31.22,1,26,1,18.13,2,17.09,2,-,-,-,-,18.21,-,23.19,3
LIC MF Dividend Yield Fund - Direct Plan,189.29,1.9,5,3.11,2,6.84,1,12.98,1,17.43,1,32.16,1,50.07,1,50.3,1,61.59,1,41.76,3,25.97,3,25.61,2,-,-,-,-,-,-,-,-,24.43,-,31.91,1
SBI Dividend Yield Fund - Direct Plan,7629.65,1.67,7,2.16,8,4.57,5,9.92,5,11.56,5,20.76,5,33.12,9,32.82,9,39.63,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.08,-,19.69,7
Sundaram Dividend Yield Fund - Direct Plan,872.3,1.78,6,2.37,6,3.15,7,7.61,7,9.38,7,18.37,9,37.21,6,36.81,6,46.13,8,34.09,7,21.88,8,21.88,6,17.77,3,16.04,3,-,-,-,-,16.14,-,18.27,9
Tata Dividend Yield Fund - Direct Plan,927.04,1.63,8,2.35,7,2.8,8,9.99,4,13.65,3,19.8,8,35.01,8,35.5,8,47.97,7,38.26,5,23.91,6,-,-,-,-,-,-,-,-,-,-,23.9,-,19.69,6
Templeton India Equity Income Fund - Direct Plan,2210.68,2.08,4,2.1,9,1.84,9,6.95,9,9.28,8,21.69,4,41.33,3,40.69,3,49.22,6,33.35,8,24.49,5,25.26,3,19.54,1,17.46,1,-,-,-,-,17.58,-,21.81,4
UTI Dividend Yield Fund - Direct Plan,3776.13,2.22,2,2.65,5,6.8,2,12.94,2,15.87,2,23.99,2,39.94,4,39.58,4,51.68,4,35.94,6,21.97,7,22.11,5,17.56,4,15.17,4,-,-,-,-,15.48,-,23.54,2
